Company name,Ticker,Exchange,Sector,Industry,Date--Current fiscal year,Date--Latest Quarterly EPS,EPS Est Q0,EPS Est Q0-High,EPS Est Q0-Low,EPS Est Q0-Last month,EPS Est Q0-3 Months Ago,EPS Est Q0-Number,EPS Est Q0-Revisions up,EPS Est Q0-Revisions down,EPS Est Q0-Std. dev.,EPS Est Q1,EPS Est Q1-High,EPS Est Q1-Low,EPS Est Q1-Last month,EPS Est Q1-3 Months Ago,EPS Est Q1-Number,EPS Est Q1-Revisions up,EPS Est Q1-Revisions down,EPS Est Q1-Std. dev.,EPS Est Y0,EPS Est Y0-High,EPS Est Y0-Low,EPS Est Y0-Last month,EPS Est Y0-3 Months Ago,EPS Est Y0-Number,EPS Est Y0-Revisions up,EPS Est Y0-Revisions down,EPS Est Y0-Std. dev.,EPS Est Y1,EPS Est Y1-High,EPS Est Y1-Low,EPS Est Y1-Last month,EPS Est Y1-3 Months Ago,EPS Est Y1-Number,EPS Est Y1-Revisions up,EPS Est Y1-Revisions down,EPS Est Y1-Std. dev.,EPS Est Y2,EPS Est Y2-High,EPS Est Y2-Low,EPS Est Y2-Last month,EPS Est Y2-3 Months Ago,EPS Est Y2-Number,EPS Est Y2-Revisions up,EPS Est Y2-Revisions down,EPS Est Y2-Std. dev.,EPS Growth Est,EPS Growth Est-High,EPS Growth Est-Low,EPS Growth Est-Last month,EPS Growth Est-Number,EPS Growth Est-Revisions up,EPS Growth Est-Revisions down,EPS Growth Est-Std. dev.,Quarterly Surprise-Date,Quarterly Surprise-EPS,Quarterly Surprise-Difference,Quarterly Surprise-Est,Quarterly Surprise-Percent,Quarterly Surprise-Std. dev.,Quarterly Surprise-SUE Q1,Qtrly Surprise-Prior Qtr-Date,Qtrly Surprise-Prior Qtr-EPS,Qtrly Surprise-Prior Qtr-Difference,Qtrly Surprise-Prior Qtr-Est,Qtrly Surprise-Prior Qtr-Percent,Qtrly Surprise-Prior Qtr-Std. dev.,Qtrly Surprise-Prior Qtr-SUE,,
1st Constitution Bancorp,FCCY,Nasdaq,Financials,Banks,12/31/2021,12/31/2020,0.509,1/0/1900,0.46,0.343,0.334,3,3,0,0.063,0.476,0.54,0.41,1/0/1900,0.344,3,3,0,0.065,1.677,1.7,1.651,1.387,1.394,3,3,0,0.025,1.703,2,1.5,1.583,1.562,3,2,0,0.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/2/2021,0.59,0.183,0.407,45,0.08,2.3,10/23/2020,1/0/1900,0.218,0.262,83.2,0.182,1.2,,
1st Source Corporation,SRCE,Nasdaq,Financials,Banks,12/31/2021,12/31/2020,0.851,1/0/1900,0.786,0.88,0.841,3,2,1,0.056,0.89,1.036,0.704,1/0/1900,0.63,3,3,0,0.169,3.262,3.481,2.903,2.793,2.804,3,3,0,0.313,3.38,3.598,3.19,3.201,3.037,3,3,0,0.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/21/2021,1.03,0.324,0.706,45.9,0.063,5.1,10/22/2020,1/0/1900,0.057,0.723,7.9,0.063,0.9,,
21Vianet Group Inc - ADR,VNET,Nasdaq,Technology,IT Services & Consulting,12/31/2020,9/30/2020,-1.757,###############################################################################################################################################################################################################################################################,-1.757,-1.757,-0.609,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.022,-2.55,-3.959,-2.201,-2.468,4,0,2,0.636,-0.18,-0.124,-0.289,-0.208,-0.173,5,1,2,0.067,0.031,0.124,-0.111,0.011,0.188,5,1,1,0.089,NA,NA,NA,NA,NA,NA,NA,NA,11/24/2020,0.074,0.104,-0.03,346.7,0.033,0.5,8/19/2020,###############################################################################################################################################################################################################################################################,-2.966,-0.038,NA,0.039,-11.7,,
22nd Century Group Inc,XXII,American,Industrials,Environmental Services & Equipment,12/31/2020,9/30/2020,-0.03,###############################################################################################################################################################################################################################################################,-0.03,-0.03,-0.03,1,0,0,NA,-0.04,-0.04,-0.04,###############################################################################################################################################################################################################################################################,-0.04,1,0,0,NA,-0.13,-0.13,-0.13,-0.13,-0.13,1,0,0,NA,-0.14,-0.14,-0.14,-0.14,-0.14,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/5/2020,-0.03,0.01,-0.04,25,NA,0,8/6/2020,###############################################################################################################################################################################################################################################################,0,-0.04,0,NA,0,,
2U Inc,TWOU,Nasdaq,Technology,IT Services & Consulting,12/31/2020,9/30/2020,-0.095,###############################################################################################################################################################################################################################################################,-0.232,-0.095,-0.089,16,0,0,0.053,-0.252,-0.16,-0.294,###############################################################################################################################################################################################################################################################,-0.25,13,1,0,0.039,-1.003,-0.9,-1.139,-1.003,-0.992,16,0,0,0.065,-0.598,-0.03,-0.804,-0.599,-0.587,16,1,0,0.192,-0.247,0.328,-0.501,-0.227,-0.208,13,0,1,0.274,NA,NA,NA,NA,NA,NA,NA,NA,10/27/2020,-0.24,0.012,-0.252,4.8,0.053,0.2,7/30/2020,###############################################################################################################################################################################################################################################################,0.052,-0.392,13.3,0.073,0.7,,
360 DigiTech Inc,QFIN,Nasdaq,Financials,Consumer Lending,12/31/2020,9/30/2020,1.065,1/1/1900,1.065,1.065,1.045,1,0,0,NA,1.164,1.164,1.164,1/1/1900,0.98,1,0,0,NA,3.508,3.698,3.26,3.158,2.725,5,1,0,0.162,4.091,5.133,3.426,3.642,3.451,6,1,0,0.581,4.645,6.25,3.455,4.121,3.976,6,1,0,0.902,NA,NA,NA,NA,NA,NA,NA,NA,11/19/2020,1.289,0.43,0.859,50.1,NA,0,8/23/2020,1/0/1900,0.155,0.802,19.3,NA,0,,
36Kr Holdings Inc - ADR,KRKR,Nasdaq,Industrials,Business Support Services,12/31/2020,9/30/2020,0.07,1/0/1900,0.07,0.07,0.16,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.48,-0.48,-0.48,-0.48,-0.489,1,0,0,NA,0.09,0.09,0.09,0.09,0.2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/30/2020,-0.03,0.03,-0.06,50,NA,0,8/31/2020,###############################################################################################################################################################################################################################################################,-0.07,-0.16,-43.8,NA,0,,
3D Systems Corporation,DDD,New York,Technology,Computer Hardware,12/31/2020,9/30/2020,0.1,1/0/1900,-0.02,0.044,0.04,9,6,1,0.053,0.046,0.08,0.02,1/0/1900,0.033,8,4,1,0.024,-0.098,-0.04,-0.21,-0.154,-0.156,9,6,1,0.049,0.316,0.48,0.01,0.247,0.225,9,5,1,0.143,0.438,0.53,0.27,0.36,0.313,5,4,0,0.103,NA,NA,NA,NA,NA,NA,NA,NA,11/5/2020,-0.03,0.049,-0.079,62,0.02,2.5,8/5/2020,###############################################################################################################################################################################################################################################################,-0.03,-0.1,-30,0.034,-0.9,,
3M Co,MMM,New York,Consumer Non-Cyclicals,Consumer Goods Conglomerates,12/31/2021,12/31/2020,2.307,1/2/1900,2.2,2.312,2.282,14,7,5,0.062,2.203,2.46,1.85,1/2/1900,2.124,14,8,4,0.171,9.591,9.75,9.44,9.493,9.415,17,11,4,0.084,10.404,10.76,9.93,10.36,10.164,16,7,5,0.204,11.111,11.35,10.67,11.274,11.028,9,3,1,0.193,6.988,8.765,3.9,4.235,3,4,0,2.685,1/26/2021,2.38,0.228,2.152,10.6,0.075,3,10/27/2020,1/2/1900,0.167,2.263,7.4,0.08,2.1,,
4 Less Group Inc,FLES,Over the counter,Technology,Online Services,1/31/2021,10/31/2020,0.06,0.06,0.06,0.25,NA,1,0,1,NA,0.03,0.03,0.03,0.15,NA,1,0,1,NA,-0.05,-0.05,-0.05,0.06,NA,1,0,1,NA,0.05,0.05,0.05,0.33,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/15/2020,-0.13,-0.19,0.06,-316.7,NA,0,9/14/2020,NA,0,NA,NA,NA,0,,
4D Molecular Therapeutics Inc,FDMT,Nasdaq,Healthcare,Biotechnology & Medical Research,12/31/2020,12/31/2019,-0.66,-0.66,-0.66,NA,NA,1,0,0,NA,-0.76,-0.76,-0.76,NA,NA,1,0,0,NA,-2.84,-2.84,-2.84,NA,NA,1,0,0,NA,-3.31,-3.31,-3.31,NA,NA,1,0,0,NA,-3.65,-3.65,-3.65,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/16/2020,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,
500.Com Ltd - ADR,WBAI,New York,Consumer Cyclicals,Casinos & Gaming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
"51job, Inc. (ADR)",JOBS,Nasdaq,Industrials,Employment Services,12/31/2020,9/30/2020,0.989,1/0/1900,0.989,0.989,0.756,1,0,0,NA,0.822,0.822,0.822,1/0/1900,0.695,1,0,0,NA,2.933,2.933,2.933,2.933,2.486,1,0,0,NA,3.403,3.403,3.403,3.403,3.101,1,0,0,NA,3.756,3.756,3.756,3.756,3.664,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/19/2020,0.552,0.041,0.511,8,0.086,0.1,8/11/2020,1/0/1900,0,0.816,0,NA,0,,
89bio Inc,ETNB,Nasdaq,Healthcare,Biotechnology & Medical Research,12/31/2020,9/30/2020,-0.87,###############################################################################################################################################################################################################################################################,-1.19,-0.868,-0.868,8,0,1,0.157,-0.84,-0.75,-0.98,###############################################################################################################################################################################################################################################################,-0.835,4,0,1,0.098,-3.127,-2.29,-3.36,-3.124,-3.124,8,0,1,0.352,-3.894,-2.8,-6.17,-3.882,-3.882,8,0,1,1.052,-4.316,-2.95,-5.12,-4.391,-5.153,6,0,1,0.84,NA,NA,NA,NA,NA,NA,NA,NA,11/10/2020,-0.86,-0.02,-0.84,-2.4,0.107,-0.2,8/13/2020,###############################################################################################################################################################################################################################################################,-0.015,-0.835,-1.8,0.078,-0.2,,
"8x8, Inc.",EGHT,New York,Technology,Communications & Networking,3/31/2021,12/31/2020,-0.009,1/0/1900,-0.014,-0.019,-0.017,15,12,1,0.003,-0.01,0.01,-0.04,###############################################################################################################################################################################################################################################################,-0.026,12,7,3,0.016,-0.138,-0.13,-0.14,-0.157,-0.158,16,14,1,0.004,0.061,0.18,-0.03,0.036,0.035,16,10,5,0.051,0.184,0.35,0.05,0.099,0.099,7,2,1,0.124,NA,NA,NA,NA,NA,NA,NA,NA,1/28/2021,-0.02,0.009,-0.029,31,0.003,3,10/28/2020,###############################################################################################################################################################################################################################################################,0.042,-0.072,58.3,0.004,10.5,,
9 Meters Biopharma Inc,NMTR,Nasdaq,Healthcare,Biotechnology & Medical Research,12/31/2020,9/30/2020,-0.04,###############################################################################################################################################################################################################################################################,-0.05,-0.04,-0.04,4,0,0,0.008,-0.04,-0.03,-0.05,###############################################################################################################################################################################################################################################################,-0.045,3,1,0,0.01,-0.5,-0.26,-0.76,-0.502,-0.504,5,0,0,0.224,-0.114,0.16,-0.21,-0.108,-0.104,5,0,1,0.154,-0.2,-0.16,-0.28,-0.213,-0.208,4,0,1,0.055,NA,NA,NA,NA,NA,NA,NA,NA,11/9/2020,-0.06,0,-0.06,0,0.02,0,8/12/2020,NA,0,NA,NA,NA,0,,
908 Devices Inc.,MASS,Nasdaq,Industrials,Industrial Machinery & Equipment,12/31/2020,9/30/2020,-0.158,-0.15,-0.16,NA,NA,4,0,0,0.005,-0.223,-0.21,-0.23,NA,NA,4,0,0,0.01,-0.343,-0.24,-0.52,NA,NA,3,0,0,0.154,-0.538,-0.49,-0.57,NA,NA,4,0,0,0.036,-0.403,-0.36,-0.49,NA,NA,4,0,0,0.059,NA,NA,NA,NA,NA,NA,NA,NA,12/18/2020,NA,0,NA,NA,NA,0,12/18/2020,NA,0,NA,NA,NA,0,,
9F Inc - ADR,JFU,Nasdaq,Financials,Investment Management & Fund Operators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A-Mark Precious Metals Inc,AMRK,Nasdaq,Consumer Cyclicals,Apparel & Accessories,6/30/2021,9/30/2020,1.03,1/1/1900,0.76,1.03,0.875,2,0,0,0.382,0.785,0.85,0.72,1/0/1900,0.855,2,0,0,0.092,5.805,6.04,5.57,5.805,4.575,2,0,0,0.332,3.08,3.16,3,3.08,3,2,0,0,0.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/10/2020,3.09,1.995,1.095,182.2,0.573,3.5,9/10/2020,1/2/1900,1.685,0.825,204.2,0.742,2.3,,
A. H. Belo Corp,AHC,New York,Consumer Cyclicals,Consumer Publishing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A. O. Smith Corp,AOS,New York,Industrials,Electrical Components & Equipment,12/31/2021,12/31/2020,0.566,1/0/1900,0.51,0.53,0.53,12,5,3,0.034,0.572,0.64,0.51,1/0/1900,0.562,12,3,5,0.04,2.523,2.67,2.4,2.365,2.367,13,10,1,0.064,2.764,2.937,2.35,2.568,2.57,13,9,1,0.147,2.918,3.184,2.3,2.91,2.926,5,1,1,0.352,NA,NA,NA,NA,NA,NA,NA,NA,1/28/2021,0.74,0.155,0.585,26.5,0.037,4.2,10/29/2020,1/0/1900,0.143,0.517,27.7,0.038,3.8,,
A10 Networks Inc,ATEN,New York,Technology,Software,12/31/2020,9/30/2020,0.151,1/0/1900,0.151,0.151,0.151,1,0,0,NA,0.111,0.111,0.111,1/0/1900,0.111,1,0,0,NA,0.418,0.418,0.418,0.418,0.418,1,0,0,NA,0.517,0.517,0.517,0.517,0.517,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/27/2020,0.13,0.035,0.095,36.8,NA,0,7/28/2020,1/0/1900,0.014,0.076,18.4,NA,0,,
"AAON, Inc.",AAON,Nasdaq,Industrials,Electrical Components & Equipment,12/31/2020,9/30/2020,0.29,1/0/1900,0.27,0.29,0.285,3,0,0,0.017,0.29,0.3,0.28,1/0/1900,0.28,2,0,0,0.014,1.43,1.44,1.41,1.43,1.425,3,0,0,0.017,1.313,1.4,1.2,1.313,1.3,3,0,0,0.103,1.58,1.82,1.34,1.58,1.34,2,0,0,0.339,NA,NA,NA,NA,NA,NA,NA,NA,11/5/2020,0.38,0.045,0.335,13.4,0.05,0.9,8/6/2020,1/0/1900,-0.024,0.364,-6.6,0.022,-1.1,,
AAR Corp.,AIR,New York,Industrials,Aerospace & Defense,5/31/2021,11/30/2020,0.414,1/0/1900,0.28,0.439,0.316,4,1,0,0.135,0.403,0.741,0.19,1/0/1900,0.414,4,0,0,0.236,1.361,1.812,1.12,1.466,1.01,3,1,0,0.391,2.112,3.338,1.63,2.239,1.8,4,0,1,0.819,2.76,2.76,2.76,NA,NA,1,0,0,NA,-14.3,-14.3,-14.3,-14.3,1,0,0,NA,12/17/2020,0.31,0.14,0.17,82.4,0.047,3,9/24/2020,1/0/1900,0.218,-0.048,454.2,0.211,1,,
Aaron's Company Inc,AAN,New York,Financials,Consumer Lending,12/31/2020,12/31/2019,0.733,1.01,0.58,0.733,NA,8,0,0,0.143,0.436,0.52,0.18,0.436,NA,8,0,0,0.11,3.435,4.47,2.53,3.435,NA,8,0,0,0.76,2.002,2.4,1.76,2.002,NA,9,0,0,0.235,2.293,2.7,2,2.34,NA,6,0,1,0.274,NA,NA,NA,NA,NA,NA,NA,NA,2/21/2020,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,
Ab International Group Corp,ABQQ,Over the counter,Consumer Cyclicals,"Retailers - Auto Vehicles, Parts & Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
AB SKF (ADR),SKFRY,Over the counter,Industrials,Industrial Machinery & Equipment,12/31/2021,12/31/2020,0.37,1/0/1900,0.37,0.37,0.33,1,0,0,NA,0.41,0.41,0.41,1/0/1900,0.38,1,0,0,NA,1.46,1.46,1.46,1.91,1.7,1,0,1,NA,1.58,1.58,1.58,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/2/2021,0.391,0.061,0.33,18.5,NA,0,10/27/2020,1/0/1900,0.112,0.18,62.2,NA,0,,
ABB Ltd (ADR),ABB,New York,Industrials,Heavy Electrical Equipment,12/31/2021,12/31/2020,0.25,1/0/1900,0.2,0.238,0.233,4,1,0,0.034,0.313,0.35,0.27,1/0/1900,0.298,4,1,1,0.033,1.173,1.35,1,1.173,1.147,4,1,0,0.178,1.415,1.59,1.23,1.457,1.423,4,0,0,0.181,1.75,1.75,1.75,1.75,1.66,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/4/2021,0.26,0.102,0.158,64.6,0.037,2.8,10/23/2020,1/0/1900,0.059,0.134,44,0.092,0.6,,
Abbott Laboratories,ABT,New York,Healthcare,"Medical Equipment, Supplies & Distribution",12/31/2021,12/31/2020,1.272,1/1/1900,1.12,1.044,1.042,17,13,0,0.087,1.268,1.38,1.189,1/1/1900,1.06,17,13,0,0.068,5.085,5.6,4.996,4.374,4.356,22,22,0,0.139,5.403,5.63,4.55,4.612,4.632,19,17,0,0.24,5.705,6.29,4.5,4.97,5.122,10,6,0,0.513,16.344,18,15.232,13.277,3,3,0,1.462,1/27/2021,1.45,0.097,1.353,7.2,0.023,4.2,10/21/2020,1/0/1900,0.072,0.908,7.9,0.033,2.2,,
AbbVie Inc,ABBV,New York,Healthcare,Pharmaceuticals,12/31/2021,12/31/2020,2.78,1/3/1900,2.14,2.86,2.807,15,3,5,0.193,2.975,3.13,1.93,1/2/1900,2.907,15,6,1,0.296,12.321,12.75,11.24,12.185,12.186,23,12,4,0.297,13.706,14.5,12.63,13.674,13.582,20,7,6,0.426,11.992,13.14,10.79,12.098,12.607,13,6,6,0.673,9.3,17,2.4,10.975,5,2,2,6.406,2/3/2021,2.92,0.069,2.851,2.4,0.034,2,10/30/2020,1/2/1900,0.065,2.765,2.4,0.04,1.6,,
AbCellera Biologics Inc,ABCL,Nasdaq,Healthcare,Biotechnology & Medical Research,12/31/2020,9/30/2020,1.36,2.13,0.59,NA,NA,2,0,0,1.089,0.79,1.63,0.44,0.497,NA,4,2,1,0.568,2.205,5.13,0.33,2.174,NA,5,1,0,2.323,2.126,5.89,0.48,1.472,NA,5,2,1,2.167,0.812,2.99,0.03,0.62,NA,5,2,1,1.228,NA,NA,NA,NA,NA,NA,NA,NA,12/14/2020,NA,0,NA,NA,NA,0,12/14/2020,NA,0,NA,NA,NA,0,,
