CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,
,,6/30/2010,0.78049621,,nan,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,5.586440678,,nan,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,8.689417317,,nan,,,,,,,,,,,,,,,,,,,,,,
,,9/25/2009,5.248743283,,nan,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,4.932849365,,nan,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,3.39,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/28/2008,-4.97,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/29/2008,1.81,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/30/2008,4.58,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/29/2008,3.23,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/30/2007,7.01,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/31/2007,6.13,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/25/2007,4.93,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/23/2007,6.67,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/24/2006,6.59,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/25/2006,3.26,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/26/2006,4.78,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/24/2006,5.08,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/25/2005,3.35,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/26/2005,3.25,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/27/2005,1.71,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/25/2005,2.94,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/26/2004,2.34,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/27/2004,1.74,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/28/2004,2.31,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/27/2004,2.5,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/28/2003,1.99,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/29/2003,1.32,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/30/2003,1.36,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/28/2003,1.29,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/29/2002,0.95,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/30/2002,1,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/31/2002,1.06,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/22/2002,0.98,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/30/2001,0.88,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/31/2001,0.87,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/25/2001,1.06,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/23/2001,1.4,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/24/2000,1.43,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/25/2000,1.62,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/26/2000,1.48,,nan,,,,,,,,,,,,,,,,,,,,,,
