Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,6/30/2003,0.67,,,,,,,,,,,,,,,
,3/31/2003,0.69,,,,,,,,,,,,,,,
,12/31/2002,0.67,,,,,,,,,,,,,,,
,9/30/2002,0.68,,,,,,,,,,,,,,,
,6/28/2002,0.68,,,,,,,,,,,,,,,
,3/28/2002,0.66,,,,,,,,,,,,,,,
,12/31/2001,0.68,,,,,,,,,,,,,,,
,9/28/2001,0.48,,,,,,,,,,,,,,,
,6/29/2001,0.54,,,,,,,,,,,,,,,
,3/30/2001,0.53,,,,,,,,,,,,,,,
,12/29/2000,0.62,,,,,,,,,,,,,,,
,9/29/2000,0.12,,,,,,,,,,,,,,,
,6/30/2000,0.48,,,,,,,,,,,,,,,
,3/31/2000,0.46,,,,,,,,,,,,,,,
,12/31/1999,0.53,,,,,,,,,,,,,,,
,9/30/1999,0.44,,,,,,,,,,,,,,,
,6/30/1999,0.49,,,,,,,,,,,,,,,
,3/31/1999,0.44,,,,,,,,,,,,,,,
,12/31/1998,0.47,,,,,,,,,,,,,,,
,10/30/1998,0.44,,,,,,,,,,,,,,,
,6/30/1998,0.42,,,,,,,,,,,,,,,
,3/31/1998,0.39,,,,,,,,,,,,,,,
,12/31/1997,0.47,,,,,,,,,,,,,,,
,9/30/1997,0.225,,,,,,,,,,,,,,,
,6/30/1997,0.385,,,,,,,,,,,,,,,
,3/31/1997,0.37,,,,,,,,,,,,,,,
,12/31/1996,0.385,,,,,,,,,,,,,,,
,9/30/1996,0.25,,,,,,,,,,,,,,,
,6/28/1996,0.35,,,,,,,,,,,,,,,
,3/29/1996,0.325,,,,,,,,,,,,,,,
,12/29/1995,0.32,,,,,,,,,,,,,,,
,9/29/1995,0.285,,,,,,,,,,,,,,,
,6/30/1995,0.265,,,,,,,,,,,,,,,
,3/31/1995,-0.065,,,,,,,,,,,,,,,
,12/30/1994,0.135,,,,,,,,,,,,,,,
,9/30/1994,0.305,,,,,,,,,,,,,,,
,6/30/1994,0.295,,,,,,,,,,,,,,,
