CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,
,7/31/2017,6/30/2017,0.647058824,,0.72,,0.67,,0.66,,0.65,,0.45,,,,,,,,,,,,,,,,,,
,5/9/2017,3/31/2017,0.365646259,,0.45,,0.48,,0.5,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.51092437,,0.47,,0.49,,0.46,,0.52,,0.56,,0.58,,0.59,,,,,,,,,,,,,,
,,9/30/2016,0.363787375,,0.4,,0.42,,0.44,,0.47,,0.48,,0.51,,0.49,,,,,,,,,,,,,,
,,6/30/2016,0.662337662,,0.54,,0.56,,0.57,,0.59,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.417460317,,0.41,,0.43,,0.44,,0.45,,0.46,,0.43,,,,,,,,,,,,,,,,
,,12/31/2015,0.337962963,,0.41,,0.42,,0.43,,0.47,,0.48,,0.52,,0.54,,0.59,,0.63,,0.66,,0.68,,0.7,,0.685,,0.715
,,9/30/2015,0.427258806,,0.38,,0.4,,0.42,,0.5,,0.44,,0.47,,0.48,,0.49,,0.52,,0.53,,0.54,,0.56,,0.565,,
,,6/30/2015,0.436641221,,0.48,,0.5,,0.51,,0.54,,0.55,,0.56,,0.58,,0.59,,0.6,,0.57,,0.585,,,,,,
,,3/31/2015,0.374812594,,0.35,,0.36,,0.39,,0.4,,0.41,,0.42,,0.43,,0.44,,0.46,,0.43,,0.425,,0.545,,,,
,,12/31/2014,0.375375375,,0.41,,0.42,,0.44,,0.45,,0.48,,0.53,,0.54,,0.55,,0.545,,0.55,,0.54,,0.535,,0.75,,0.43
,,9/30/2014,0.410557185,,0.42,,0.44,,0.45,,0.445,,0.44,,0.445,,0.44,,0.495,,0.465,,,,,,,,,,
,,6/30/2014,0.547687861,,0.47,,0.475,,0.47,,0.475,,0.495,,0.49,,0.545,,0.355,,,,,,,,,,,,
,,3/31/2014,0.326704545,,0.355,,0.365,,0.435,,0.44,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.40819209,,0.445,,0.47,,0.365,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.355153203,,0.36,,0.415,,0.45,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.41322314,,0.45,,0.455,,0.325,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.314713896,,0.325,,0.345,,0.35,,0.385,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.303523035,,0.38,,0.385,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.273333333,,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.381510417,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.283333333,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.427480916,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.295511222,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.309756098,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.368357488,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.222610723,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.215777262,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.122969838,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.196969697,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.175,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.11,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.21,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.14,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.125,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.22,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.08,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.06,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,-0.3,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.015,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.13,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
