CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,3/31/2008,0.24,,,,,,,,,,,,
,,12/31/2007,0.3,,,,,,,,,,,,
,,9/28/2007,0.22,,,,,,,,,,,,
,,6/29/2007,0.19,,,,,,,,,,,,
,,3/30/2007,0.18,,,,,,,,,,,,
,,12/29/2006,0.26,,,,,,,,,,,,
,,9/29/2006,0.18,,,,,,,,,,,,
,,6/30/2006,0.14,,,,,,,,,,,,
,,3/31/2006,0.08,,,,,,,,,,,,
,,12/30/2005,0.215,,,,,,,,,,,,
,,9/30/2005,0.11,,,,,,,,,,,,
,,6/30/2005,0.155,,,,,,,,,,,,
,,3/31/2005,0.095,,,,,,,,,,,,
,,12/31/2004,0.155,,,,,,,,,,,,
,,9/30/2004,0.11,,,,,,,,,,,,
,,6/30/2004,0.125,,,,,,,,,,,,
,,3/31/2004,0.09,,,,,,,,,,,,
,,12/31/2003,0.105,,,,,,,,,,,,
,,9/30/2003,0.08,,,,,,,,,,,,
,,6/30/2003,0.0675,,,,,,,,,,,,
,,3/31/2003,0.06375,,,,,,,,,,,,
,,12/31/2002,0.0925,,,,,,,,,,,,
,,9/30/2002,0.075,,,,,,,,,,,,
,,6/28/2002,0.0675,,,,,,,,,,,,
,,3/28/2002,0.06125,,,,,,,,,,,,
,,12/31/2001,0.08875,,,,,,,,,,,,
,,9/28/2001,0.0475,,,,,,,,,,,,
,,6/29/2001,0.045,,,,,,,,,,,,
,,3/30/2001,0.03375,,,,,,,,,,,,
,,12/29/2000,0.02,,,,,,,,,,,,
,,9/29/2000,-0.15625,,,,,,,,,,,,
,,6/30/2000,-0.05625,,,,,,,,,,,,
,,3/31/2000,-0.03375,,,,,,,,,,,,
,,12/31/1999,-0.3075,,,,,,,,,,,,
,,9/30/1999,0.05375,,,,,,,,,,,,
,,6/30/1999,0.0075,,,,,,,,,,,,
,,3/31/1999,-0.2375,,,,,,,,,,,,
,,12/31/1998,0.09625,,,,,,,,,,,,
,,9/30/1998,0.055,,,,,,,,,,,,
,,6/30/1998,0.03375,,,,,,,,,,,,
,,3/31/1998,0.00375,,,,,,,,,,,,
,,12/31/1997,-0.435,,,,,,,,,,,,
,,9/30/1997,0.05125,,,,,,,,,,,,
,,6/30/1997,0.03125,,,,,,,,,,,,
,,3/31/1997,0.0025,,,,,,,,,,,,
,,12/31/1996,0.04125,,,,,,,,,,,,
,,9/30/1996,0.0475,,,,,,,,,,,,
,,6/28/1996,0.025,,,,,,,,,,,,
