CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,,,,,,,,,,,,,,,,,,
,2/21/2017,1/27/2017,0.5935941,,1.11,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/22/2016,10/31/2016,0.800718133,,1.11,,1.14,,1.17,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/25/2016,7/29/2016,0.660223154,,1.01,,1.07,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/29/2016,0.778789804,,1.26,,1.27,,1.25,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/29/2016,0.769933905,,1.06,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/30/2015,0.363941769,,1,,1.05,,1.09,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2015,0.570871624,,1.01,,1.08,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2015,-0.000694155,,1.11,,1.1,,1.19,1.18,1.17,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/23/2015,0.981120707,,0.97,,0.99,,0.98,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2014,0.833836858,,0.96,,0.97,,0.99,0.98,0.99,0.92,,,,,,,,,,,,,,,,,,,,,,,,
,,7/25/2014,0.86649423,,0.92,,0.93,,0.95,0.99,0.95,0.94,0.95,1.12,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2014,0.442600277,,1.12,,1.11,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/24/2014,0.754455446,,0.91,,0.93,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/25/2013,0.893600159,,0.9,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/26/2013,0.933215825,,0.88,,0.9,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/26/2013,0.947214076,,1.03,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/24/2013,0.967678746,,0.91,,0.9,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/25/2012,0.628526951,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/26/2012,0.833092277,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/26/2012,0.944619197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/26/2012,0.880965855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/27/2011,0.819302041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/28/2011,0.767576664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/29/2011,0.721793322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/28/2011,0.857222377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/29/2010,0.522284765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/30/2010,0.761677526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2010,0.859924283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/29/2010,0.749526472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/30/2009,0.782545979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2009,0.399246366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2009,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/30/2009,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2008,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2008,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2008,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2008,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2007,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2007,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2007,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2007,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2006,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2006,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/28/2006,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2006,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2005,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/29/2005,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/29/2005,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2005,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/29/2004,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/30/2004,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2004,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/30/2004,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2003,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2003,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2003,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2003,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2002,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2002,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2002,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2002,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2001,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2001,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2001,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2001,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2000,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2000,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/28/2000,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2000,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/29/1999,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/30/1999,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/1999,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/29/1999,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/30/1998,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/1998,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/1998,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/30/1998,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/1997,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/1997,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/1997,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/1997,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/1996,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/1996,0.1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/1996,0.1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/1996,0.1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/1995,0.1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/1995,0.1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/28/1995,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/1995,0.0775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/1994,0.07625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/29/1994,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/29/1994,0.0725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/1994,0.061875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/29/1993,0.06125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/30/1993,0.056875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/1993,0.06125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/29/1993,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/30/1992,0.063125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
