Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,,
10/24/2017,9/29/2017,0.681964573,,0.72,,0.73,,0.74,,0.77,,0.88,,,,,,,,,,
7/25/2017,6/30/2017,0.641993861,,0.66,,0.7,,0.73,,0.72,,0.75,,0.76,,0.8,,0.81,,,,
4/20/2017,3/31/2017,0.621121992,,0.58,,0.6,,0.65,,0.64,,0.67,,0.68,,0.7,,,,,,
,12/30/2016,0.610446684,,0.64,,0.7,,0.71,,0.76,,0.77,,0.8,,0.84,,0.83,,,,
,9/30/2016,0.706516058,,0.71,,0.72,,0.81,,0.82,,0.83,,0.84,,0.85,,0.83,,0.84,,
,6/30/2016,0.708394869,,0.73,,0.74,,0.76,,0.75,,0.77,,0.79,,0.77,,,,,,
,3/31/2016,0.640986038,,0.64,,0.66,,0.68,,0.67,,,,,,,,,,,,
,12/31/2015,0.71097162,,0.7,,0.71,,0.72,,0.71,,0.69,,,,,,,,,,
,9/30/2015,0.730066119,,0.73,,0.72,,0.73,,0.71,,,,,,,,,,,,
,6/30/2015,0.671688393,,0.66,,0.65,,,,,,,,,,,,,,,,
,3/31/2015,0.580268978,,0.56,,0.55,,,,,,,,,,,,,,,,
,12/31/2014,0.622817807,,0.61,,,,,,,,,,,,,,,,,,
,9/30/2014,0.629286527,,0.58,,,,,,,,,,,,,,,,,,
,6/30/2014,0.553688802,,0.52,,,,,,,,,,,,,,,,,,
,3/31/2014,0.45204574,,0.44,,,,,,,,,,,,,,,,,,
,12/31/2013,0.488878981,,0.48,,,,,,,,,,,,,,,,,,
,9/30/2013,0.483521688,,,,,,,,,,,,,,,,,,,,
,6/28/2013,0.458291866,,,,,,,,,,,,,,,,,,,,
,3/28/2013,0.403637441,,,,,,,,,,,,,,,,,,,,
,12/31/2012,0.42128302,,,,,,,,,,,,,,,,,,,,
,9/28/2012,0.412408995,,,,,,,,,,,,,,,,,,,,
,6/29/2012,0.322751701,,,,,,,,,,,,,,,,,,,,
,3/30/2012,0.34227409,,,,,,,,,,,,,,,,,,,,
,12/30/2011,0.300137799,,,,,,,,,,,,,,,,,,,,
,9/30/2011,0.310155021,,,,,,,,,,,,,,,,,,,,
,6/30/2011,0.251709507,,,,,,,,,,,,,,,,,,,,
,3/31/2011,0.182417994,,,,,,,,,,,,,,,,,,,,
,12/31/2010,0.168671669,,,,,,,,,,,,,,,,,,,,
,9/30/2010,0.140552448,,,,,,,,,,,,,,,,,,,,
,6/30/2010,0.080786525,,,,,,,,,,,,,,,,,,,,
,3/31/2010,0.052350127,,,,,,,,,,,,,,,,,,,,
,12/31/2009,0.089342179,,,,,,,,,,,,,,,,,,,,
,9/30/2009,0.06109174,,,,,,,,,,,,,,,,,,,,
,6/30/2009,0.032650091,,,,,,,,,,,,,,,,,,,,
,3/31/2009,0.056462465,,,,,,,,,,,,,,,,,,,,
,12/31/2008,0.254445357,,,,,,,,,,,,,,,,,,,,
,9/30/2008,0.420145447,,,,,,,,,,,,,,,,,,,,
,6/30/2008,0.46976451,,,,,,,,,,,,,,,,,,,,
,3/31/2008,0.454506928,,,,,,,,,,,,,,,,,,,,
,12/31/2007,0.497390492,,,,,,,,,,,,,,,,,,,,
,9/28/2007,0.456835266,,,,,,,,,,,,,,,,,,,,
,6/29/2007,0.441378892,,,,,,,,,,,,,,,,,,,,
,3/30/2007,0.418674467,,,,,,,,,,,,,,,,,,,,
,12/29/2006,0.446400862,,,,,,,,,,,,,,,,,,,,
,9/29/2006,0.433260973,,,,,,,,,,,,,,,,,,,,
,6/30/2006,0.394351392,,,,,,,,,,,,,,,,,,,,
,3/31/2006,0.376510283,,,,,,,,,,,,,,,,,,,,
,12/30/2005,0.370078244,,,,,,,,,,,,,,,,,,,,
,9/30/2005,0.36987355,,,,,,,,,,,,,,,,,,,,
,6/30/2005,0.33197979,,,,,,,,,,,,,,,,,,,,
,3/31/2005,0.292797675,,,,,,,,,,,,,,,,,,,,
,12/31/2004,0.280971211,,,,,,,,,,,,,,,,,,,,
,9/30/2004,0.243891392,,,,,,,,,,,,,,,,,,,,
,6/30/2004,0.183397498,,,,,,,,,,,,,,,,,,,,
,3/31/2004,0.088206854,,,,,,,,,,,,,,,,,,,,
,12/31/2003,0.027724086,,,,,,,,,,,,,,,,,,,,
,9/30/2003,0.027905397,,,,,,,,,,,,,,,,,,,,
,6/30/2003,0.000787452,,,,,,,,,,,,,,,,,,,,
,3/31/2003,-0.020264696,,,,,,,,,,,,,,,,,,,,
,12/31/2002,-0.041675758,,,,,,,,,,,,,,,,,,,,
,9/30/2002,-0.018040768,,,,,,,,,,,,,,,,,,,,
,6/28/2002,0.018300017,,,,,,,,,,,,,,,,,,,,
