CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,,,,,,,,,,,,,,,,,,,,
,2/25/2019,12/31/2018,0.065946082,,0.38,,0.37,,0.39,0.38,0.32,,,,,,,,,,,,,,,,,,,,,,,,,
,11/1/2018,9/28/2018,0.093933119,,0.35,,0.36,,0.37,0.36,0.31,,,,,,,,,,,,,,,,,,,,,,,,,
,8/2/2018,6/29/2018,0.094205877,,0.37,,0.34,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/3/2018,3/29/2018,0.128523763,,0.34,,0.33,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/27/2018,12/29/2017,-0.25892558,,0.26,,0.25,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/2/2017,9/29/2017,0.082576124,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/2/2017,6/30/2017,0.075837656,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/4/2017,3/31/2017,0.100692994,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/27/2017,12/30/2016,0.093040599,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/3/2016,9/30/2016,0.05388869,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/3/2016,6/30/2016,0.026995503,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/4/2016,3/31/2016,0.038834951,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.050613198,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,-0.106995455,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,-0.043203688,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,-0.020895057,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,-0.04,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,-0.08,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,-0.01,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
