CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,,,,,,
,,5/31/2013,0.241283621,,0.46,,0.54,,0.61,0.63,,,,,,,,,,,,,
,,2/27/2013,0.428101004,,0.46,,0.54,,0.55,0.6,,,,,,,,,,,,,
,,11/30/2012,0.509330369,,0.47,,0.56,,,,,,,,,,,,,,,,
,,8/31/2012,0.392687589,,0.5,,,,,,,,,,,,,,,,,,
,,5/31/2012,0.478961525,,0.56,,,,,,,,,,,,,,,,,,
,,2/28/2012,0.460518129,,0.49,,,,,,,,,,,,,,,,,,
,,11/29/2011,0.537647008,,,,,,,,,,,,,,,,,,,,
,,8/31/2011,0.517798649,,,,,,,,,,,,,,,,,,,,
,,5/31/2011,0.470884288,,,,,,,,,,,,,,,,,,,,
,,2/28/2011,0.250667354,,,,,,,,,,,,,,,,,,,,
,,11/30/2010,0.490683287,,,,,,,,,,,,,,,,,,,,
,,8/31/2010,0.269723388,,,,,,,,,,,,,,,,,,,,
,,5/28/2010,0.240303526,,,,,,,,,,,,,,,,,,,,
,,2/26/2010,0.138899236,,,,,,,,,,,,,,,,,,,,
,,11/30/2009,0.131535997,,,,,,,,,,,,,,,,,,,,
,,8/31/2009,0.026603608,,,,,,,,,,,,,,,,,,,,
,,5/29/2009,-0.138819441,,,,,,,,,,,,,,,,,,,,
,,2/27/2009,-4.189907649,,,,,,,,,,,,,,,,,,,,
,,11/28/2008,-1.336445248,,,,,,,,,,,,,,,,,,,,
,,8/29/2008,0.28,,,,,,,,,,,,,,,,,,,,
,,5/30/2008,0.19,,,,,,,,,,,,,,,,,,,,
,,2/28/2008,-0.12,,,,,,,,,,,,,,,,,,,,
,,11/30/2007,0.3,,,,,,,,,,,,,,,,,,,,
,,8/31/2007,0.06,,,,,,,,,,,,,,,,,,,,
,,5/31/2007,0.03,,,,,,,,,,,,,,,,,,,,
,,2/28/2007,0.07,,,,,,,,,,,,,,,,,,,,
,,11/30/2006,0.2,,,,,,,,,,,,,,,,,,,,
,,8/31/2006,-0.22,,,,,,,,,,,,,,,,,,,,
,,5/31/2006,0.3,,,,,,,,,,,,,,,,,,,,
,,2/28/2006,0.32,,,,,,,,,,,,,,,,,,,,
,,11/30/2005,0.37,,,,,,,,,,,,,,,,,,,,
,,8/31/2005,-0.06,,,,,,,,,,,,,,,,,,,,
,,5/31/2005,-0.03,,,,,,,,,,,,,,,,,,,,
,,2/28/2005,-0.02,,,,,,,,,,,,,,,,,,,,
