CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/12/2021,6/30/2021,-0.58,0.01,,0.01,,0.01,,0.03,,0.07,,0.08,,0.27,,0.28,,0.3,,0.35,,0.46,,0.46,,0.49,,0.49,,0.49,,0.49,,0.49,,0.49,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/5/2021,3/31/2021,-0.39,0.09,,0.04,,0.04,,0.28,,0.3,,0.3,,0.34,,0.43,,0.43,,0.47,,0.47,,0.47,,0.47,,0.47,,0.46,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/11/2021,12/31/2020,0.3,0.82,,0.6,,0.6,,0.61,,0.63,5/8/2020,0.63,5/8/2020,0.7,5/8/2020,0.7,5/8/2020,0.7,5/8/2020,0.7,5/8/2020,0.7,5/8/2020,0.71,5/8/2020,0.83,5/8/2020,0.87,4/14/2020,0.91,3/9/2020,0.93,2/14/2020,0.94,2/12/2020,0.94,1/13/2020,0.91,9/8/2019,0.92,,0.92,,0.91,,,,,,,,,,,,,,,,,,,,,
,11/10/2020,9/30/2020,-0.41,0.31,,0.29,,0.29,,0.38,,0.38,,0.38,,0.38,,0.38,,0.39,,0.48,,0.54,,0.57,,0.58,,0.67,,0.67,,0.6,,0.59,,0.59,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/4/2020,6/30/2020,-0.11,0.42,,0.27,,0.27,,0.27,,0.27,,0.29,,0.36,,0.42,,0.47,,0.48,,0.6,,0.6,,0.56,,0.55,,0.55,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/13/2020,3/31/2020,0.06,0.5,,0.36,,0.38,,0.39,,0.4,,0.56,,0.56,,0.52,,0.51,,0.51,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/12/2020,12/31/2019,0.53,0.97,,0.81,,0.68,,0.69,,0.69,,0.67,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/6/2019,9/30/2019,0.39,0.65,,0.47,,0.46,,0.46,,0.44,0.49,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/7/2019,6/28/2019,0.343726863,0.59,,0.47,,0.42,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/14/2019,3/29/2019,0.355796982,0.56,,0.41,,0.37,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/14/2019,12/31/2018,0.64295472,0.89,,0.59,,0.51,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/7/2018,9/28/2018,0.215979788,0.48,,0.27,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/7/2018,6/29/2018,0.226874361,0.36,,0.24,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/3/2018,3/29/2018,0.176090377,0.32,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/15/2018,12/29/2017,0.097860381,,,0.36,,0.43,,0.42,0.39,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/2/2017,9/29/2017,0.046456804,,,0.19,,0.32,,0.35,0.34,0.32,0.29,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/8/2017,6/30/2017,0.089682206,,,0.19,,0.27,,0.31,0.29,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/11/2017,3/31/2017,0.208677067,,,0.23,,0.27,,0.26,0.23,0.21,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/9/2017,12/30/2016,0.284386624,,,0.33,,0.32,,0.31,0.28,0.31,0.32,0.3,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/3/2016,9/30/2016,0.197644551,,,0.23,,0.21,,0.22,0.25,0.21,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/9/2016,6/30/2016,0.180202212,,,0.2,,0.18,,0.2,0.18,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/5/2016,3/31/2016,0.119758823,,,0.16,,0.17,,0.15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.278024424,,,0.2,,0.17,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.189395761,,,0.13,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.140623501,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.119758823,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.192075086,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.112314928,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.172228914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
