CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,
,,12/31/2015,-1.278659217,,-0.54,,-0.56,,-0.5,,-0.47,,-0.29,,-0.31,,-0.38,,-0.41,,-0.48,,,,
,,9/30/2015,-1.311201712,,-0.48,,-0.29,,-0.28,,-0.31,,-0.4,,,,,,,,,,,,
,,6/30/2015,-0.523200622,,-0.32,,-0.27,,-0.3,,-0.29,,,,,,,,,,,,,,
,,3/31/2015,-1.182836414,,-0.31,,-0.27,,-0.26,,-0.29,,-0.28,,-0.37,,,,,,,,,,
,,12/31/2014,-0.701203797,,-0.26,,-0.3,,-0.39,,-0.3,,-0.29,,-0.75,,-0.38,,,,,,,,
,,9/30/2014,-0.39936427,,-0.27,,-0.38,,-0.31,,-0.28,,-0.71,,-0.37,,,,,,,,,,
,,6/30/2014,-0.903068846,,-0.33,,-0.3,,-0.27,,-0.68,,-0.21,,,,,,,,,,,,
,,3/31/2014,-0.438203103,,-0.27,,-0.64,,-0.49,,,,,,,,,,,,,,,,
,,12/31/2013,-0.610177598,,-0.38,,-0.5,,-0.5,,,,,,,,,,,,,,,,
,,9/30/2013,-0.456766968,,-0.41,,-0.42,,,,,,,,,,,,,,,,,,
,,6/28/2013,-0.711891148,,-0.32,,-0.41,,-0.25,,,,,,,,,,,,,,,,
,,3/28/2013,-0.543072985,,-0.2,,-0.29,,-0.41,,,,,,,,,,,,,,,,
,,12/31/2012,-0.437523772,,-0.26,,-0.27,,,,,,,,,,,,,,,,,,
,,9/28/2012,-0.522255548,,-0.42,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,-0.427132005,,nan,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,-0.430297391,,nan,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,-0.659987898,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,-0.670237222,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,-0.667860682,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,-0.595041075,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,-1.508617368,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,-0.73,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.86,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,-0.64,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,-0.44,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,-0.8,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,-0.25,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,-1.7,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,-2.32,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,-1.51,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,-2.9,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,-1.14,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,-1.14,,nan,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,-1.14,,nan,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,-0.76,,nan,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,-0.63,,nan,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,-1.71,,nan,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,-0.61,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,-0.07,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,-0.29,,nan,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,-0.34,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.14,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,-0.18,,nan,,,,,,,,,,,,,,,,,,,,
