CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,1/31/2014,0.56,,,2.06,,,,,,,,,,
,,11/1/2013,-0.04,,,1.37,,,,,,,,,,
,,8/2/2013,0.48,,,1.31,,,,,,,,,,
,,5/3/2013,0.92,,,1.31,,,,,,,,,,
,,1/31/2013,2.16,,,,,,,,,,,,,
,,10/31/2012,1.32,,,,,,,,,,,,,
,,7/31/2012,1.28,,,,,,,,,,,,,
,,4/30/2012,1.4,,,,,,,,,,,,,
,,1/31/2012,-1.76,,,,,,,,,,,,,
,,10/31/2011,-1.08,,,,,,,,,,,,,
,,7/29/2011,2,,,,,,,,,,,,,
,,4/29/2011,1.44,,,,,,,,,,,,,
,,1/31/2011,1.32,,,,,,,,,,,,,
,,10/29/2010,1.84,,,,,,,,,,,,,
,,7/30/2010,2,,,,,,,,,,,,,
,,4/30/2010,1.28,,,,,,,,,,,,,
,,1/29/2010,1.16,,,,,,,,,,,,,
,,10/30/2009,1.36,,,,,,,,,,,,,
,,7/31/2009,1.24,,,,,,,,,,,,,
,,4/30/2009,1.12,,,,,,,,,,,,,
,,1/30/2009,1.2,,,,,,,,,,,,,
,,10/31/2008,1.2,,,,,,,,,,,,,
,,7/31/2008,1.08,,,,,,,,,,,,,
,,4/30/2008,1,,,,,,,,,,,,,
,,1/31/2008,1,,,,,,,,,,,,,
,,10/31/2007,1,,,,,,,,,,,,,
,,7/31/2007,1.24,,,,,,,,,,,,,
