Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,
,9/30/1997,0.138888889,,,,,,,,,,,,,,,,,,,
,6/30/1997,0.194444444,,,,,,,,,,,,,,,,,,,
,3/31/1997,0.173611111,,,,,,,,,,,,,,,,,,,
,12/31/1996,0.140660165,,,,,,,,,,,,,,,,,,,
,9/30/1996,0.166708344,,,,,,,,,,,,,,,,,,,
,6/28/1996,0.192756522,,,,,,,,,,,,,,,,,,,
,3/29/1996,0.171917979,,,,,,,,,,,,,,,,,,,
,12/29/1995,0.171917979,,,,,,,,,,,,,,,,,,,
,9/29/1995,0.161498708,,,,,,,,,,,,,,,,,,,
,6/30/1995,0.151079437,,,,,,,,,,,,,,,,,,,
,3/31/1995,0.151079437,,,,,,,,,,,,,,,,,,,
,12/30/1994,0.342949313,,,,,,,,,,,,,,,,,,,
,9/30/1994,0.113593561,,,,,,,,,,,,,,,,,,,
