CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,
,3/23/2023,2/28/2023,1.51,1.44,,1.6,,1.66,,1.6,,,,,,,,,,,,,,,,,,
,1/9/2023,11/30/2022,2.2,2.24,,1.99,,1.99,,1.9,,,,,,,,,,,,,,,,,,
,10/13/2022,8/31/2022,2.4,2.45,,2.35,,2.47,,2.4,,,,,,,,,,,,,,,,,,
,6/16/2022,5/28/2022,2.54,2.61,,1.84,,1.84,,1.42,,,,,,,,,,,,,,,,,,
,3/17/2022,2/28/2022,3.12,1.53,,1.26,,1.14,,0.93,,,,,,,,,,,,,,,,,,
,1/10/2022,11/30/2021,1.9,1.62,,1.21,,1.07,,1.2,,,,,,,,,,,,,,,,,,
,10/14/2021,8/31/2021,1.24,1.26,,1.17,,1.12,,1.09,,,,,,,,,,,,,,,,,,
,6/17/2021,5/28/2021,1.07,1.04,,0.8,,0.73,,0.55,,,,,,,,,,,,,,,,,,
,3/18/2021,2/28/2021,0.54,0.66,,0.5,,0.54,,0.39,,,,,,,,,,,,,,,,,,
,1/11/2021,11/30/2020,0.53,0.58,,0.54,,0.52,,0.54,,,,,,,,,,,,,,,,,,
,10/14/2020,8/31/2020,0.56,0.79,,0.57,,0.53,,0.52,,,,,,,,,,,,,,,,,,
,6/18/2020,5/29/2020,0.54,0.59,,0.35,,0.35,,0.63,,,,,,,,,,,,,,,,,,
,3/19/2020,2/28/2020,0.528174149,0.53,,0.49,,0.51,,0.5,,,,,,,,,,,,,,,,,,
,1/6/2020,11/29/2019,0.69587992,0.73,,0.54,,0.53,,0.6,,,,,,,,,,,,,,,,,,
,10/23/2019,8/30/2019,0.721245605,0.76,,0.7,,0.71,,0.66,,,,,,,,,,,,,,,,,,
,6/20/2019,5/31/2019,0.657934681,0.67,,0.61,,0.62,,0.65,,,,,,,,,,,,,,,,,,
,3/21/2019,2/28/2019,0.116442566,0.29,,0.26,,0.43,,0.46,,,,,,,,,,,,,,,,,,
,1/7/2019,11/30/2018,0.166343012,0.35,,0.33,,0.35,,0.53,,,,,,,,,,,,,,,,,,
,10/25/2018,8/31/2018,0.435446067,0.51,,0.42,,0.51,,0.47,,,,,,,,,,,,,,,,,,
,6/21/2018,5/31/2018,0.337956709,0.41,,0.42,,0.41,,0.46,,,,,,,,,,,,,,,,,,
,3/22/2018,2/28/2018,0.085989887,0.26,,0.27,,0.32,,0.33,,,,,,,,,,,,,,,,,,
,1/3/2018,11/30/2017,0.312325237,0.31,,0.17,,0.2,,0.24,,,,,,,,,,,,,,,,,,
,10/26/2017,8/31/2017,-0.2548916,,,0.19,,0.28,,0.31,,,,,,,,,,,,,,,,,,
,6/22/2017,5/31/2017,0.335018782,,,0.24,,0.28,,0.34,,,,,,,,,,,,,,,,,,
,3/23/2017,2/28/2017,0.25898178,,,0.1,,0.14,,0.12,,,,,,,,,,,,,,,,,,
,1/9/2017,11/30/2016,0.053814256,,,0.16,,0.17,,0.19,,0.26,,0.32,,0.36,,0.39,,,,,,,,,,
,,8/31/2016,-0.001141828,,,0.3,,0.31,,0.33,,0.32,,0.35,,0.39,,0.44,,0.46,,0.6,,0.62,,0.54,,0.25
,,5/31/2016,0.166627132,,,0.25,,0.29,,0.28,,0.32,,0.37,,0.41,,0.39,,0.48,,0.49,,0.45,,0.13,,
,,2/29/2016,0.090140049,,,0.13,,0.14,,0.19,,0.23,,0.24,,0.2,,0.17,,0.22,,,,,,,,
,,11/30/2015,0.213593988,,,0.22,,0.29,,0.35,,0.39,,0.37,,0.32,,,,,,,,,,,,
,,8/31/2015,-0.049707945,,,0.43,,0.44,,0.41,,,,,,,,,,,,,,,,,,
,,5/29/2015,0.485452048,,,0.39,,0.38,,,,,,,,,,,,,,,,,,,,
,,2/27/2015,0.462690276,,,0.2,,,,,,,,,,,,,,,,,,,,,,
,,11/28/2014,0.304878618,,,0.28,,,,,,,,,,,,,,,,,,,,,,
,,8/29/2014,0.29383414,,,0.25,,,,,,,,,,,,,,,,,,,,,,
,,5/30/2014,0.198392393,,,0.3,,,,,,,,,,,,,,,,,,,,,,
,,2/28/2014,0.093923456,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/29/2013,0.388628276,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/30/2013,0.034427589,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/31/2013,0.161116581,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/28/2013,0.038928988,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/30/2012,0.424591852,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/31/2012,0.26,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/31/2012,0.35,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/29/2012,0.25,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/30/2011,0.93,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/31/2011,-1.04,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/31/2011,0.31,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/28/2011,-0.4,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/30/2010,0.01,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/31/2010,0.07,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/28/2010,-0.08,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/26/2010,-1.53,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/30/2009,-0.28,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/31/2009,0.06,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/29/2009,-0.12,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/27/2009,-0.32,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/28/2008,0.54,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/29/2008,0.55,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/30/2008,0.51,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/29/2008,0.34,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/30/2007,0.57,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/31/2007,0.86,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/31/2007,0.82,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/28/2007,0.54,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/30/2006,0.71,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/31/2006,1.04,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/31/2006,0.62,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/28/2006,0.65,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/30/2005,0.57,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/31/2005,0.69,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/31/2005,0.57,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/28/2005,0.45,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/30/2004,0.61,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/31/2004,0.39,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/28/2004,0.42,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/27/2004,0.18,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/28/2003,0.11,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/29/2003,0.095,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/30/2003,0.025,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/28/2003,0.025,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/29/2002,0.02,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/30/2002,0.0775,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/31/2002,0.14,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/28/2002,0.06,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/30/2001,0.08,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/31/2001,0.1325,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/31/2001,0.1,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/28/2001,0.015,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/30/2000,-0.0225,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/31/2000,0.11,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/31/2000,0.11,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/28/2000,0.0875,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/30/1999,0.085,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/31/1999,0.14375,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/28/1999,0.095,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/26/1999,0.07125,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/30/1998,0.09375,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/31/1998,0.125,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/29/1998,0.09375,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/27/1998,0.07,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/28/1997,0.0675,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/29/1997,0.10625,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/30/1997,0.07875,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/28/1997,0.05875,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/29/1996,0.075,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/30/1996,0.1075,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/31/1996,0.09875,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/29/1996,0.08375,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/30/1995,0.0875,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/31/1995,0.0825,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/31/1995,0.09125,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/28/1995,0.08375,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/30/1994,0.055,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/31/1994,0.07875,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/31/1994,0.06,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/28/1994,0.035,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/30/1993,0.0475,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/31/1993,0.0625,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/28/1993,0.05375,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/26/1993,0.04125,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,11/30/1992,0.025,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,8/31/1992,0.05625,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,5/29/1992,0.02375,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,2/28/1992,0.00375,,,nan,,,,,,,,,,,,,,,,,,,,,,
