Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,,,,,
9/29/2000,0.25,,nan,,,,,,,,,,,,,,,,,
6/30/2000,0.24,,nan,,,,,,,,,,,,,,,,,
3/31/2000,0.185,,nan,,,,,,,,,,,,,,,,,
12/31/1999,0.2425,,nan,,,,,,,,,,,,,,,,,
9/30/1999,0.24,,nan,,,,,,,,,,,,,,,,,
6/30/1999,0.1925,,nan,,,,,,,,,,,,,,,,,
3/31/1999,0.13,,nan,,,,,,,,,,,,,,,,,
12/31/1998,-0.1925,,nan,,,,,,,,,,,,,,,,,
9/30/1998,0.0375,,nan,,,,,,,,,,,,,,,,,
6/30/1998,-0.425,,nan,,,,,,,,,,,,,,,,,
3/31/1998,-0.0625,,nan,,,,,,,,,,,,,,,,,
12/31/1997,-0.1475,,nan,,,,,,,,,,,,,,,,,
9/30/1997,0.24,,nan,,,,,,,,,,,,,,,,,
6/30/1997,0.2175,,nan,,,,,,,,,,,,,,,,,
3/31/1997,0.13,,nan,,,,,,,,,,,,,,,,,
12/31/1996,0.2325,,nan,,,,,,,,,,,,,,,,,
9/30/1996,0.325,,nan,,,,,,,,,,,,,,,,,
6/28/1996,0.295,,nan,,,,,,,,,,,,,,,,,
3/29/1996,0.19,,nan,,,,,,,,,,,,,,,,,
12/29/1995,0.3575,,nan,,,,,,,,,,,,,,,,,
9/29/1995,0.2875,,nan,,,,,,,,,,,,,,,,,
6/30/1995,0.2725,,nan,,,,,,,,,,,,,,,,,
3/31/1995,0.2325,,nan,,,,,,,,,,,,,,,,,
12/30/1994,0.315,,nan,,,,,,,,,,,,,,,,,
9/30/1994,-0.26,,nan,,,,,,,,,,,,,,,,,
6/30/1994,0.2675,,nan,,,,,,,,,,,,,,,,,
