CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,-0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.286666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.293333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.286666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.253333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2004,0.273333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2004,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2003,0.233333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2003,0.186666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2003,0.246666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2003,0.066666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2002,0.246666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2002,0.253333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2002,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2002,0.213333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2001,-0.153333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2001,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2001,0.226666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2001,0.193333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2000,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2000,0.206666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2000,0.226666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2000,0.193333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1999,0.193333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1999,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1999,0.206666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1999,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1998,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
