CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/1/2018,2/2/2018,-1.090774772,,,1.63,,1.54,1.57,1.46,1.35,1.36,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/30/2017,11/3/2017,1.072605463,,,1.25,,1.22,1.21,1.12,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/24/2017,8/4/2017,0.809171254,,,1.13,,1.09,1.08,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/1/2017,5/5/2017,0.56036211,,,0.96,,0.93,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,1.044387677,,,1.29,,1.3,1.29,1.25,1.38,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.750574107,,,1.05,,1.04,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.620460686,,,0.94,,0.98,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.379555849,,,0.92,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.884457667,,,1.23,,1.25,1.22,1.23,1.24,1.23,1.24,1.26,1.27,1.28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.601442046,,,1,,1.01,1.02,1.03,1.05,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.403001896,,,0.92,,0.93,0.96,0.98,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.455288783,,,0.89,,0.9,0.91,0.93,0.92,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.752530557,,,1.06,,1.07,1.06,1.07,1.06,1.07,1.09,1.14,1.1,1.09,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.446883106,,,0.84,,0.87,0.89,0.88,0.92,0.97,0.96,0.95,0.94,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.38461627,,,0.8,,0.87,0.91,0.83,0.91,0.92,0.9,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.457756441,,,0.8,,0.81,0.83,0.86,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.772564059,,,0.99,,0.97,0.96,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.602771363,,,0.81,,0.82,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.565046296,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.401194089,,,0.74,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.474992209,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.361810159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.441114284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.441898096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.464625906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.41108083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.511432773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.293099311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.283105756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.198321069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.176491063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.18812627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.141101517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.094862592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.082195207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.17881113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.280609791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.211266462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.131174824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.108161271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
