Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,5/29/2015,1.03122558,,0.96,,0.97,,1.12,,1.15,,1.22,,1.23,,,,,,,,,,,
,2/27/2015,0.83693922,,0.85,,0.87,,0.88,,0.93,,0.92,,1.01,,1.02,,1.08,,,,,,,
,11/28/2014,0.912856261,,0.98,,1.01,,0.99,,0.98,,1.08,,1.09,,1.1,,1.11,,1.02,,,,,
,8/29/2014,1.012851522,,1.01,,1.03,,1.04,,1.07,,1.06,,1.22,,1.06,,,,,,,,,
,5/30/2014,1.039927988,,1.06,,1.07,,1.08,,1.09,,1.23,,0.85,,,,,,,,,,,
,2/28/2014,0.7979371470000001,,0.85,,0.87,,0.92,,0.95,,0.92,,1.08,,0.94,,,,,,,,,
,11/29/2013,0.93607914,,0.95,,1.15,,0.89,,,,,,,,,,,,,,,,,
,8/30/2013,0.891967153,,0.9,,1.01,,0.96,,,,,,,,,,,,,,,,,
,5/31/2013,0.987645326,,0.97,,1.11,,0.9,,,,,,,,,,,,,,,,,
,3/1/2013,0.890029837,,0.9,,1.02,,1.0,,,,,,,,,,,,,,,,,
,11/30/2012,1.0077510729999999,,1.01,,1.07,,,,,,,,,,,,,,,,,,,
,8/31/2012,1.1019523820000001,,1.1,,1.11,,,,,,,,,,,,,,,,,,,
,5/25/2012,1.113488225,,1.11,,,,,,,,,,,,,,,,,,,,,
,2/24/2012,0.953339259,,0.95,,,,,,,,,,,,,,,,,,,,,
,11/25/2011,0.955450525,,,,,,,,,,,,,,,,,,,,,,,
,8/26/2011,0.9355584929999999,,,,,,,,,,,,,,,,,,,,,,,
,5/27/2011,0.975734716,,,,,,,,,,,,,,,,,,,,,,,
,2/25/2011,0.784666403,,,,,,,,,,,,,,,,,,,,,,,
,11/26/2010,0.7573851420000001,,,,,,,,,,,,,,,,,,,,,,,
,8/27/2010,0.7000953440000001,,,,,,,,,,,,,,,,,,,,,,,
,5/28/2010,0.698783955,,,,,,,,,,,,,,,,,,,,,,,
,2/26/2010,0.48625279600000004,,,,,,,,,,,,,,,,,,,,,,,
,11/27/2009,0.5009007289999999,,,,,,,,,,,,,,,,,,,,,,,
,8/28/2009,0.41682434799999996,,,,,,,,,,,,,,,,,,,,,,,
,5/28/2009,0.445134077,,,,,,,,,,,,,,,,,,,,,,,
,2/26/2009,0.42210264200000003,,,,,,,,,,,,,,,,,,,,,,,
,11/26/2008,0.723859514,,,,,,,,,,,,,,,,,,,,,,,
,8/29/2008,0.8,,,,,,,,,,,,,,,,,,,,,,,
,5/30/2008,0.81,,,,,,,,,,,,,,,,,,,,,,,
,2/29/2008,0.73,,,,,,,,,,,,,,,,,,,,,,,
,11/30/2007,0.7,,,,,,,,,,,,,,,,,,,,,,,
,8/31/2007,0.71,,,,,,,,,,,,,,,,,,,,,,,
,5/31/2007,0.69,,,,,,,,,,,,,,,,,,,,,,,
,2/28/2007,0.61,,,,,,,,,,,,,,,,,,,,,,,
,11/30/2006,0.6,,,,,,,,,,,,,,,,,,,,,,,
,8/31/2006,0.5,,,,,,,,,,,,,,,,,,,,,,,
,5/31/2006,0.54,,,,,,,,,,,,,,,,,,,,,,,
,2/28/2006,0.49,,,,,,,,,,,,,,,,,,,,,,,
,11/30/2005,0.47,,,,,,,,,,,,,,,,,,,,,,,
,8/31/2005,0.42,,,,,,,,,,,,,,,,,,,,,,,
,5/31/2005,0.44,,,,,,,,,,,,,,,,,,,,,,,
,2/28/2005,0.39,,,,,,,,,,,,,,,,,,,,,,,
,11/30/2004,0.37,,,,,,,,,,,,,,,,,,,,,,,
,8/31/2004,0.32,,,,,,,,,,,,,,,,,,,,,,,
,5/28/2004,0.34,,,,,,,,,,,,,,,,,,,,,,,
,2/27/2004,0.27,,,,,,,,,,,,,,,,,,,,,,,
,11/28/2003,0.24,,,,,,,,,,,,,,,,,,,,,,,
,8/29/2003,0.2,,,,,,,,,,,,,,,,,,,,,,,
,5/30/2003,0.19,,,,,,,,,,,,,,,,,,,,,,,
,2/28/2003,0.19,,,,,,,,,,,,,,,,,,,,,,,
,11/29/2002,0.19,,,,,,,,,,,,,,,,,,,,,,,
,8/30/2002,0.13,,,,,,,,,,,,,,,,,,,,,,,
,5/31/2002,0.15,,,,,,,,,,,,,,,,,,,,,,,
,3/1/2002,0.12,,,,,,,,,,,,,,,,,,,,,,,
,11/30/2001,0.11,,,,,,,,,,,,,,,,,,,,,,,
,8/31/2001,0.14,,,,,,,,,,,,,,,,,,,,,,,
,5/25/2001,0.03,,,,,,,,,,,,,,,,,,,,,,,
,2/23/2001,0.2,,,,,,,,,,,,,,,,,,,,,,,
,11/24/2000,0.2,,,,,,,,,,,,,,,,,,,,,,,
,8/31/2000,0.18,,,,,,,,,,,,,,,,,,,,,,,
,5/31/2000,0.24,,,,,,,,,,,,,,,,,,,,,,,
,2/28/2000,0.2,,,,,,,,,,,,,,,,,,,,,,,
,11/30/1999,0.16,,,,,,,,,,,,,,,,,,,,,,,
,8/31/1999,0.14,,,,,,,,,,,,,,,,,,,,,,,
,5/28/1999,0.18,,,,,,,,,,,,,,,,,,,,,,,
,2/26/1999,0.22,,,,,,,,,,,,,,,,,,,,,,,
,11/30/1998,0.18,,,,,,,,,,,,,,,,,,,,,,,
,8/31/1998,0.17,,,,,,,,,,,,,,,,,,,,,,,
,5/29/1998,0.21,,,,,,,,,,,,,,,,,,,,,,,
,2/27/1998,0.17,,,,,,,,,,,,,,,,,,,,,,,
,11/28/1997,0.14,,,,,,,,,,,,,,,,,,,,,,,
,8/29/1997,0.14,,,,,,,,,,,,,,,,,,,,,,,
,5/30/1997,0.16,,,,,,,,,,,,,,,,,,,,,,,
,2/28/1997,0.13,,,,,,,,,,,,,,,,,,,,,,,
