Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,
,3/30/2007,0.88,,nan,,,,,,,,,,,,,,,,,,,,
,12/29/2006,0.74,,nan,,,,,,,,,,,,,,,,,,,,
,9/29/2006,0.94,,nan,,,,,,,,,,,,,,,,,,,,
,6/30/2006,0.95,,nan,,,,,,,,,,,,,,,,,,,,
,3/31/2006,1.1,,nan,,,,,,,,,,,,,,,,,,,,
,12/30/2005,0.7,,nan,,,,,,,,,,,,,,,,,,,,
,9/30/2005,0.85,,nan,,,,,,,,,,,,,,,,,,,,
,6/30/2005,0.86,,nan,,,,,,,,,,,,,,,,,,,,
,3/31/2005,0.94,,nan,,,,,,,,,,,,,,,,,,,,
,12/31/2004,0.41,,nan,,,,,,,,,,,,,,,,,,,,
,9/30/2004,0.78,,nan,,,,,,,,,,,,,,,,,,,,
,6/30/2004,0.82,,nan,,,,,,,,,,,,,,,,,,,,
,3/31/2004,0.83,,nan,,,,,,,,,,,,,,,,,,,,
,12/31/2003,0.62,,nan,,,,,,,,,,,,,,,,,,,,
,9/30/2003,0.69,,nan,,,,,,,,,,,,,,,,,,,,
,6/30/2003,0.4,,nan,,,,,,,,,,,,,,,,,,,,
,3/31/2003,0.69,,nan,,,,,,,,,,,,,,,,,,,,
,12/31/2002,0.46,,nan,,,,,,,,,,,,,,,,,,,,
,9/30/2002,0.57,,nan,,,,,,,,,,,,,,,,,,,,
,6/28/2002,0.54,,nan,,,,,,,,,,,,,,,,,,,,
,3/28/2002,0.59,,nan,,,,,,,,,,,,,,,,,,,,
,12/31/2001,0.36,,nan,,,,,,,,,,,,,,,,,,,,
,9/28/2001,0.49,,nan,,,,,,,,,,,,,,,,,,,,
,6/29/2001,0.48,,nan,,,,,,,,,,,,,,,,,,,,
,3/30/2001,0.5,,nan,,,,,,,,,,,,,,,,,,,,
,12/29/2000,0.3,,nan,,,,,,,,,,,,,,,,,,,,
,9/29/2000,0.43,,nan,,,,,,,,,,,,,,,,,,,,
,6/30/2000,0.44,,nan,,,,,,,,,,,,,,,,,,,,
,3/31/2000,0.44,,nan,,,,,,,,,,,,,,,,,,,,
,12/31/1999,0.265,,nan,,,,,,,,,,,,,,,,,,,,
,9/30/1999,0.39,,nan,,,,,,,,,,,,,,,,,,,,
,6/30/1999,0.41,,nan,,,,,,,,,,,,,,,,,,,,
,3/31/1999,0.4,,nan,,,,,,,,,,,,,,,,,,,,
,12/31/1998,0.035,,nan,,,,,,,,,,,,,,,,,,,,
,9/30/1998,0.34,,nan,,,,,,,,,,,,,,,,,,,,
,6/30/1998,0.36,,nan,,,,,,,,,,,,,,,,,,,,
