Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,
10/31/1997,0.26,,nan,,,,,,,,,,,,,,
7/31/1997,0.165,,nan,,,,,,,,,,,,,,
4/30/1997,0.185,,nan,,,,,,,,,,,,,,
1/31/1997,0.13,,nan,,,,,,,,,,,,,,
10/31/1996,0.225,,nan,,,,,,,,,,,,,,
7/31/1996,0.135,,nan,,,,,,,,,,,,,,
4/30/1996,0.15,,nan,,,,,,,,,,,,,,
1/31/1996,0.035,,nan,,,,,,,,,,,,,,
10/31/1995,0.04,,nan,,,,,,,,,,,,,,
7/31/1995,0.025,,nan,,,,,,,,,,,,,,
4/28/1995,0.08,,nan,,,,,,,,,,,,,,
1/31/1995,0.075,,nan,,,,,,,,,,,,,,
10/31/1994,0.125,,nan,,,,,,,,,,,,,,
7/29/1994,0.08,,nan,,,,,,,,,,,,,,
4/29/1994,0.075,,nan,,,,,,,,,,,,,,
1/31/1994,0.055,,nan,,,,,,,,,,,,,,
10/29/1993,0.03,,nan,,,,,,,,,,,,,,
