CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,
,,6/28/2019,0.958031026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2019,0.017851476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2018,0.038632805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2018,0.049708995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2018,-0.062289237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2018,-0.152642215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2017,0.015953781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2017,0.002053303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2017,0.041783312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2017,0.018727761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,-0.058563248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.081329635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.15010442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.053407392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.160568627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,-0.06621055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,-0.147160472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,-0.01490998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,-0.05599355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,-0.120956904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,-0.030175774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,-0.004107572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
