Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,
9/28/2012,-0.031914894,,0.33,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2012,0.631578947,,0.63,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2012,0.231578947,,nan,,,,,,,,,,,,,,,,,,,,,,,,
12/30/2011,0.680851064,,nan,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2011,0.662765957,,nan,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2011,0.428118393,,nan,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2011,0.366914104,,nan,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2010,0.287329787,,nan,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2010,0.113612004,,nan,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2010,0.125401929,,nan,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2010,0.280691297,,nan,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2009,0.276047261,,nan,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2009,-0.04,,nan,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2009,-0.06,,nan,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2009,-0.2,,nan,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2008,-0.04,,nan,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2008,0.75,,nan,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2008,0.41,,nan,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2008,0.67,,nan,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2007,1.72,,nan,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2007,0.24,,nan,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2007,0.35,,nan,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2007,1.37,,nan,,,,,,,,,,,,,,,,,,,,,,,,
12/29/2006,1.61,,nan,,,,,,,,,,,,,,,,,,,,,,,,
9/29/2006,1.05,,nan,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2006,0.75,,nan,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2006,1.02,,nan,,,,,,,,,,,,,,,,,,,,,,,,
12/30/2005,0.42,,nan,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2005,-0.19,,nan,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2005,0.53,,nan,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2005,0.63,,nan,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2004,0.49,,nan,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2004,0.58,,nan,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2004,0.42,,nan,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2004,0.38,,nan,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2003,-0.87,,nan,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2003,-0.08,,nan,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2003,0.37,,nan,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2003,0.59,,nan,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2002,-0.25,,nan,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2002,0.47,,nan,,,,,,,,,,,,,,,,,,,,,,,,
6/28/2002,0.12,,nan,,,,,,,,,,,,,,,,,,,,,,,,
3/28/2002,-0.13,,nan,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2001,-0.06,,nan,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2001,-0.15,,nan,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2001,0.25,,nan,,,,,,,,,,,,,,,,,,,,,,,,
