CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,,,,,,,,
,,9/30/2015,0.178356713,,0.3,,0.34,,0.64,,0.69,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.441176471,,0.41,,0.7,,0.84,,0.92,,0.97,,1.09,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,-0.02661597,,0.28,,0.61,,0.75,,0.8,,0.85,,1.03,,0.67,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.449626866,,0.54,,0.53,,0.6,,0.61,,0.68,,0.76,,0.93,0.94,0.96,0.98,0.55,,,,,,,,,,,,,,
,,9/30/2014,0.251396648,,0.16,,0.24,,0.57,,0.72,,0.85,,0.87,,0.89,0.92,0.77,,,,,,,,,,,,,,,,
,,6/30/2014,0.708178439,,0.74,,0.85,,0.87,,0.88,,0.92,,1.01,,1,1.04,0.56,,,,,,,,,,,,,,,,
,,3/31/2014,0.569832402,,0.57,,0.72,,0.73,,0.79,,0.89,,0.91,,0.92,0.94,0.55,,,,,,,,,,,,,,,,
,,12/31/2013,0.550373134,,0.55,,0.66,,0.71,,0.72,,0.8,,0.81,,0.64,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.646728972,,0.63,,0.64,,0.65,,0.76,,0.75,,0.76,,0.82,0.69,,,,,,,,,,,,,,,,,
,,6/28/2013,0.764485981,,0.7,,0.71,,0.7,,0.72,,0.84,,0.88,,0.9,0.92,0.93,0.76,,,,,,,,,,,,,,,
,,3/28/2013,0.614953271,,0.74,,0.78,,0.8,,0.81,,0.85,,0.84,,0.89,0.93,0.92,0.93,0.61,,,,,,,,,,,,,,
,,12/31/2012,0.61682243,,0.61,,0.7,,0.77,,0.76,,0.74,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.734082397,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.767354597,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.686847599,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.523281596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.527716186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.570469799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.639821029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.208053691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.170786517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.130630631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.047297297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.07918552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,-0.211845103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,1.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,1.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2004,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2004,0.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2003,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2003,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2003,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2002,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2002,-0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2002,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2002,-0.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2001,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2001,-2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2001,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2001,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2000,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2000,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2000,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2000,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1999,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1999,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1999,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1999,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1998,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1998,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1998,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1998,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1997,0.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1997,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1997,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1997,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1996,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1996,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/1996,0.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/1996,0.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/1995,0.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/1995,0.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1995,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1995,0.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/1994,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1994,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1994,0.4425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1994,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1993,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1993,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1993,0.3425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1993,0.2975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1992,0.0475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
