Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,9/30/2005,0.75,,,,,,,,,,,,,,,
,6/30/2005,0.83,,,,,,,,,,,,,,,
,3/31/2005,0.64,,,,,,,,,,,,,,,
,12/31/2004,0.56,,,,,,,,,,,,,,,
,9/30/2004,0.44,,,,,,,,,,,,,,,
,6/30/2004,0.405,,,,,,,,,,,,,,,
,3/31/2004,0.45,,,,,,,,,,,,,,,
,12/31/2003,0.54,,,,,,,,,,,,,,,
,9/30/2003,0.265,,,,,,,,,,,,,,,
,6/30/2003,0.315,,,,,,,,,,,,,,,
,3/31/2003,-1.63,,,,,,,,,,,,,,,
,12/31/2002,0.66,,,,,,,,,,,,,,,
,9/30/2002,1.55,,,,,,,,,,,,,,,
,6/28/2002,1.08,,,,,,,,,,,,,,,
,3/28/2002,0.83,,,,,,,,,,,,,,,
,12/31/2001,1.01,,,,,,,,,,,,,,,
,9/28/2001,0.83,,,,,,,,,,,,,,,
,6/29/2001,0.99,,,,,,,,,,,,,,,
