CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,7/27/2016,6/30/2016,0.254292556,,,0.2,,,,,,,,,,,,,
,4/26/2016,3/31/2016,0.557376742,,,0.1,,,,,,,,,,,,,
,,12/31/2015,0.34314838,,,0.15,,,,,,,,,,,,,
,,9/30/2015,0.152064941,,,0.3,,,,,,,,,,,,,
,,6/30/2015,0.422592225,,,0.18,,,,,,,,,,,,,
,,3/31/2015,-0.095225666,,,-0.1,,,,,,,,,,,,,
,,12/31/2014,0.122914816,,,0.05,,,,,,,,,,,,,
,,9/30/2014,-0.116448793,,,0.01,,,,,,,,,,,,,
,,6/30/2014,0.480606048,,,0.08,,,,,,,,,,,,,
,,3/31/2014,-0.188157135,,,-0.1,,,,,,,,,,,,,
,,12/31/2013,-0.026247934,,,,,,,,,,,,,,,,
,,9/30/2013,-0.049526918,,,,,,,,,,,,,,,,
,,6/28/2013,-0.024074498,,,,,,,,,,,,,,,,
,,3/28/2013,0.199893112,,,,,,,,,,,,,,,,
,,12/31/2012,-0.014945279,,,,,,,,,,,,,,,,
,,9/28/2012,-14.45021706,,,,,,,,,,,,,,,,
,,6/29/2012,0.386709105,,,,,,,,,,,,,,,,
,,3/30/2012,0.373631986,,,,,,,,,,,,,,,,
,,12/30/2011,0.125,,,,,,,,,,,,,,,,
,,9/30/2011,0.095,,,,,,,,,,,,,,,,
,,6/30/2011,0.115,,,,,,,,,,,,,,,,
,,3/31/2011,0.075,,,,,,,,,,,,,,,,
,,12/31/2010,0.02,,,,,,,,,,,,,,,,
,,9/30/2010,0.11,,,,,,,,,,,,,,,,
,,6/30/2010,0.11,,,,,,,,,,,,,,,,
,,3/31/2010,0.03,,,,,,,,,,,,,,,,
,,12/31/2009,0.045,,,,,,,,,,,,,,,,
,,9/30/2009,0.105,,,,,,,,,,,,,,,,
,,6/30/2009,0.035,,,,,,,,,,,,,,,,
,,3/31/2009,0.06,,,,,,,,,,,,,,,,
,,12/31/2008,0.02,,,,,,,,,,,,,,,,
,,9/30/2008,0.065,,,,,,,,,,,,,,,,
,,6/30/2008,0.07,,,,,,,,,,,,,,,,
,,3/31/2008,0.055,,,,,,,,,,,,,,,,
,,12/31/2007,-0.07,,,,,,,,,,,,,,,,
,,9/28/2007,0.075,,,,,,,,,,,,,,,,
