CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,3/29/2022,1/29/2022,4.91,5.66,,5.57,,5.58,,5.58,,,,,,,,,,,,,
,12/8/2021,10/30/2021,5.88,7.03,,6.64,,6.64,,6.59,,,,,,,,,,,,,
,9/8/2021,7/31/2021,7.09,8.48,,6.44,,6.43,,6.43,,,,,,,,,,,,,
,6/9/2021,4/30/2021,4.19,4.89,,4.05,,4.01,,3.14,,,,,,,,,,,,,
,3/24/2021,1/29/2021,4.31,5.07,,4.77,,4.77,,4.76,,,,,,,,,,,,,
,12/9/2020,10/30/2020,1.64,6.2,,5.17,,5.18,,5.13,,,,,,,,,,,,,
,9/9/2020,7/31/2020,3.71,4.9,,3.11,,3.09,,1.18,,,,,,,,,,,,,
,6/4/2020,4/30/2020,-0.17,1.27,,0.55,,0.54,,2.2,,,,,,,,,,,,,
,3/30/2020,1/31/2020,2.66,3.72,,3.59,,3.59,,3.59,,,,,,,,,,,,,
,12/4/2019,11/1/2019,2.170567921,2.79,,2.23,,2.22,,2.04,1.82,,,,,,,,,,,,
,9/10/2019,8/2/2019,2.855970262,3.2,,2.7,,2.65,,2.39,2.17,,,,,,,,,,,,
,6/12/2019,5/3/2019,1.432662975,1.97,,1.55,,1.77,,1.8,,,,,,,,,,,,,
,,2/1/2019,1.06,2.73,,2.86,,2.85,,2.08,,,,,,,,,,,,,
,,11/2/2018,0.73,1.5,,1.27,,1.28,,,,,,,,,,,,,,,
,,8/3/2018,2.29,1.89,,1.75,,1.51,,,,,,,,,,,,,,,
,,5/4/2018,1.01,1.21,,1.02,,,,,,,,,,,,,,,,,
,3/27/2018,2/2/2018,0.010169026,,,1.55,,1.04,,,,,,,,,,,,,,,
,12/5/2017,10/27/2017,0.55877014,,,1.04,,1.03,,0.41,,,,,,,,,,,,,
,9/6/2017,7/28/2017,-0.27684749,,,0.47,,0.61,,0.62,0.6,,,,,,,,,,,,
,6/1/2017,4/28/2017,-0.089604982,,,0.05,,0.1,,0.14,,,,,,,,,,,,,
,3/28/2017,1/31/2017,0.000230142,,,0.66,,1.09,,1.11,,,,,,,,,,,,,
,12/8/2016,10/28/2016,0.06150057,,,0.16,,0.17,,0.7,0.71,,,,,,,,,,,,
,9/8/2016,7/29/2016,0.169473692,,,0.29,,0.8,,0.81,0.82,,,,,,,,,,,,
,6/18/2016,4/29/2016,-0.331870827,,,0.05,,0.06,,0.05,0.31,,,,,,,,,,,,
,,1/29/2016,0.788678385,,,1.39,,1.4,,1.39,1.31,,,,,,,,,,,,
,,10/30/2015,0.48828612,,,0.63,,0.64,,0.67,0.65,,,,,,,,,,,,
,,7/31/2015,0.708622852,,,0.84,,0.86,,0.85,0.84,,,,,,,,,,,,
,,4/30/2015,0.170544521,,,0.2,,0.23,,0.22,,,,,,,,,,,,,
,,1/30/2015,1.017892187,,,1.01,,,,,,,,,,,,,,,,,
,,10/31/2014,0.469380797,,,0.48,,,,,,,,,,,,,,,,,
,,8/1/2014,0.660476578,,,0.64,,,,,,,,,,,,,,,,,
,,5/2/2014,0.044008337,,,0.11,,,,,,,,,,,,,,,,,
,,1/31/2014,0.64792156,,,0.83,,,,,,,,,,,,,,,,,
,,11/1/2013,0.232600563,,,,,,,,,,,,,,,,,,,,
,,8/2/2013,-0.460709857,,,,,,,,,,,,,,,,,,,,
,,5/3/2013,-0.004228382,,,,,,,,,,,,,,,,,,,,
