CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,
,,11/30/2010,0.377482013,,nan,,,,,,,,,,,,,,
,,8/31/2010,0.026502338,,nan,,,,,,,,,,,,,,
,,5/28/2010,0.05,,nan,,,,,,,,,,,,,,
,,2/26/2010,-0.11,,nan,,,,,,,,,,,,,,
,,11/30/2009,-0.04,,nan,,,,,,,,,,,,,,
,,8/31/2009,-0.16,,nan,,,,,,,,,,,,,,
,,5/29/2009,-0.14,,nan,,,,,,,,,,,,,,
,,2/27/2009,0.05,,nan,,,,,,,,,,,,,,
,,11/28/2008,0.21,,nan,,,,,,,,,,,,,,
,,8/29/2008,0.27,,nan,,,,,,,,,,,,,,
,,5/30/2008,0.35,,nan,,,,,,,,,,,,,,
,,2/28/2008,0.19,,nan,,,,,,,,,,,,,,
,,11/30/2007,0.27,,nan,,,,,,,,,,,,,,
,,8/31/2007,0.23,,nan,,,,,,,,,,,,,,
,,5/31/2007,0.32,,nan,,,,,,,,,,,,,,
,,2/28/2007,0.26,,nan,,,,,,,,,,,,,,
,,11/30/2006,0.29,,nan,,,,,,,,,,,,,,
,,8/31/2006,0.22,,nan,,,,,,,,,,,,,,
,,5/31/2006,0.31,,nan,,,,,,,,,,,,,,
,,2/28/2006,0.27,,nan,,,,,,,,,,,,,,
,,11/30/2005,0.31,,nan,,,,,,,,,,,,,,
,,8/31/2005,0.29,,nan,,,,,,,,,,,,,,
,,5/31/2005,0.31,,nan,,,,,,,,,,,,,,
,,2/28/2005,0.26,,nan,,,,,,,,,,,,,,
,,11/30/2004,0.31,,nan,,,,,,,,,,,,,,
,,8/31/2004,0.23,,nan,,,,,,,,,,,,,,
,,5/28/2004,0.215,,nan,,,,,,,,,,,,,,
,,2/27/2004,0.12,,nan,,,,,,,,,,,,,,
,,11/28/2003,0.095,,nan,,,,,,,,,,,,,,
,,8/29/2003,0.075,,nan,,,,,,,,,,,,,,
,,5/30/2003,0.09,,nan,,,,,,,,,,,,,,
,,2/28/2003,0.06,,nan,,,,,,,,,,,,,,
,,11/29/2002,0.075,,nan,,,,,,,,,,,,,,
,,8/30/2002,0.055,,nan,,,,,,,,,,,,,,
,,5/31/2002,0.06,,nan,,,,,,,,,,,,,,
,,2/28/2002,0.06,,nan,,,,,,,,,,,,,,
,,11/30/2001,0.08,,nan,,,,,,,,,,,,,,
,,8/31/2001,0.095,,nan,,,,,,,,,,,,,,
,,5/31/2001,0.115,,nan,,,,,,,,,,,,,,
