Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,,,,,
9/30/2014,0.350383632,,0.76,,,,,,,,,,,,,,,,,
6/30/2014,0.730337079,,0.78,,,,,,,,,,,,,,,,,
3/31/2014,0.598314607,,0.63,,,,,,,,,,,,,,,,,
12/31/2013,0.717514124,,0.63,,,,,,,,,,,,,,,,,
9/30/2013,0.705405405,,0.69,,,,,,,,,,,,,,,,,
6/28/2013,0.674796748,,0.6,,,,,,,,,,,,,,,,,
3/28/2013,0.259562842,,0.45,,,,,,,,,,,,,,,,,
12/31/2012,0.477900552,,0.42,,,,,,,,,,,,,,,,,
9/28/2012,0.509641873,,nan,,,,,,,,,,,,,,,,,
6/29/2012,0.20596206,,nan,,,,,,,,,,,,,,,,,
3/30/2012,0.445040214,,nan,,,,,,,,,,,,,,,,,
12/30/2011,0.414893617,,nan,,,,,,,,,,,,,,,,,
9/30/2011,0.258666667,,nan,,,,,,,,,,,,,,,,,
6/30/2011,0.511749347,,nan,,,,,,,,,,,,,,,,,
4/1/2011,0.415143603,,nan,,,,,,,,,,,,,,,,,
12/31/2010,0.786279683,,nan,,,,,,,,,,,,,,,,,
10/1/2010,0.562005277,,nan,,,,,,,,,,,,,,,,,
7/2/2010,0.64921466,,nan,,,,,,,,,,,,,,,,,
4/1/2010,0.420634921,,nan,,,,,,,,,,,,,,,,,
12/31/2009,0.42,,nan,,,,,,,,,,,,,,,,,
9/30/2009,-1.21,,nan,,,,,,,,,,,,,,,,,
6/30/2009,0.35,,nan,,,,,,,,,,,,,,,,,
3/31/2009,-0.28,,nan,,,,,,,,,,,,,,,,,
12/31/2008,-0.3,,nan,,,,,,,,,,,,,,,,,
9/30/2008,0.14,,nan,,,,,,,,,,,,,,,,,
6/30/2008,0.03,,nan,,,,,,,,,,,,,,,,,
3/31/2008,-0.02,,nan,,,,,,,,,,,,,,,,,
12/31/2007,0.1,,nan,,,,,,,,,,,,,,,,,
9/28/2007,0.09,,nan,,,,,,,,,,,,,,,,,
6/29/2007,0.31,,nan,,,,,,,,,,,,,,,,,
3/30/2007,0.19,,nan,,,,,,,,,,,,,,,,,
12/29/2006,0.16,,nan,,,,,,,,,,,,,,,,,
9/29/2006,-0.17,,nan,,,,,,,,,,,,,,,,,
6/30/2006,-0.15,,nan,,,,,,,,,,,,,,,,,
3/31/2006,-0.37,,nan,,,,,,,,,,,,,,,,,
12/30/2005,0.11,,nan,,,,,,,,,,,,,,,,,
9/30/2005,0.28,,nan,,,,,,,,,,,,,,,,,
6/30/2005,0.36,,nan,,,,,,,,,,,,,,,,,
3/31/2005,0.21,,nan,,,,,,,,,,,,,,,,,
12/31/2004,0.14,,nan,,,,,,,,,,,,,,,,,
9/30/2004,0.19,,nan,,,,,,,,,,,,,,,,,
6/30/2004,0.45,,nan,,,,,,,,,,,,,,,,,
3/31/2004,0.33,,nan,,,,,,,,,,,,,,,,,
12/31/2003,0.16,,nan,,,,,,,,,,,,,,,,,
9/30/2003,0.42,,nan,,,,,,,,,,,,,,,,,
6/30/2003,0.23,,nan,,,,,,,,,,,,,,,,,
3/31/2003,0.2,,nan,,,,,,,,,,,,,,,,,
12/31/2002,0.11,,nan,,,,,,,,,,,,,,,,,
9/30/2002,0.24,,nan,,,,,,,,,,,,,,,,,
6/28/2002,0.3,,nan,,,,,,,,,,,,,,,,,
3/28/2002,0.18,,nan,,,,,,,,,,,,,,,,,
12/31/2001,0.36,,nan,,,,,,,,,,,,,,,,,
9/28/2001,0.14,,nan,,,,,,,,,,,,,,,,,
6/29/2001,0.09,,nan,,,,,,,,,,,,,,,,,
3/30/2001,-0.03,,nan,,,,,,,,,,,,,,,,,
12/29/2000,0.12,,nan,,,,,,,,,,,,,,,,,
9/29/2000,0.08,,nan,,,,,,,,,,,,,,,,,
6/30/2000,0.18,,nan,,,,,,,,,,,,,,,,,
3/31/2000,0.16,,nan,,,,,,,,,,,,,,,,,
12/31/1999,0.25,,nan,,,,,,,,,,,,,,,,,
9/30/1999,0.17,,nan,,,,,,,,,,,,,,,,,
6/30/1999,0.3,,nan,,,,,,,,,,,,,,,,,
3/31/1999,0.28,,nan,,,,,,,,,,,,,,,,,
12/31/1998,0.24,,nan,,,,,,,,,,,,,,,,,
9/30/1998,-0.38,,nan,,,,,,,,,,,,,,,,,
6/30/1998,0.2,,nan,,,,,,,,,,,,,,,,,
3/31/1998,0.1,,nan,,,,,,,,,,,,,,,,,
12/31/1997,0.21,,nan,,,,,,,,,,,,,,,,,
9/30/1997,0.2,,nan,,,,,,,,,,,,,,,,,
6/30/1997,0.21,,nan,,,,,,,,,,,,,,,,,
3/31/1997,0.22,,nan,,,,,,,,,,,,,,,,,
12/31/1996,0.206666667,,nan,,,,,,,,,,,,,,,,,
9/30/1996,0.066666667,,nan,,,,,,,,,,,,,,,,,
6/28/1996,0.066666667,,nan,,,,,,,,,,,,,,,,,
3/29/1996,0.066666667,,nan,,,,,,,,,,,,,,,,,
12/29/1995,0.2,,nan,,,,,,,,,,,,,,,,,
9/29/1995,0.266666667,,nan,,,,,,,,,,,,,,,,,
6/30/1995,0.266666667,,nan,,,,,,,,,,,,,,,,,
3/31/1995,0.233333333,,nan,,,,,,,,,,,,,,,,,
12/30/1994,0.24,,nan,,,,,,,,,,,,,,,,,
9/30/1994,0.273333333,,nan,,,,,,,,,,,,,,,,,
6/30/1994,-0.666666667,,nan,,,,,,,,,,,,,,,,,
3/31/1994,0.193333333,,nan,,,,,,,,,,,,,,,,,
