CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,
,5/2/2023,3/30/2023,-0.05,-0.05,,-0.17,,-0.07,,0.01,,,,,,,
,2/15/2023,12/31/2022,-0.47,-0.47,,-0.14,,-0.05,,0.16,,,,,,,
,11/1/2022,9/30/2022,-0.15,-0.15,,0.05,,0.05,,0.21,,,,,,,
,8/2/2022,6/30/2022,-0.06,-0.06,,0.18,,0.18,,0.22,,,,,,,
,5/3/2022,3/31/2022,0.17,0.17,,0.16,,0.17,,0.26,,,,,,,
,2/16/2022,12/31/2021,0.37,0.37,,0.31,,0.31,,0.3,,,,,,,
,11/2/2021,9/30/2021,0.21,0.21,,0.24,,0.3,,0.32,,,,,,,
,8/3/2021,6/30/2021,0.03,0.03,,0.17,,0.19,,0.23,,,,,,,
,5/4/2021,3/31/2021,0.13,0.13,,0.22,,0.22,,0.25,,,,,,,
,2/17/2021,12/31/2020,0.16,0.16,,0.18,,0.2,,0.17,,,,,,,
,11/4/2020,9/30/2020,0.19,0.19,,0.16,,0.16,,0.14,,,,,,,
,8/4/2020,6/30/2020,0.14,0.14,,0.1,,0.15,,0.21,,,,,,,
,5/5/2020,3/31/2020,0.52,0.52,,0.23,,0.23,,0.17,,,,,,,
,2/19/2020,12/31/2019,0.25,0.17,,0.14,,0.11,,0.03,,,,,,,
,11/5/2019,9/30/2019,0.122204976,0.14,,0.12,,0.1,,0.2,,,,,,,
,7/31/2019,6/28/2019,0.126881059,0.18,,0.12,,0.13,,0.07,,,,,,,
,4/30/2019,3/29/2019,0.265886106,0.32,,0.07,,-0.01,,-0.05,,,,,,,
,2/20/2019,12/31/2018,-0.120691547,-0.12,,-0.01,,0.01,,0.04,,,,,,,
,11/6/2018,9/28/2018,0.184982611,0.18,,0.06,,0.13,,,,,,,,,
,8/1/2018,6/29/2018,-0.015642315,-0.02,,0.02,,0.1,,,,,,,,,
,5/2/2018,3/29/2018,-0.150788644,-0.15,,-0.14,,-0.06,,,,,,,,,
,2/20/2018,12/29/2017,-0.143411482,,,-0.09,,0,,0.04,,,,,,,
,11/7/2017,9/29/2017,-0.080456217,,,-0.01,,-0.1,,0.1,,,,,,,
,8/2/2017,6/30/2017,-0.011313619,,,0.03,,0.04,,,,,,,,,
,5/3/2017,3/31/2017,-0.274920167,,,-0.04,,,,,,,,,,,
,2/22/2017,12/30/2016,-0.114573079,,,-0.05,,-0.03,,0.05,,,,,,,
,11/2/2016,9/30/2016,0.074115008,,,0.03,,0.08,,0.1,,,,,,,
,8/4/2016,6/30/2016,-0.028314473,,,0,,0.04,,0.07,,0.03,,0.07,,,
,5/3/2016,3/31/2016,-0.066686499,,,-0.07,,-0.05,,-0.07,,-0.05,,,,,
,,12/31/2015,-0.013754139,,,0.04,,0.06,,0.08,,0.15,,0.16,,0.02,
,,9/30/2015,0.005128121,,,0,,0.16,,0.18,,0.14,,,,,
,,6/30/2015,0.044711444,,,0.07,,0.15,,0.09,,,,,,,
,,3/31/2015,-0.139218452,,,-0.03,,0.09,,0.05,,0.12,,,,,
,,12/31/2014,0.313301256,,,0.13,,0.12,,0.13,,0.11,,,,,
,,9/30/2014,-0.034743504,,,0.1,,0.12,,0.1,,,,,,,
,,6/30/2014,-0.023737157,,,0.07,,0.12,,0.03,,,,,,,
,,3/31/2014,-0.087006766,,,-0.01,,0.11,,0.06,,,,,,,
,,12/31/2013,-0.18231385,,,0.06,,0.1,,0.06,,,,,,,
,,9/30/2013,0.024100396,,,0.05,,0.11,,0.09,,,,,,,
,,6/28/2013,-0.424675281,,,0.08,,0.09,,0.16,,0.05,,,,,
,,3/28/2013,0.007214623,,,0.04,,0.11,,0.18,,,,,,,
,,12/31/2012,0.005045864,,,0.19,,0.13,,0.13,,,,,,,
,,9/28/2012,-0.035981301,,,0.13,,0.1,,,,,,,,,
,,6/29/2012,0.074528841,,,0.1,,,,,,,,,,,
,,3/30/2012,0.017969512,,,0.11,,,,,,,,,,,
,,12/30/2011,0.115268309,,,,,,,,,,,,,,
,,9/30/2011,0.094691066,,,,,,,,,,,,,,
,,6/30/2011,0.028825358,,,,,,,,,,,,,,
,,3/31/2011,0.040380168,,,,,,,,,,,,,,
,,12/31/2010,0.114952328,,,,,,,,,,,,,,
,,9/30/2010,0.130473167,,,,,,,,,,,,,,
,,6/30/2010,0.183870154,,,,,,,,,,,,,,
,,3/31/2010,0.158861634,,,,,,,,,,,,,,
,,12/31/2009,0.017499236,,,,,,,,,,,,,,
,,9/30/2009,0.028881543,,,,,,,,,,,,,,
,,6/30/2009,0.126908837,,,,,,,,,,,,,,
,,3/31/2009,0.12505045,,,,,,,,,,,,,,
,,12/31/2008,0.031257332,,,,,,,,,,,,,,
,,9/30/2008,0.023949148,,,,,,,,,,,,,,
,,6/30/2008,0.05,,,,,,,,,,,,,,
,,3/31/2008,-0.02,,,,,,,,,,,,,,
,,12/31/2007,0.06,,,,,,,,,,,,,,
,,9/28/2007,0.01,,,,,,,,,,,,,,
,,6/29/2007,0.03,,,,,,,,,,,,,,
,,3/30/2007,0.02,,,,,,,,,,,,,,
