Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,
9/30/2014,-0.086806386,,0.33,,0.35,,0.21,,,,,,,
6/30/2014,-0.039626478,,0.37,,0.4,,0.17,,,,,,,
3/31/2014,-0.116232033,,0.32,,0.08,,,,,,,,,
12/31/2013,-0.198134562,,0.22,,0.17,,0.03,,,,,,,
9/30/2013,-0.167007235,,0.16,,0.29,,0.17,,,,,,,
6/28/2013,-0.106118361,,0.29,,0.27,,0.14,,,,,,,
3/28/2013,-0.099848502,,0.25,,0.24,,0.23,0.12,,,,,,
12/31/2012,-0.199523864,,0.23,,0.12,,,,,,,,,
9/28/2012,0.000505249,,0.22,,0.21,,,,,,,,,
6/29/2012,-0.033617315,,0.11,,,,,,,,,,,
3/30/2012,-0.038653511,,nan,,,,,,,,,,,
12/30/2011,0.070219436,,nan,,,,,,,,,,,
9/30/2011,0.049969863,,nan,,,,,,,,,,,
6/30/2011,0.872941655,,nan,,,,,,,,,,,
3/31/2011,0.032071935,,nan,,,,,,,,,,,
12/31/2010,0.06209966,,nan,,,,,,,,,,,
9/30/2010,0.083635568,,nan,,,,,,,,,,,
6/30/2010,0.042253521,,nan,,,,,,,,,,,
3/31/2010,0.034620991,,nan,,,,,,,,,,,
12/31/2009,0.027146878,,nan,,,,,,,,,,,
9/30/2009,0.047235209,,nan,,,,,,,,,,,
6/30/2009,-0.149725503,,nan,,,,,,,,,,,
3/31/2009,-0.081922901,,nan,,,,,,,,,,,
12/31/2008,-0.119377523,,nan,,,,,,,,,,,
9/30/2008,-0.161160658,,nan,,,,,,,,,,,
6/30/2008,-0.144344176,,nan,,,,,,,,,,,
3/31/2008,-0.014502445,,nan,,,,,,,,,,,
12/31/2007,-0.028216185,,nan,,,,,,,,,,,
9/28/2007,-0.03,,nan,,,,,,,,,,,
6/29/2007,-0.07,,nan,,,,,,,,,,,
3/30/2007,-0.08,,nan,,,,,,,,,,,
12/29/2006,-0.09,,nan,,,,,,,,,,,
9/29/2006,-0.06,,nan,,,,,,,,,,,
6/30/2006,-0.04,,nan,,,,,,,,,,,
3/31/2006,-0.09,,nan,,,,,,,,,,,
12/30/2005,0.05,,nan,,,,,,,,,,,
9/30/2005,0.01,,nan,,,,,,,,,,,
6/30/2005,0.11,,nan,,,,,,,,,,,
3/31/2005,0.09,,nan,,,,,,,,,,,
12/31/2004,0.07,,nan,,,,,,,,,,,
9/30/2004,0.04,,nan,,,,,,,,,,,
6/30/2004,0.02,,nan,,,,,,,,,,,
3/31/2004,-0.01,,nan,,,,,,,,,,,
12/31/2003,-0.03,,nan,,,,,,,,,,,
9/30/2003,-0.13,,nan,,,,,,,,,,,
6/30/2003,-0.11,,nan,,,,,,,,,,,
3/31/2003,-0.14,,nan,,,,,,,,,,,
12/31/2002,-0.27,,nan,,,,,,,,,,,
9/30/2002,-0.38,,nan,,,,,,,,,,,
6/28/2002,-0.66,,nan,,,,,,,,,,,
3/28/2002,-0.59,,nan,,,,,,,,,,,
12/29/2000,-0.66,,nan,,,,,,,,,,,
9/29/2000,-0.75,,nan,,,,,,,,,,,
6/30/2000,-0.78,,nan,,,,,,,,,,,
3/31/2000,-1.03,,nan,,,,,,,,,,,
12/31/1999,-0.71,,nan,,,,,,,,,,,
9/30/1999,-0.59,,nan,,,,,,,,,,,
6/30/1999,-1.05,,nan,,,,,,,,,,,
