CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,9/8/2021,7/31/2021,0.27,0.27,,0.27,,,,,,,,,,,,,,,,,,,,,,,
,6/2/2021,4/30/2021,0.21,0.21,,0.21,,,,,,,,,,,,,,,,,,,,,,,
,3/3/2021,1/29/2021,0.2,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,,
,12/2/2020,10/30/2020,0.15,0.15,,0.15,,,,,,,,,,,,,,,,,,,,,,,
,9/9/2020,7/31/2020,0.12,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,
,5/27/2020,4/30/2020,0.13,0.13,,0.13,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2020,0.13,0.13,,0.13,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2019,0.11,0.11,,0.11,,,,,,,,,,,,,,,,,,,,,,,
,,8/2/2019,0.1,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,
,,5/3/2019,0.09,0.09,,0.09,,,,,,,,,,,,,,,,,,,,,,,
,,1/30/2019,0.1,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2018,0.1,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2018,0.11,0.11,,0.11,,,,,,,,,,,,,,,,,,,,,,,
,,4/27/2018,0.09,0.09,,0.09,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2018,0.09,0.09,,0.09,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2017,0.08,0.08,,0.08,,,,,,,,,,,,,,,,,,,,,,,
,,7/28/2017,0.09,0.09,,0.09,,,,,,,,,,,,,,,,,,,,,,,
,,4/28/2017,0.09,0.09,,0.09,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2017,0.08,0.08,,0.08,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2016,0.08,0.08,,0.08,,,,,,,,,,,,,,,,,,,,,,,
,,7/29/2016,0.08,0.08,,0.08,,,,,,,,,,,,,,,,,,,,,,,
,,4/29/2016,0.08,0.08,,0.08,,,,,,,,,,,,,,,,,,,,,,,
,,1/29/2016,0.07,0.07,,0.07,,,,,,,,,,,,,,,,,,,,,,,
,,10/30/2015,0.07,0.07,,0.07,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2015,0.07,0.07,,0.07,,,,,,,,,,,,,,,,,,,,,,,
,,5/4/2015,0.06,0.06,,0.06,,,,,,,,,,,,,,,,,,,,,,,
,,1/30/2015,0.05,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2014,0.05,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,
,,8/1/2014,0.05,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,
,,5/2/2014,0.06,0.06,,0.06,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2014,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2013,0.03,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2013,0.03,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2013,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,
,,2/1/2013,0.12,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,
,,10/26/2012,0.05,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2012,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2012,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2012,0.07,0.07,,0.07,,,,,,,,,,,,,,,,,,,,,,,
,,10/28/2011,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,
,,7/29/2011,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,
,,4/29/2011,0.03,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,
,,1/28/2011,0.12,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,
,,10/29/2010,0.03,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,
,,7/30/2010,0.03,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2010,0.01,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,
,,1/29/2010,0.17,0.17,,0.17,,,,,,,,,,,,,,,,,,,,,,,
,,10/30/2009,0.02,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2009,0.02,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,
,,5/29/2009,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,
,,2/27/2009,0.29,0.29,,0.29,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2008,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,
,,8/1/2008,0.03,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,
,,5/2/2008,0.02,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,
,,2/1/2008,0.33,0.33,,0.33,,,,,,,,,,,,,,,,,,,,,,,
,,10/26/2007,0.03,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,
,,7/27/2007,0.03,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,
,,4/27/2007,0.02,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,
,,1/26/2007,0.03,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,
,,10/27/2006,0.01,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,
,,7/28/2006,0.02,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,
,,4/28/2006,0.03,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,
,,1/27/2006,0.02,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2005,0.02,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,
,,7/29/2005,0.02,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,
,,4/29/2005,0.01,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,
,,1/28/2005,-0.02,-0.02,,-0.02,,,,,,,,,,,,,,,,,,,,,,,
,,10/29/2004,-0.07,-0.07,,-0.07,,,,,,,,,,,,,,,,,,,,,,,
,,7/30/2004,-0.56,-0.56,,-0.56,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2004,-0.71,-0.71,,-0.71,,,,,,,,,,,,,,,,,,,,,,,
,,1/30/2004,-0.26,-0.26,,-0.26,,,,,,,,,,,,,,,,,,,,,,,
