Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,12/31/2015,0.654127971,,0.63,,0.62,,0.61,,0.6,,0.59,,0.63,,0.66,,0.65,,0.63,,,,,,,,,,,,,,,,,,
,9/30/2015,0.625484697,,0.61,,0.6,,0.59,,0.57,,0.61,,0.62,,0.63,,0.62,,0.61,,,,,,,,,,,,,,,,,,
,6/30/2015,0.610596734,,0.58,,0.57,,0.55,,0.59,,0.57,,0.58,,0.57,,0.59,,,,,,,,,,,,,,,,,,,,
,3/31/2015,0.605419324,,0.55,,0.56,,0.54,,0.5,,0.52,,0.51,,0.54,,0.51,,,,,,,,,,,,,,,,,,,,
,12/31/2014,0.490910628,,0.5,,0.52,,0.54,,0.53,,0.5,,0.51,,0.53,,0.52,,0.51,,0.52,,0.53,,0.52,,0.51,,0.52,,0.51,,0.48,,0.47,,0.51
,9/30/2014,0.522882222,,0.51,,0.52,,0.53,,0.51,,0.52,,0.51,,0.49,,0.48,,0.46,,0.5,,,,,,,,,,,,,,,,
,6/30/2014,0.480848252,,0.5,,0.49,,0.48,,0.45,,0.46,,0.47,,0.44,,0.46,,,,,,,,,,,,,,,,,,,,
,3/31/2014,0.465020806,,0.46,,0.44,,0.43,,0.44,,0.42,,0.43,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2013,0.447697905,,0.44,,0.43,,0.44,,0.42,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2013,0.439527705,,0.43,,0.42,,0.41,,0.45,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/28/2013,0.437945034,,0.42,,0.43,,0.41,,0.45,,0.46,,0.44,,,,,,,,,,,,,,,,,,,,,,,,
,3/28/2013,0.479524079,,0.44,,0.43,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2012,0.432109319,,0.43,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/28/2012,0.441219929,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/29/2012,0.367224945,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/30/2012,0.363271717,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/30/2011,0.346723439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2011,0.312016173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2011,0.237667724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2011,0.238238931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2010,0.232237916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2010,0.221783662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2010,0.155589876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2010,0.153927121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2009,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2009,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2009,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2009,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2008,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2008,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2008,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2008,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2007,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/28/2007,0.145454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/29/2007,0.163636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/30/2007,0.136363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/29/2006,0.181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/29/2006,0.172727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2006,0.181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2006,0.181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/30/2005,0.190909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2005,0.209090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2005,0.145454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2005,0.154545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2004,0.163636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2004,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2004,0.109090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2004,0.109090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2003,0.066666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2003,0.060606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2003,0.084848485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2003,0.145454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2002,0.139393939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2002,0.127272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/28/2002,0.078787879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/28/2002,0.054545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2001,0.045454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/28/2001,0.031818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/29/2001,0.109090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/30/2001,0.077272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/29/2000,0.036363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/29/2000,0.063636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2000,0.045454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2000,0.018181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/1999,-0.003030303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
