CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,11/5/2020,9/30/2020,3.78,4.41,,4.24,,4.24,,4.23,,,,,,,,,,,,,,,,
,7/30/2020,6/30/2020,4.73,5.81,,4.96,,4.83,,4.61,,,,,,,,,,,,,,,,
,4/30/2020,3/31/2020,3.15,4.69,,4.34,,4.31,,4.55,,,,,,,,,,,,,,,,
,2/6/2020,12/31/2019,2.6,4.31,,4.2,,4.24,,4.23,,,,,,,,,,,,,,,,
,10/31/2019,9/30/2019,3.57,4.54,,4.36,,4.39,,4.39,,,,,,,,,,,,,,,,
,8/1/2019,6/28/2019,3.695838769,4.3,,3.74,,3.76,,3.81,,,,,,,,,,,,,,,,
,5/2/2019,3/29/2019,3.562277358,3.9,,3.73,,3.76,,4.09,,,,,,,,,,,,,,,,
,2/1/2019,12/31/2018,0.546653456,2.46,,2.42,,2.37,,2.48,,,,,,,,,,,,,,,,
,11/1/2018,9/28/2018,3.136783253,3.84,,3.44,,3.43,,3.45,,,,,,,,,,,,,,,,
,8/2/2018,6/29/2018,3.285250205,3.89,,3.33,,3.54,,3.38,,,,,,,,,,,,,,,,
,5/3/2018,3/29/2018,3.722720393,4.11,,3.39,,3.38,,,,,,,,,,,,,,,,,,
,2/1/2018,12/29/2017,1.938350035,,,1.89,,2.18,,2.21,,,,,,,,,,,,,,,,
,11/2/2017,9/29/2017,2.209857543,,,2.36,,2.41,,2.42,,,,,,,,,,,,,,,,
,8/4/2017,6/30/2017,3.150417924,,,2.48,,2.45,,2.48,,,,,,,,,,,,,,,,
,5/5/2017,3/31/2017,2.30200097,,,2.45,,2.46,,2.44,,,,,,,,,,,,,,,,
,2/2/2017,12/30/2016,1.469897877,,,1.74,,1.8,,2.12,,,,,,,,,,,,,,,,
,11/3/2016,9/30/2016,1.756765087,,,1.91,,1.94,,2.43,,,,,,,,,,,,,,,,
,7/29/2016,6/30/2016,1.965317919,,,2.39,,2.42,,2.61,,,,,,,,,,,,,,,,
,5/6/2016,3/31/2016,2.000408561,,,2.15,,2.16,,2.21,,,,,,,,,,,,,,,,
,,12/31/2015,1.63520371,,,1.8,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,2.09965492,,,2.2,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,2.260695048,,,2.31,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,2.040222625,,,1.84,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,1.767038489,,,1.67,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,2.011155511,,,1.83,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,2.12284335,,,1.84,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,1.923728536,,,1.54,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,1.294092343,,,1.49,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,1.95018391,,,1.63,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,1.759054778,,,1.6,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.197055915,,,1.43,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,1.46,,,1.48,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,1.61,,,1.36,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,1.31,,,1.42,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,1.28,,,1.3,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,1.24,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.74,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,1.5,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,1.57,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,1.66,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,1.13,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,1.06,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,1.02,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,1.23,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,1.19,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,1.58,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.76,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,-0.77,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.62,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.97,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.21,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.9,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,1.28,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.68,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.976666667,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.926666667,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.916666667,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.776666667,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.956666667,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.36,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.666666667,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,1.826666667,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2005,1.093333333,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2004,1.286666667,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2004,0.763333333,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2004,1.17,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.173333333,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2003,0.646666667,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2003,0.463333333,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2003,-0.126666667,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2003,0.56,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2002,0.13,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2002,-2.09,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2002,0.5,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2002,0.506666667,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2001,0.373333333,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2001,0.603333333,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2001,0.553333333,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2001,0.593333333,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2000,0.526666667,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2000,0.58,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2000,0.33,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2000,0.533333333,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1999,0.696666667,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1999,1.813333333,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1999,0.376666667,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1999,0.303333333,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1998,0.333333333,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1998,0.396666667,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1998,0.473333333,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1998,0.756666667,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1997,0.355555556,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1997,0.413333333,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1997,0.414444444,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1997,0.428888889,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1996,0.424444444,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1996,0.41,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/1996,0.333333333,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/1996,0.344444444,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/1995,0.455555556,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/1995,-0.862222222,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1995,0.313333333,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1995,0.444444444,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/1994,0.281111111,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1994,0.188888889,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1994,0.206666667,,,,,,,,,,,,,,,,,,,,,,,
