CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.429652042,,0.62,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.601809955,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.124804992,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.682492582,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.582568807,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.84502924,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,1.141965679,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.538221529,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.692546584,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.652713178,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.027906977,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,1.622670807,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.063664596,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.01242236,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.909797823,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,1.627906977,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.58,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.8,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.73,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.68,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,1.47,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.56,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.67,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.61,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.62,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.53,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.56,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.29,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.28,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.41,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.48,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2004,0.41,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2004,-0.16,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.35,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2003,0.34,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2003,0.23,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2003,0.15,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2003,0.18,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2002,0.2,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2002,0.17,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2002,0.16,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2002,0.18,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2001,0.23,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2001,0.2,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2001,0.057142857,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2001,0.142857143,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2000,0.19047619,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2000,0.161904762,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2000,0.063463282,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2000,0.154125113,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1999,0.154125113,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1999,0.054397099,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1999,0.034542314,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1999,0.017271157,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1998,0.138169257,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1998,0.172711572,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1998,0.057565789,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1998,0.098684211,,nan,,,,,,,,,,,,,,,,,,,,,,,,
