Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,3/29/1996,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/29/1995,0.2125,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/29/1995,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/1995,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/1995,0.1925,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/30/1994,0.2225,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/1994,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/1994,0.1425,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/1994,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/1993,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/1993,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/1993,0.0875,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/1993,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/1992,0.0725,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/1992,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/1992,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
