CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,
,8/11/2021,6/30/2021,1.008329769,1.25,,1.2,,1.24,,1.23,,0.881320293,,,,,,,,,,,,,,,,
,5/20/2021,3/31/2021,0.775448155,1.3,,1.29,,1.31,,1.29,,1.36,,1.66,,1.6,,1.59,,1.738804159,,,,,,,,
,2/10/2021,12/31/2020,0.891652591,1.27,,1.19,,1.17,,1.16,,1.44,,1.43,,1.47,,1.596637782,,,,,,,,,,
,11/11/2020,10/2/2020,0.828547428,1,,0.98,,0.97,,0.87,,1.4,,1.41,,1.53102253,,,,,,,,,,,,
,8/12/2020,7/2/2020,0.819900208,0.92,,0.67,,1.35,,1.38,,1.37,,1.443535529,,,,,,,,,,,,,,
,6/1/2020,3/31/2020,-0.035450672,1.11,,1.18,,1.45,,1.37,,1.45,,1.59,,1.72,,,,,,,,,,,,
,2/5/2020,12/31/2019,0.637386955,1.04,,1.13,,1.35,,1.46,,1.54,,,,,,,,,,,,,,,,
,11/6/2019,9/30/2019,1.468059371,1.23,,1.19,,1.21,,1.4,,,,,,,,,,,,,,,,,,
,8/7/2019,7/1/2019,1.127963042,1.3,,1.32,,1.4,,,,,,,,,,,,,,,,,,,,
,,3/29/2019,0.424452862,,,1.42,,1.5,,1.51,,1.44,,,,,,,,,,,,,,,,
,,12/31/2018,1.123296559,,,1.25,,1.33,,,,,,,,,,,,,,,,,,,,
,,9/28/2018,1.10871852,,,1.16,,1.17,,,,,,,,,,,,,,,,,,,,
,,6/29/2018,1.077183738,,,1.17,,1.13,,,,,,,,,,,,,,,,,,,,
,,3/29/2018,1.272759278,,,1.2,,1.23,,1.41,,,,,,,,,,,,,,,,,,
,,12/29/2017,-0.613567784,,,1.14,,1.23,,1.2,,1.22,,1.17,,,,,,,,,,,,,,
,,9/29/2017,0.997568257,,,1.04,,1.2,,1.18,,1.15,,1.18,,,,,,,,,,,,,,
,,6/30/2017,1.091432177,,,1.13,,1.22,,1.17,,1.13,,,,,,,,,,,,,,,,
,,3/31/2017,0.763661853,,,1.26,,1.21,,1.22,,1.13,,1.17,,,,,,,,,,,,,,
,,12/30/2016,0.822594056,,,1.13,,1.08,,1.04,,1.05,,1.17,,1.14,,,,,,,,,,,,
,,9/30/2016,1.038372572,,,1.08,,0.98,,1.11,,1.04,,,,,,,,,,,,,,,,
,,7/1/2016,1.017572217,,,1.1,,0.95,,1.02,,0.99,,1.01,,,,,,,,,,,,,,
,,3/31/2016,1.030378246,,,1.01,,1,,1.07,,1.06,,1.25,,1.28,,,,,,,,,,,,
,,12/31/2015,0.855519065,,,0.93,,0.94,,1.17,,1.16,,1.28,,1.29,,1.34,,,,,,,,,,
,,9/30/2015,0.870006583,,,0.93,,1.08,,1.09,,1.1,,1.09,,1.07,,1.14,,,,,,,,,,
,,6/30/2015,1.034874901,,,1.03,,1.06,,1.11,,1.13,,1.12,,1.09,,,,,,,,,,,,
,,3/31/2015,0.567871131,,,1.14,,1.13,,1.18,,1.19,,1.23,,1.26,,1.22,,,,,,,,,,
,,12/31/2014,1.039769889,,,1.06,,1.15,,1.17,,1.18,,1.17,,1.15,,1.12,,1.1,,1.05,,1.08,,1.03,,1.01
,,9/26/2014,1.160262887,,,1.01,,1.02,,0.98,,1,,1.04,,1.03,,1.01,,0.93,,0.96,,1.06,,,,
,,6/30/2014,0.988793884,,,1.05,,1.03,,1.04,,1.05,,1.04,,1.01,,0.95,,0.97,,1.1,,,,,,
,,3/31/2014,0.255678829,,,1.13,,1.11,,1.05,,0.99,,0.98,,1,,1.01,,1.03,,,,,,,,
,,12/27/2013,1.101269343,,,1.03,,0.95,,0.96,,0.94,,0.84,,,,,,,,,,,,,,
,,9/30/2013,0.836723319,,,0.84,,0.83,,0.87,,0.86,,0.87,,0.8,,,,,,,,,,,,
,,6/28/2013,0.828456473,,,0.81,,0.84,,0.86,,0.78,,,,,,,,,,,,,,,,
,,3/28/2013,0.800615168,,,0.77,,0.78,,0.77,,0.82,,0.84,,0.83,,0.78,,,,,,,,,,
,,12/28/2012,0.804891367,,,0.8,,0.87,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.898811073,,,0.82,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.945836176,,,0.9,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.938274414,,,0.95,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.767162234,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.567972784,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,7/1/2011,0.661084265,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.594027406,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.67073232,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,10/1/2010,0.533684693,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,7/2/2010,0.465729013,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.365093282,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,12/24/2009,0.47416298,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,9/25/2009,0.264240094,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,6/26/2009,0.17358483,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.069007941,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,12/26/2008,0.629428204,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,9/26/2008,0.497694248,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,6/27/2008,0.50473676,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.390895831,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.33,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.35,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.15,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.22,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.23,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.24,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.26,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.25,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.17,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.05,,,nan,,,,,,,,,,,,,,,,,,,,,,
