CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,12/31/2015,0.296071361,,,0.36,,0.38,,0.25,,,,,,,,,,,,
,,9/30/2015,0.276064889,,,0.26,,0.23,,0.36,,,,,,,,,,,,
,,6/30/2015,0.27654046,,,0.28,,0.35,,0.26,,,,,,,,,,,,
,,3/31/2015,0.26183844,,,0.35,,0.355,,0.22,,,,,,,,,,,,
,,12/31/2014,0.10301301,,,0.2,,0.225,,0.185,,,,,,,,,,,,
,,9/30/2014,0.174106316,,,0.17,,0.165,,0.185,,,,,,,,,,,,
,,6/30/2014,0.149006623,,,0.165,,0.17,,0.1675,,,,,,,,,,,,
,,3/31/2014,0.150429799,,,0.17,,0.1725,,0.135,,,,,,,,,,,,
,,12/31/2013,-0.152433589,,,0.15,,0.17,,0.16,,,,,,,,,,,,
,,9/30/2013,0.133594585,,,0.16,,0.13,,,,,,,,,,,,,,
,,6/28/2013,0.113190731,,,0.16,,0.0925,,,,,,,,,,,,,,
,,3/28/2013,0.080368885,,,0.12,,0.145,,0.1475,,0.145,,0.1675,,0.1375,,,,,,
,,12/31/2012,0.042537999,,,0.1525,,0.14,,0.1525,,0.165,,0.1025,,,,,,,,
,,9/28/2012,0.031329078,,,0.1,,0.1125,,,,,,,,,,,,,,
,,6/29/2012,0.047655775,,,0.1075,,,,,,,,,,,,,,,,
,,3/30/2012,0.182944087,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.095905235,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.077216849,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.074089785,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.099085162,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.084612013,,,,,,,,,,,,,,,,,,,
,,9/30/2010,-0.017199605,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.209971836,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.126465012,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.15761564,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.051630071,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.116704596,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.169435073,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.025317512,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.118191822,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.135,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.1425,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.1025,,,,,,,,,,,,,,,,,,,
,,8/31/2007,0.0575,,,,,,,,,,,,,,,,,,,
,,5/31/2007,0.1,,,,,,,,,,,,,,,,,,,
,,2/28/2007,0.1675,,,,,,,,,,,,,,,,,,,
,,11/30/2006,0.05,,,,,,,,,,,,,,,,,,,
,,8/31/2006,0,,,,,,,,,,,,,,,,,,,
,,5/31/2006,0.0775,,,,,,,,,,,,,,,,,,,
,,2/28/2006,0.045,,,,,,,,,,,,,,,,,,,
,,11/25/2005,0.0725,,,,,,,,,,,,,,,,,,,
,,8/24/2005,0.0225,,,,,,,,,,,,,,,,,,,
,,5/20/2005,0.15,,,,,,,,,,,,,,,,,,,
,,2/15/2005,0.0725,,,,,,,,,,,,,,,,,,,
