CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.718639263,,,0.37,,0.42,,0.4,,0.43,,0.37,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.11026616,,,0.38,,0.36,,0.38,,0.34,,0.35,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.204379562,,,0.3,,0.32,,0.31,,0.32,,0.27,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.295646067,,,0.28,,0.32,,0.33,,0.32,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.278879016,,,0.32,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.431664411,,,0.31,,0.28,,0.26,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.333558406,,,0.24,,0.29,,0.31,,0.33,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.191087103,,,0.32,,0.33,,0.33,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.348728246,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.304347826,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.301960784,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.313938619,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.51070529,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.474544312,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.470736312,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.659090909,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.496835443,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.577482606,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.516782774,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.471938776,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.409815169,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.389917039,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.008980115,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.15719697,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.486692015,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,2.006875,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2008,0.643929912,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.45,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.38,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.3,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.2,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.41,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.27,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.32,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.16,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,-0.02,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.13,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.11,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.17,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.1,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2004,-1.78,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2004,0.07,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.04,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2003,-0.03,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2003,0.02,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2003,-0.02,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2003,-0.17,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2002,-0.59,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2002,-0.25,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2002,-0.39,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2002,-0.1,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2001,-0.73,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2001,-0.24,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2001,-5.13,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2001,0.14,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2000,-0.07,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2000,0.28,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2000,0.18,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2000,0.093333333,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1999,0.18,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1999,0.18,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1999,0.163333333,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1999,0.12,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1998,0.146666667,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1998,0.146666667,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1998,0.176666667,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1998,0.086666667,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1997,0.153333333,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
