Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,9/30/2011,0.5908959770000001,,,,,,,,,,,,,,,,,,,,,,
,6/30/2011,0.481282751,,,,,,,,,,,,,,,,,,,,,,
,3/31/2011,0.703226812,,,,,,,,,,,,,,,,,,,,,,
,12/31/2010,0.617570896,,,,,,,,,,,,,,,,,,,,,,
,9/30/2010,0.45865146100000004,,,,,,,,,,,,,,,,,,,,,,
,6/30/2010,0.382676756,,,,,,,,,,,,,,,,,,,,,,
,3/31/2010,0.393115117,,,,,,,,,,,,,,,,,,,,,,
,12/31/2009,0.49,,,,,,,,,,,,,,,,,,,,,,
,9/30/2009,0.39,,,,,,,,,,,,,,,,,,,,,,
,6/30/2009,0.38,,,,,,,,,,,,,,,,,,,,,,
,3/31/2009,0.38,,,,,,,,,,,,,,,,,,,,,,
,12/31/2008,0.39,,,,,,,,,,,,,,,,,,,,,,
,9/30/2008,-1.54,,,,,,,,,,,,,,,,,,,,,,
,6/30/2008,0.23,,,,,,,,,,,,,,,,,,,,,,
,3/31/2008,0.22,,,,,,,,,,,,,,,,,,,,,,
,12/31/2007,0.18,,,,,,,,,,,,,,,,,,,,,,
,9/28/2007,0.32,,,,,,,,,,,,,,,,,,,,,,
,6/29/2007,0.27,,,,,,,,,,,,,,,,,,,,,,
,3/30/2007,0.31,,,,,,,,,,,,,,,,,,,,,,
,12/29/2006,0.3,,,,,,,,,,,,,,,,,,,,,,
,9/29/2006,0.25,,,,,,,,,,,,,,,,,,,,,,
,6/30/2006,0.2,,,,,,,,,,,,,,,,,,,,,,
,3/31/2006,0.23,,,,,,,,,,,,,,,,,,,,,,
,12/30/2005,0.23,,,,,,,,,,,,,,,,,,,,,,
,9/30/2005,0.19,,,,,,,,,,,,,,,,,,,,,,
,6/30/2005,0.16,,,,,,,,,,,,,,,,,,,,,,
,3/31/2005,0.18,,,,,,,,,,,,,,,,,,,,,,
,12/31/2004,0.18,,,,,,,,,,,,,,,,,,,,,,
,9/30/2004,0.155,,,,,,,,,,,,,,,,,,,,,,
,6/30/2004,0.125,,,,,,,,,,,,,,,,,,,,,,
,3/31/2004,0.15,,,,,,,,,,,,,,,,,,,,,,
,12/31/2003,0.133333333,,,,,,,,,,,,,,,,,,,,,,
,9/30/2003,0.123333333,,,,,,,,,,,,,,,,,,,,,,
,6/30/2003,0.1,,,,,,,,,,,,,,,,,,,,,,
,3/31/2003,0.12,,,,,,,,,,,,,,,,,,,,,,
,12/31/2002,0.11333333300000001,,,,,,,,,,,,,,,,,,,,,,
,9/30/2002,0.09,,,,,,,,,,,,,,,,,,,,,,
,6/28/2002,0.07666666700000001,,,,,,,,,,,,,,,,,,,,,,
,3/28/2002,0.1,,,,,,,,,,,,,,,,,,,,,,
,12/31/2001,0.083333333,,,,,,,,,,,,,,,,,,,,,,
,9/28/2001,0.066666667,,,,,,,,,,,,,,,,,,,,,,
,6/29/2001,0.056666667000000004,,,,,,,,,,,,,,,,,,,,,,
,3/30/2001,0.08,,,,,,,,,,,,,,,,,,,,,,
,12/29/2000,0.081111111,,,,,,,,,,,,,,,,,,,,,,
,9/29/2000,0.043333332999999995,,,,,,,,,,,,,,,,,,,,,,
,6/30/2000,0.03,,,,,,,,,,,,,,,,,,,,,,
,3/31/2000,-0.026666667,,,,,,,,,,,,,,,,,,,,,,
,12/31/1999,0.176666667,,,,,,,,,,,,,,,,,,,,,,
,9/30/1999,0.05,,,,,,,,,,,,,,,,,,,,,,
,6/30/1999,0.053333333,,,,,,,,,,,,,,,,,,,,,,
,3/31/1999,0.066666667,,,,,,,,,,,,,,,,,,,,,,
,12/31/1998,0.096666667,,,,,,,,,,,,,,,,,,,,,,
,9/30/1998,0.046666667,,,,,,,,,,,,,,,,,,,,,,
,7/31/1998,0.144444444,,,,,,,,,,,,,,,,,,,,,,
,6/30/1998,0.04,,,,,,,,,,,,,,,,,,,,,,
,4/30/1998,0.05,,,,,,,,,,,,,,,,,,,,,,
,3/31/1998,0.056666667000000004,,,,,,,,,,,,,,,,,,,,,,
,1/30/1998,0.06,,,,,,,,,,,,,,,,,,,,,,
,12/31/1997,0.08,,,,,,,,,,,,,,,,,,,,,,
,10/31/1997,0.046666667,,,,,,,,,,,,,,,,,,,,,,
,7/31/1997,0.11333333300000001,,,,,,,,,,,,,,,,,,,,,,
,4/30/1997,0.03,,,,,,,,,,,,,,,,,,,,,,
,1/31/1997,0.05,,,,,,,,,,,,,,,,,,,,,,
,10/31/1996,0.04,,,,,,,,,,,,,,,,,,,,,,
,7/31/1996,0.093333333,,,,,,,,,,,,,,,,,,,,,,
,4/30/1996,0.026666667,,,,,,,,,,,,,,,,,,,,,,
,1/31/1996,0.043333332999999995,,,,,,,,,,,,,,,,,,,,,,
,10/31/1995,0.03,,,,,,,,,,,,,,,,,,,,,,
,7/31/1995,0.064814815,,,,,,,,,,,,,,,,,,,,,,
,4/28/1995,0.026666667,,,,,,,,,,,,,,,,,,,,,,
,1/31/1995,0.043888889,,,,,,,,,,,,,,,,,,,,,,
