CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,
,,12/31/2014,-0.162042175,,,0.34,,0.36,,0.37,,0.34,,0.49,,,,,,,,,,,,
,,9/30/2014,0.351235231,,,0.48,,0.49,,0.5,,0.49,,0.5,,,,,,,,,,,,
,,6/30/2014,0.336161188,,,0.51,,0.5,,0.39,,,,,,,,,,,,,,,,
,,3/31/2014,0.307210031,,,0.39,,0.4,,0.26,,,,,,,,,,,,,,,,
,,12/31/2013,0.25308642,,,0.25,,0.33,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.234454638,,,0.34,,0.33,,0.35,,,,,,,,,,,,,,,,
,,6/28/2013,1.82542886,,,0.35,,0.36,,0.37,,0.27,,,,,,,,,,,,,,
,,3/28/2013,0.16487069,,,0.26,,0.29,,0.3,,0.21,,,,,,,,,,,,,,
,,12/31/2012,0.034254144,,,0.21,,0.31,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.266075388,,,0.32,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.271223815,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.222712238,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.130434783,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.229787234,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.298429319,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,1.143153527,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,1.015625,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.010384216,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.474558671,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.193074502,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.256959315,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.514376997,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,-0.020562771,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,-0.19197397,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,-3.048543689,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,-0.060279871,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.093816631,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.069667738,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.08,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.02,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,-0.06,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.08,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.15,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.21,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.46,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.51,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.24,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,-0.21,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.34,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.15,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2004,-0.15,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2004,0.13,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2004,0.23,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.04,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2003,-2,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2003,-0.47,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2003,-0.07,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2003,-0.21,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2002,-0.19,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/30/2002,0.11,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/28/2002,0.07,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/28/2002,-0.64,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/2001,-0.33,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/28/2001,0.03,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/29/2001,0.03,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/30/2001,-0.24,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/29/2000,-0.15,,,nan,,,,,,,,,,,,,,,,,,,,
,,9/29/2000,0.01,,,nan,,,,,,,,,,,,,,,,,,,,
,,6/30/2000,0.31,,,nan,,,,,,,,,,,,,,,,,,,,
,,3/31/2000,0.29,,,nan,,,,,,,,,,,,,,,,,,,,
,,12/31/1999,0.28,,,nan,,,,,,,,,,,,,,,,,,,,
