Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,,
,3/31/2003,0.41,,,,,,,,,,,,,,,,,,,,
,12/31/2002,0.41,,,,,,,,,,,,,,,,,,,,
,9/30/2002,0.39,,,,,,,,,,,,,,,,,,,,
,6/28/2002,0.365,,,,,,,,,,,,,,,,,,,,
,3/28/2002,0.335,,,,,,,,,,,,,,,,,,,,
,12/31/2001,0.35,,,,,,,,,,,,,,,,,,,,
,9/28/2001,0.283333333,,,,,,,,,,,,,,,,,,,,
,6/29/2001,0.276666667,,,,,,,,,,,,,,,,,,,,
,3/30/2001,0.266666667,,,,,,,,,,,,,,,,,,,,
,12/29/2000,0.283333333,,,,,,,,,,,,,,,,,,,,
,9/29/2000,0.266666667,,,,,,,,,,,,,,,,,,,,
,6/30/2000,0.263333333,,,,,,,,,,,,,,,,,,,,
,3/31/2000,0.316666667,,,,,,,,,,,,,,,,,,,,
,12/31/1999,0.256666667,,,,,,,,,,,,,,,,,,,,
,9/30/1999,0.24,,,,,,,,,,,,,,,,,,,,
,6/30/1999,0.24,,,,,,,,,,,,,,,,,,,,
,3/31/1999,0.233333333,,,,,,,,,,,,,,,,,,,,
,12/31/1998,0.24,,,,,,,,,,,,,,,,,,,,
,9/30/1998,0.216666667,,,,,,,,,,,,,,,,,,,,
,6/30/1998,0.26,,,,,,,,,,,,,,,,,,,,
,3/31/1998,0.246666667,,,,,,,,,,,,,,,,,,,,
,12/31/1997,0.23,,,,,,,,,,,,,,,,,,,,
,9/30/1997,0.203333333,,,,,,,,,,,,,,,,,,,,
,6/30/1997,0.253333333,,,,,,,,,,,,,,,,,,,,
,3/31/1997,0.253333333,,,,,,,,,,,,,,,,,,,,
,12/31/1996,0.246666667,,,,,,,,,,,,,,,,,,,,
,9/30/1996,0.263333333,,,,,,,,,,,,,,,,,,,,
,6/28/1996,0.263333333,,,,,,,,,,,,,,,,,,,,
,3/29/1996,0.253333333,,,,,,,,,,,,,,,,,,,,
,12/29/1995,0.228985507,,,,,,,,,,,,,,,,,,,,
,9/29/1995,0.217391304,,,,,,,,,,,,,,,,,,,,
,6/30/1995,0.217391304,,,,,,,,,,,,,,,,,,,,
,3/31/1995,0.220289855,,,,,,,,,,,,,,,,,,,,
,12/30/1994,0.214492754,,,,,,,,,,,,,,,,,,,,
,9/30/1994,0.226086957,,,,,,,,,,,,,,,,,,,,
,6/30/1994,0.191304348,,,,,,,,,,,,,,,,,,,,
,3/31/1994,0.197101449,,,,,,,,,,,,,,,,,,,,
,12/31/1993,0.197101449,,,,,,,,,,,,,,,,,,,,
,9/30/1993,0.231884058,,,,,,,,,,,,,,,,,,,,
,6/30/1993,0.231884058,,,,,,,,,,,,,,,,,,,,
