Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,
,9/30/2009,0.792002132,,,,,,,,,,,,,,,,,,,,,,
,6/26/2009,0.790088577,,,,,,,,,,,,,,,,,,,,,,
,3/27/2009,0.80259673,,,,,,,,,,,,,,,,,,,,,,
,1/2/2009,0.749853245,,,,,,,,,,,,,,,,,,,,,,
,9/30/2008,0.75,,,,,,,,,,,,,,,,,,,,,,
,6/27/2008,0.72,,,,,,,,,,,,,,,,,,,,,,
,3/28/2008,0.64,,,,,,,,,,,,,,,,,,,,,,
,12/31/2007,0.54,,,,,,,,,,,,,,,,,,,,,,
,9/28/2007,0.5,,,,,,,,,,,,,,,,,,,,,,
,6/29/2007,0.45,,,,,,,,,,,,,,,,,,,,,,
,3/30/2007,0.45,,,,,,,,,,,,,,,,,,,,,,
,12/29/2006,0.43,,,,,,,,,,,,,,,,,,,,,,
,9/29/2006,0.32,,,,,,,,,,,,,,,,,,,,,,
,6/30/2006,-0.3,,,,,,,,,,,,,,,,,,,,,,
,3/30/2006,0.3,,,,,,,,,,,,,,,,,,,,,,
,12/30/2005,0.19,,,,,,,,,,,,,,,,,,,,,,
,9/30/2005,0.22,,,,,,,,,,,,,,,,,,,,,,
,6/30/2005,0.21,,,,,,,,,,,,,,,,,,,,,,
,3/31/2005,0.19,,,,,,,,,,,,,,,,,,,,,,
