CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,1/29/2019,12/31/2018,-0.068071873,0.64,,0.63,,0.65,,0.64,,,,,,,,,,,,
,10/30/2018,9/28/2018,0.687270297,0.78,,0.75,,0.72,,,,,,,,,,,,,,
,7/31/2018,6/29/2018,0.650537634,0.81,,0.74,,0.7,,,,,,,,,,,,,,
,5/1/2018,3/29/2018,0.587914809,0.77,,0.75,,0.69,,,,,,,,,,,,,,
,1/30/2018,12/29/2017,2.024076517,,,0.57,,0.6,,0.65,,,,,,,,,,,,
,10/31/2017,9/29/2017,0.470120841,,,0.65,,0.68,,0.67,,,,,,,,,,,,
,8/1/2017,6/30/2017,0.509027663,,,0.67,,0.66,,,,,,,,,,,,,,
,5/2/2017,3/31/2017,0.512311228,,,0.67,,0.65,,0.5,,,,,,,,,,,,
,1/31/2017,12/30/2016,0.126139323,,,0.5,,0.54,,0.56,,,,,,,,,,,,
,11/1/2016,9/30/2016,0.214890844,,,0.62,,0.61,,0.62,,,,,,,,,,,,
,8/2/2016,7/1/2016,0.328988105,,,0.62,,0.59,,0.61,,,,,,,,,,,,
,5/3/2016,4/1/2016,0.485355649,,,0.55,,0.58,,0.56,,,,,,,,,,,,
,,12/31/2015,-0.027858763,,,0.52,,0.49,,0.5,,,,,,,,,,,,
,,9/30/2015,0.341182124,,,0.51,,0.52,,0.54,,,,,,,,,,,,
,,6/30/2015,0.420631107,,,0.52,,0.54,,0.55,,0.56,0.55,0.56,0.57,0.59,,,,,,
,,3/31/2015,0.377622378,,,0.49,,0.51,,0.53,,0.54,0.53,0.55,,,,,,,,
,,12/31/2014,0.192657672,,,0.53,,0.54,,0.55,,0.54,0.55,0.54,0.55,0.56,0.57,0.56,0.57,0.55,,
,,9/30/2014,0.416367328,,,0.55,,0.56,,0.57,,0.59,0.58,0.57,0.56,,,,,,,
,,6/30/2014,0.451893234,,,0.57,,0.58,,0.59,,0.57,0.59,0.55,,,,,,,,
,,3/31/2014,0.359635578,,,0.55,,0.56,,0.57,,0.56,0.53,,,,,,,,,
,,12/31/2013,0.39308128,,,0.52,,0.53,,0.54,,0.56,,,,,,,,,,
,,9/30/2013,0.389122596,,,0.56,,0.55,,0.56,,0.55,,,,,,,,,,
,,7/1/2013,1.980469299,,,0.56,,0.57,,0.58,,0.59,0.6,0.59,0.55,,,,,,,
,,3/28/2013,0.378318888,,,0.56,,0.55,,0.44,,,,,,,,,,,,
,,12/28/2012,0.853955375,,,0.44,,0.52,,,,,,,,,,,,,,
,,9/28/2012,0.427277571,,,0.54,,,,,,,,,,,,,,,,
,,6/29/2012,0.431604087,,,0.55,,,,,,,,,,,,,,,,
,,3/30/2012,0.236114767,,,0.56,,,,,,,,,,,,,,,,
,,12/30/2011,0.187199167,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.478617157,,,,,,,,,,,,,,,,,,,
,,7/1/2011,0.328922495,,,,,,,,,,,,,,,,,,,
,,4/1/2011,0.276540137,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.357939064,,,,,,,,,,,,,,,,,,,
,,10/1/2010,0.107484175,,,,,,,,,,,,,,,,,,,
,,7/2/2010,0.306615461,,,,,,,,,,,,,,,,,,,
,,4/1/2010,0.250092581,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.10887154,,,,,,,,,,,,,,,,,,,
,,9/25/2009,0.425613724,,,,,,,,,,,,,,,,,,,
,,6/26/2009,0.334863744,,,,,,,,,,,,,,,,,,,
,,3/27/2009,0.404116689,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.039407407,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.338182898,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.411137441,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.41,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.4,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.11,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.18,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.48,,,,,,,,,,,,,,,,,,,
,,12/29/2006,1.32,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.46,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.33,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.56,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.37,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.22,,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.47,,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.04,,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.35,,,,,,,,,,,,,,,,,,,
,,9/24/2004,0.44,,,,,,,,,,,,,,,,,,,
,,6/25/2004,0.38,,,,,,,,,,,,,,,,,,,
,,3/26/2004,0.3,,,,,,,,,,,,,,,,,,,
,,12/31/2003,0.13,,,,,,,,,,,,,,,,,,,
,,9/26/2003,0.29,,,,,,,,,,,,,,,,,,,
,,6/27/2003,-0.48,,,,,,,,,,,,,,,,,,,
,,3/28/2003,0.76,,,,,,,,,,,,,,,,,,,
,,12/31/2002,0.38,,,,,,,,,,,,,,,,,,,
,,9/27/2002,0.38,,,,,,,,,,,,,,,,,,,
,,6/28/2002,0.32,,,,,,,,,,,,,,,,,,,
,,3/28/2002,0.37,,,,,,,,,,,,,,,,,,,
,,12/31/2001,0.29,,,,,,,,,,,,,,,,,,,
,,9/28/2001,0.33,,,,,,,,,,,,,,,,,,,
,,6/29/2001,0.29,,,,,,,,,,,,,,,,,,,
,,3/30/2001,0.3,,,,,,,,,,,,,,,,,,,
,,12/29/2000,0.01,,,,,,,,,,,,,,,,,,,
,,9/29/2000,0.21,,,,,,,,,,,,,,,,,,,
,,6/30/2000,0.18,,,,,,,,,,,,,,,,,,,
,,3/31/2000,0.31,,,,,,,,,,,,,,,,,,,
,,12/31/1999,0.25,,,,,,,,,,,,,,,,,,,
,,10/1/1999,0.18,,,,,,,,,,,,,,,,,,,
,,7/2/1999,0.18,,,,,,,,,,,,,,,,,,,
,,4/1/1999,0.206666667,,,,,,,,,,,,,,,,,,,
,,12/31/1998,0.146666667,,,,,,,,,,,,,,,,,,,
,,9/25/1998,0.353333333,,,,,,,,,,,,,,,,,,,
,,6/26/1998,0.156666667,,,,,,,,,,,,,,,,,,,
