Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,,,,,,
,11/29/2011,0.951450281,,,,,,,,,,,,,,,,,,,,,,,
,8/30/2011,1.177084308,,,,,,,,,,,,,,,,,,,,,,,
,5/27/2011,1.086648601,,,,,,,,,,,,,,,,,,,,,,,
,2/28/2011,0.842151186,,,,,,,,,,,,,,,,,,,,,,,
,11/29/2010,0.64,,,,,,,,,,,,,,,,,,,,,,,
,8/30/2010,0.47,,,,,,,,,,,,,,,,,,,,,,,
,5/28/2010,0.33,,,,,,,,,,,,,,,,,,,,,,,
,2/26/2010,-0.22,,,,,,,,,,,,,,,,,,,,,,,
,11/27/2009,0.6,,,,,,,,,,,,,,,,,,,,,,,
,8/28/2009,1.07,,,,,,,,,,,,,,,,,,,,,,,
,5/29/2009,0.43,,,,,,,,,,,,,,,,,,,,,,,
,2/27/2009,0.25,,,,,,,,,,,,,,,,,,,,,,,
,11/28/2008,0.89,,,,,,,,,,,,,,,,,,,,,,,
,8/29/2008,0.37,,,,,,,,,,,,,,,,,,,,,,,
,5/30/2008,0.48,,,,,,,,,,,,,,,,,,,,,,,
,2/28/2008,0.17,,,,,,,,,,,,,,,,,,,,,,,
,11/30/2007,-0.12,,,,,,,,,,,,,,,,,,,,,,,
,8/31/2007,0.42,,,,,,,,,,,,,,,,,,,,,,,
,5/31/2007,0.44,,,,,,,,,,,,,,,,,,,,,,,
,2/26/2007,0.49,,,,,,,,,,,,,,,,,,,,,,,
,11/20/2006,0.39,,,,,,,,,,,,,,,,,,,,,,,
,8/18/2006,0.51,,,,,,,,,,,,,,,,,,,,,,,
,5/16/2006,0.72,,,,,,,,,,,,,,,,,,,,,,,
