CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,5/3/2022,3/31/2022,1.58,1.9,,1.75,,1.75,,1.76,,,,,,,,,,,,
,2/8/2022,12/31/2021,0.84,1.11,,1.08,,1.08,,1.07,,,,,,,,,,,,
,11/2/2021,9/30/2021,0.52,0.92,,0.9,,0.9,,0.89,,,,,,,,,,,,
,8/3/2021,6/30/2021,0.9,0.97,,0.84,,0.84,,0.84,,,,,,,,,,,,
,5/4/2021,3/31/2021,1.11,1.47,,1.41,,1.41,,1.41,,,,,,,,,,,,
,2/10/2021,12/31/2020,0.42,0.84,,0.79,,0.79,,0.79,4/10/2020,,,,,,,,,,,
,11/4/2020,9/30/2020,0.47,0.7,,0.55,,0.55,,0.7,,,,,,,,,,,,
,8/4/2020,6/30/2020,0.49,0.62,,0.67,,0.72,,0.89,,,,,,,,,,,,
,4/28/2020,3/31/2020,1.08,1.33,,1.27,,1.3,,1.31,,,,,,,,,,,,
,2/5/2020,12/31/2019,0.78,0.86,,0.78,,0.78,,0.79,,,,,,,,,,,,
,10/29/2019,9/30/2019,0.67,0.7,,0.67,,0.65,,0.65,,,,,,,,,,,,
,7/30/2019,6/28/2019,0.834822804,0.75,,0.7,,0.67,,0.68,,,,,,,,,,,,
,4/30/2019,3/29/2019,0.810787351,1.19,,1.11,,1.12,,1.11,,,,,,,,,,,,
,2/5/2019,12/31/2018,0.53940512,0.61,,0.56,,0.58,,0.57,,,,,,,,,,,,
,10/30/2018,9/28/2018,0.491399266,0.52,,0.51,,0.5,,0.49,,,,,,,,,,,,
,7/31/2018,6/29/2018,0.606923085,0.59,,0.48,,0.49,,0.48,,,,,,,,,,,,
,5/1/2018,3/29/2018,0.700730142,0.95,,0.9,,0.59,,0.57,,,,,,,,,,,,
,2/6/2018,12/29/2017,0.219285311,,,0.24,,0.23,,0.19,,,,,,,,,,,,
,10/31/2017,9/29/2017,0.238936016,,,0.19,,0.2,,0.21,,,,,,,,,,,,
,8/1/2017,6/30/2017,0.241786132,,,0.2,,0.22,,0.25,,,,,,,,,,,,
,5/2/2017,3/31/2017,0.437651792,,,0.41,,0.39,,0.38,,,,,,,,,,,,
,2/8/2017,12/30/2016,0.146612859,,,0.13,,0.12,,0.11,,,,,,,,,,,,
,11/1/2016,9/30/2016,0.104418332,,,0.12,,0.1,,0.11,,,,,,,,,,,,
,8/2/2016,6/30/2016,0.177538193,,,0.13,,0.12,,0.11,,,,,,,,,,,,
,5/3/2016,3/31/2016,0.314605178,,,0.2,,0.19,,0.14,,,,,,,,,,,,
,,12/31/2015,0.08835686,,,0.08,,0.06,,0.05,,,,,,,,,,,,
,,9/29/2015,0.065909594,,,0.07,,0.06,,,,,,,,,,,,,,
,,6/29/2015,0.101868998,,,0.06,,,,,,,,,,,,,,,,
,,3/30/2015,0.105988649,,,0.08,,,,,,,,,,,,,,,,
,,12/30/2014,0.048324914,,,0.04,,,,,,,,,,,,,,,,
,,9/29/2014,0.050775745,,,0.04,,,,,,,,,,,,,,,,
,,6/27/2014,-0.011792931,,,0.03,,,,,,,,,,,,,,,,
,,3/31/2014,0.02191388,,,,,,,,,,,,,,,,,,,
