CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,,
,,3/31/2014,0.43,,,0.43,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,-0.26,,,-0.26,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,-0.47,,,-0.47,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.28,,,0.28,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.46,,,0.46,,,,,,,,,,,,,,,,,,,,,,
,,12/28/2012,-0.32,,,-0.32,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,-0.21,,,-0.21,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.47,,,0.47,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.45,,,0.45,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,-0.27,,,-0.27,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,-0.21,,,-0.21,,,,,,,,,,,,,,,,,,,,,,
,,7/1/2011,0.31,,,0.31,,,,,,,,,,,,,,,,,,,,,,
,,4/1/2011,0.54,,,0.54,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,-0.16,,,-0.16,,,,,,,,,,,,,,,,,,,,,,
,,10/1/2010,-0.14,,,-0.14,,,,,,,,,,,,,,,,,,,,,,
,,7/2/2010,0.4,,,0.4,,,,,,,,,,,,,,,,,,,,,,
,,4/1/2010,0.49,,,0.49,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,-0.04,,,-0.04,,,,,,,,,,,,,,,,,,,,,,
,,10/2/2009,0.12,,,0.12,,,,,,,,,,,,,,,,,,,,,,
,,6/26/2009,0.44,,,0.44,,,,,,,,,,,,,,,,,,,,,,
,,3/27/2009,0.47,,,0.47,,,,,,,,,,,,,,,,,,,,,,
,,12/26/2008,-0.09,,,-0.09,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,-0.2,,,-0.2,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.22,,,0.22,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.28,,,0.28,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,-4.07,,,-4.07,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,-0.02,,,-0.02,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.22,,,0.22,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.3,,,0.3,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,-0.04,,,-0.04,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.08,,,0.08,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.43,,,0.43,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.39,,,0.39,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.04,,,0.04,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.31,,,0.31,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,1.03,,,1.03,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2005,1.04,,,1.04,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.12,,,0.12,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2004,0.25,,,0.25,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2004,0.86,,,0.86,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.91,,,0.91,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2003,-0.03,,,-0.03,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2003,0.23,,,0.23,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2003,0.86,,,0.86,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2003,0.68,,,0.68,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2002,-0.04,,,-0.04,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2002,0.04,,,0.04,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2002,0.84,,,0.84,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2002,0.53,,,0.53,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2001,-6.17,,,-6.17,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2001,-0.74,,,-0.74,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2001,0.4,,,0.4,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2001,0.15,,,0.15,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2000,-0.24,,,-0.24,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2000,-1.63,,,-1.63,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2000,0.61,,,0.61,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2000,0.58,,,0.58,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1999,-0.33,,,-0.33,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1999,-0.19,,,-0.19,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1999,0.47,,,0.47,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1999,0.51,,,0.51,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1998,-0.01,,,-0.01,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1998,0.29,,,0.29,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1998,0.29,,,0.29,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1998,0.29,,,0.29,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1997,0.28,,,0.28,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1997,0.27,,,0.27,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1997,0.27,,,0.27,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1997,0.27,,,0.27,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1996,0.26,,,0.26,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1996,0.18,,,0.18,,,,,,,,,,,,,,,,,,,,,,
,,6/28/1996,0.18,,,0.18,,,,,,,,,,,,,,,,,,,,,,
,,3/29/1996,0.18,,,0.18,,,,,,,,,,,,,,,,,,,,,,
,,12/30/1995,0.17,,,0.17,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1995,0.05,,,0.05,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1995,0.05,,,0.05,,,,,,,,,,,,,,,,,,,,,,
,,3/30/1995,0.04,,,0.04,,,,,,,,,,,,,,,,,,,,,,
,,12/30/1994,0.04,,,0.04,,,,,,,,,,,,,,,,,,,,,,
