CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,,,,,,,,
,4/26/2017,3/31/2017,-0.012078319,,0.23,,0.27,,0.41,,0.43,,,,,,,,,,,,,,
,,12/30/2016,0.830065504,,0.62,,0.66,,0.61,,0.54,,,,,,,,,,,,,,
,,9/30/2016,0.399325308,,0.54,,0.59,,0.61,,0.57,,,,,,,,,,,,,,
,,6/30/2016,0.496951485,,0.5,,0.51,,0.52,,0.51,,,,,,,,,,,,,,
,,3/31/2016,0.310343364,,0.39,,0.41,,0.4,,0.39,,,,,,,,,,,,,,
,,12/31/2015,0.617725447,,0.58,,0.62,,0.61,,0.6,0.62,0.65,0.67,,,,,,,,,,,
,,9/30/2015,0.522050858,,0.47,,0.46,,0.53,,,,,,,,,,,,,,,,
,,6/30/2015,0.28929599,,0.47,,0.46,,0.53,,0.56,,,,,,,,,,,,,,
,,3/31/2015,0.271715659,,0.38,,0.45,,0.47,,0.61,,,,,,,,,,,,,,
,,12/31/2014,0.504032102,,0.62,,0.61,,0.49,,,,,,,,,,,,,,,,
,,9/30/2014,0.470230053,,0.48,,0.49,,0.52,,,,,,,,,,,,,,,,
,,6/30/2014,0.509975439,,0.53,,0.42,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.36614664,,0.41,,0.59,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.530146864,,0.59,,0.48,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.44081409,,0.46,,0.51,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.168410714,,0.52,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.402240653,,0.42,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.554790643,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.170171663,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.443721853,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.318193108,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.3185816,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.296121617,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.323814001,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.226899166,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,1.366826762,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.19718759,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.128193049,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.079004926,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.974440508,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.246760028,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.00062494,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.041598493,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,-17.14333824,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,-0.671832179,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.22676836,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.307409482,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.513119793,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.555728213,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.549482151,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.417017815,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.495479937,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.626242284,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.263410417,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.369700249,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.459454123,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.586893215,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.594526761,,,,,,,,,,,,,,,,,,,,,,
