Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,,,,,,,,
4/30/2003,0.07,,nan,,,,,,,,,,,,,,,,,,,,
1/31/2003,0.06,,nan,,,,,,,,,,,,,,,,,,,,
10/31/2002,0.05,,nan,,,,,,,,,,,,,,,,,,,,
7/31/2002,0.05,,nan,,,,,,,,,,,,,,,,,,,,
4/30/2002,0.02,,nan,,,,,,,,,,,,,,,,,,,,
1/31/2002,0.02,,nan,,,,,,,,,,,,,,,,,,,,
10/31/2001,-0.03,,nan,,,,,,,,,,,,,,,,,,,,
7/31/2001,0,,nan,,,,,,,,,,,,,,,,,,,,
4/30/2001,0,,nan,,,,,,,,,,,,,,,,,,,,
1/31/2001,0.09,,nan,,,,,,,,,,,,,,,,,,,,
10/31/2000,0.1,,nan,,,,,,,,,,,,,,,,,,,,
7/31/2000,0.01,,nan,,,,,,,,,,,,,,,,,,,,
4/28/2000,0.07,,nan,,,,,,,,,,,,,,,,,,,,
1/31/2000,0.06,,nan,,,,,,,,,,,,,,,,,,,,
10/29/1999,0.05,,nan,,,,,,,,,,,,,,,,,,,,
7/30/1999,0.04,,nan,,,,,,,,,,,,,,,,,,,,
4/30/1999,0.0325,,nan,,,,,,,,,,,,,,,,,,,,
1/29/1999,0.03,,nan,,,,,,,,,,,,,,,,,,,,
10/30/1998,0.0275,,nan,,,,,,,,,,,,,,,,,,,,
7/31/1998,0.025,,nan,,,,,,,,,,,,,,,,,,,,
4/30/1998,0.02125,,nan,,,,,,,,,,,,,,,,,,,,
1/30/1998,0.01875,,nan,,,,,,,,,,,,,,,,,,,,
10/31/1997,0.0175,,nan,,,,,,,,,,,,,,,,,,,,
7/31/1997,0.015,,nan,,,,,,,,,,,,,,,,,,,,
4/30/1997,-0.02125,,nan,,,,,,,,,,,,,,,,,,,,
1/31/1997,0.011875,,nan,,,,,,,,,,,,,,,,,,,,
10/31/1996,0.01,,nan,,,,,,,,,,,,,,,,,,,,
7/31/1996,-0.001875,,nan,,,,,,,,,,,,,,,,,,,,
4/30/1996,0.024101563,,nan,,,,,,,,,,,,,,,,,,,,
