CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2002,0.2,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2002,0.27,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2002,0.3,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2002,0.37,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2001,0.38,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2001,0.41,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2001,0.39,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2001,0.34,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2000,0.35,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2000,0.37,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2000,0.35,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2000,0.34,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1999,0.39,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1999,0.4,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1999,0.39,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1999,0.34,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1998,0.35,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1998,0.37,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1998,0.32,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1998,0.26,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1997,0.24,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1997,0.27,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1997,0.14,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1997,0.26,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1996,0.29,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1996,0.3,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/1996,0.27,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/1996,0.24,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/1995,0.2,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/1995,0.26,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1995,0.26,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
