Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,3/28/2013,0.10209488,,0.25,,0.28,,0.26,,0.22,,,,,,,,,,,,
,12/31/2012,0.192893744,,0.22,,0.235,,,,,,,,,,,,,,,,
,9/28/2012,0.312175955,,0.24,,,,,,,,,,,,,,,,,,
,6/29/2012,0.260078296,,0.27,,,,,,,,,,,,,,,,,,
,3/30/2012,0.209739935,,0.135,,,,,,,,,,,,,,,,,,
,12/30/2011,0.039411648,,,,,,,,,,,,,,,,,,,,
,9/30/2011,0.228442787,,,,,,,,,,,,,,,,,,,,
,6/30/2011,0.260217506,,,,,,,,,,,,,,,,,,,,
,3/31/2011,0.10824644,,,,,,,,,,,,,,,,,,,,
,12/31/2010,0.208516593,,,,,,,,,,,,,,,,,,,,
,9/30/2010,0.300635089,,,,,,,,,,,,,,,,,,,,
,6/30/2010,0.267251431,,,,,,,,,,,,,,,,,,,,
,3/31/2010,0.178366586,,,,,,,,,,,,,,,,,,,,
,12/31/2009,0.170089644,,,,,,,,,,,,,,,,,,,,
,9/30/2009,0.479731182,,,,,,,,,,,,,,,,,,,,
,6/30/2009,0.259814852,,,,,,,,,,,,,,,,,,,,
,3/31/2009,0.234299923,,,,,,,,,,,,,,,,,,,,
,12/31/2008,0.208768619,,,,,,,,,,,,,,,,,,,,
,9/30/2008,0.195862331,,,,,,,,,,,,,,,,,,,,
,6/30/2008,0.237489136,,,,,,,,,,,,,,,,,,,,
,3/31/2008,0.204064532,,,,,,,,,,,,,,,,,,,,
,12/31/2007,0.09,,,,,,,,,,,,,,,,,,,,
,9/28/2007,0.195,,,,,,,,,,,,,,,,,,,,
,6/29/2007,0.19,,,,,,,,,,,,,,,,,,,,
,3/30/2007,0.09,,,,,,,,,,,,,,,,,,,,
,12/29/2006,-0.005,,,,,,,,,,,,,,,,,,,,
,9/29/2006,-0.02,,,,,,,,,,,,,,,,,,,,
,6/30/2006,0.14,,,,,,,,,,,,,,,,,,,,
,3/31/2006,0.15,,,,,,,,,,,,,,,,,,,,
,12/30/2005,0.06,,,,,,,,,,,,,,,,,,,,
,9/30/2005,0.135,,,,,,,,,,,,,,,,,,,,
,6/30/2005,0.1475,,,,,,,,,,,,,,,,,,,,
,3/31/2005,0.1275,,,,,,,,,,,,,,,,,,,,
,12/31/2004,0.03,,,,,,,,,,,,,,,,,,,,
,9/30/2004,0.125,,,,,,,,,,,,,,,,,,,,
,6/30/2004,0.11,,,,,,,,,,,,,,,,,,,,
,3/31/2004,0.09,,,,,,,,,,,,,,,,,,,,
,12/31/2003,0.06,,,,,,,,,,,,,,,,,,,,
,9/30/2003,0.1,,,,,,,,,,,,,,,,,,,,
,6/30/2003,0.0975,,,,,,,,,,,,,,,,,,,,
,3/31/2003,0.02625,,,,,,,,,,,,,,,,,,,,
,12/31/2002,0.03875,,,,,,,,,,,,,,,,,,,,
,9/30/2002,0.0875,,,,,,,,,,,,,,,,,,,,
,6/28/2002,0.0875,,,,,,,,,,,,,,,,,,,,
,3/28/2002,0.06125,,,,,,,,,,,,,,,,,,,,
,12/31/2001,0.03625,,,,,,,,,,,,,,,,,,,,
,9/28/2001,0.03625,,,,,,,,,,,,,,,,,,,,
,6/29/2001,0.02,,,,,,,,,,,,,,,,,,,,
,3/30/2001,0.035,,,,,,,,,,,,,,,,,,,,
,12/29/2000,0.04,,,,,,,,,,,,,,,,,,,,
,9/29/2000,0.07,,,,,,,,,,,,,,,,,,,,
,6/30/2000,0.055,,,,,,,,,,,,,,,,,,,,
,3/31/2000,0.08375,,,,,,,,,,,,,,,,,,,,
,12/31/1999,0.08125,,,,,,,,,,,,,,,,,,,,
,9/30/1999,0.08125,,,,,,,,,,,,,,,,,,,,
,6/30/1999,0.09125,,,,,,,,,,,,,,,,,,,,
,3/31/1999,0.06875,,,,,,,,,,,,,,,,,,,,
,12/31/1998,0.0625,,,,,,,,,,,,,,,,,,,,
,9/30/1998,0.0775,,,,,,,,,,,,,,,,,,,,
,6/30/1998,0.07375,,,,,,,,,,,,,,,,,,,,
,3/31/1998,0.05125,,,,,,,,,,,,,,,,,,,,
,12/31/1997,0.0475,,,,,,,,,,,,,,,,,,,,
,9/30/1997,0.0575,,,,,,,,,,,,,,,,,,,,
,6/30/1997,0.0625,,,,,,,,,,,,,,,,,,,,
,3/31/1997,0.04375,,,,,,,,,,,,,,,,,,,,
,12/31/1996,0.0475,,,,,,,,,,,,,,,,,,,,
,9/30/1996,0.04875,,,,,,,,,,,,,,,,,,,,
,6/28/1996,0.0475,,,,,,,,,,,,,,,,,,,,
,3/29/1996,0.03,,,,,,,,,,,,,,,,,,,,
,12/29/1995,0.031875,,,,,,,,,,,,,,,,,,,,
,9/29/1995,0.0325,,,,,,,,,,,,,,,,,,,,
,6/30/1995,0.0375,,,,,,,,,,,,,,,,,,,,
,3/31/1995,0.030625,,,,,,,,,,,,,,,,,,,,
,12/30/1994,0.029375,,,,,,,,,,,,,,,,,,,,
,9/30/1994,0.031875,,,,,,,,,,,,,,,,,,,,
,6/30/1994,0.03375,,,,,,,,,,,,,,,,,,,,
