CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,9/30/2003,0.08727094,,,,,,,,,,,,,,,
,,6/30/2003,0.0975,,,,,,,,,,,,,,,
,,3/31/2003,0.0875,,,,,,,,,,,,,,,
,,12/31/2002,0.075,,,,,,,,,,,,,,,
,,9/30/2002,0.07,,,,,,,,,,,,,,,
,,6/28/2002,0.0725,,,,,,,,,,,,,,,
,,3/28/2002,0.0775,,,,,,,,,,,,,,,
,,12/31/2001,0.065,,,,,,,,,,,,,,,
,,9/28/2001,0.0625,,,,,,,,,,,,,,,
,,6/29/2001,0.0625,,,,,,,,,,,,,,,
,,3/30/2001,-0.075,,,,,,,,,,,,,,,
,,12/29/2000,0.0525,,,,,,,,,,,,,,,
,,9/29/2000,0.05,,,,,,,,,,,,,,,
,,6/30/2000,0.0475,,,,,,,,,,,,,,,
,,3/31/2000,0.045,,,,,,,,,,,,,,,
,,12/31/1999,0.0425,,,,,,,,,,,,,,,
,,9/30/1999,0.0375,,,,,,,,,,,,,,,
,,6/30/1999,0.0375,,,,,,,,,,,,,,,
,,3/31/1999,0.035,,,,,,,,,,,,,,,
,,12/31/1998,0.0325,,,,,,,,,,,,,,,
