CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,
,5/8/2017,3/29/2018,21.76838686,,1.07,,,,,,,,,,,,,,,,,,
,2/27/2018,12/29/2017,2.753545981,,1.26,,1.07,,1.12,,0.98,,1.09,,,,,,,,,,
,11/2/2017,9/29/2017,0.911520032,,0.38,,0.64,,0.8,,0.79,,0.9,,,,,,,,,,
,8/3/2017,6/30/2017,0.167799773,,0.56,,0.67,,0.75,,1.09,,1.13,,,,,,,,,,
,5/4/2017,3/31/2017,0.414997827,,0.3,,0.43,,0.66,,0.78,,0.89,,,,,,,,,,
,,12/30/2016,-0.69606118,,1.03,,1.02,,1.15,,1.35,,1.23,,1.33,,1.36,,1.16,,,,
,,9/30/2016,0.620302652,,0.51,,0.63,,0.62,,0.88,,0.89,,0.93,,,,,,,,
,,6/30/2016,0.608807327,,1.13,,0.92,,1.07,,1.06,,1.11,,,,,,,,,,
,,3/31/2016,0.416050973,,0.6,,0.79,,0.81,,0.9,,,,,,,,,,,,
,,12/31/2015,1.679063454,,1.27,,1.35,,1.34,,1.63,,1.54,,,,,,,,,,
,,9/30/2015,0.590033629,,0.54,,0.99,,1.13,,,,,,,,,,,,,,
,,6/30/2015,0.967393894,,0.78,,0.77,,1.11,,1.25,,,,,,,,,,,,
,,3/31/2015,0.608351258,,0.33,,0.46,,1.07,,1.49,,,,,,,,,,,,
,,12/31/2014,1.337249931,,1.18,,1.21,,1.49,,1.63,,0.86,,,,,,,,,,
,,9/30/2014,0.394941835,,0.86,,1.42,,0.95,,,,,,,,,,,,,,
,,6/30/2014,1.087274852,,0.95,,1.59,,0.8,,,,,,,,,,,,,,
,,3/31/2014,0.229464194,,0.8,,1.36,,1.42,,,,,,,,,,,,,,
,,12/31/2013,1.039602594,,1.42,,1.59,,0.66,,,,,,,,,,,,,,
,,9/30/2013,-0.248190749,,0.91,,1.26,,1.35,,1.12,,,,,,,,,,,,
,,6/28/2013,1.20112235,,1.25,,1.24,,1.35,,1.1,,,,,,,,,,,,
,,3/28/2013,0.6766492,,1.06,,1.22,,1.2,,1.34,,,,,,,,,,,,
,,12/31/2012,1.464405127,,1.34,,1.43,,1.17,,,,,,,,,,,,,,
,,9/28/2012,1.469370775,,1.23,,,,,,,,,,,,,,,,,,
,,6/29/2012,1.689723873,,1.19,,,,,,,,,,,,,,,,,,
,,3/30/2012,1.08587539,,1.15,,,,,,,,,,,,,,,,,,
,,12/30/2011,2.081336519,,nan,,,,,,,,,,,,,,,,,,
,,9/30/2011,1.612911161,,nan,,,,,,,,,,,,,,,,,,
,,6/30/2011,1.405439551,,nan,,,,,,,,,,,,,,,,,,
,,3/31/2011,1.163795836,,nan,,,,,,,,,,,,,,,,,,
,,12/31/2010,2.412276651,,nan,,,,,,,,,,,,,,,,,,
,,9/30/2010,1.592854855,,nan,,,,,,,,,,,,,,,,,,
,,6/30/2010,1.349582222,,nan,,,,,,,,,,,,,,,,,,
,,3/31/2010,1.241842405,,nan,,,,,,,,,,,,,,,,,,
,,12/31/2009,1.360572086,,nan,,,,,,,,,,,,,,,,,,
,,9/30/2009,1.382026906,,nan,,,,,,,,,,,,,,,,,,
,,6/30/2009,1.368646817,,nan,,,,,,,,,,,,,,,,,,
,,3/31/2009,1.095843291,,nan,,,,,,,,,,,,,,,,,,
,,12/31/2008,-0.295527444,,nan,,,,,,,,,,,,,,,,,,
,,9/30/2008,1,,nan,,,,,,,,,,,,,,,,,,
,,6/30/2008,1.57,,nan,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.96,,nan,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.45,,nan,,,,,,,,,,,,,,,,,,
,,9/28/2007,1.03,,nan,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.95,,nan,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.99,,nan,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.61,,nan,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.86,,nan,,,,,,,,,,,,,,,,,,
,,6/30/2006,1.2,,nan,,,,,,,,,,,,,,,,,,
,,3/31/2006,1.16,,nan,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.5,,nan,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.61,,nan,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.69,,nan,,,,,,,,,,,,,,,,,,
,,3/31/2005,1.26,,nan,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.65,,nan,,,,,,,,,,,,,,,,,,
,,9/30/2004,0.24,,nan,,,,,,,,,,,,,,,,,,
,,6/30/2004,0.86,,nan,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.83,,nan,,,,,,,,,,,,,,,,,,
,,12/31/2003,0.73,,nan,,,,,,,,,,,,,,,,,,
,,9/30/2003,0.37,,nan,,,,,,,,,,,,,,,,,,
,,6/30/2003,0.8,,nan,,,,,,,,,,,,,,,,,,
,,3/31/2003,1.01,,nan,,,,,,,,,,,,,,,,,,
,,12/31/2002,0.62,,nan,,,,,,,,,,,,,,,,,,
,,9/30/2002,0.64,,nan,,,,,,,,,,,,,,,,,,
,,6/28/2002,0.62,,nan,,,,,,,,,,,,,,,,,,
,,3/28/2002,0.73,,nan,,,,,,,,,,,,,,,,,,
,,12/31/2001,0.66,,nan,,,,,,,,,,,,,,,,,,
,,9/28/2001,0.28,,nan,,,,,,,,,,,,,,,,,,
,,6/29/2001,0.46,,nan,,,,,,,,,,,,,,,,,,
,,3/30/2001,0.34,,nan,,,,,,,,,,,,,,,,,,
,,12/29/2000,0.37,,nan,,,,,,,,,,,,,,,,,,
,,9/29/2000,0.57,,nan,,,,,,,,,,,,,,,,,,
,,6/30/2000,0.205,,nan,,,,,,,,,,,,,,,,,,
,,3/31/2000,0.12,,nan,,,,,,,,,,,,,,,,,,
,,12/31/1999,-0.46,,nan,,,,,,,,,,,,,,,,,,
,,9/30/1999,0.175,,nan,,,,,,,,,,,,,,,,,,
,,6/30/1999,0.325,,nan,,,,,,,,,,,,,,,,,,
,,3/31/1999,0.445,,nan,,,,,,,,,,,,,,,,,,
,,12/31/1998,0.26,,nan,,,,,,,,,,,,,,,,,,
,,9/30/1998,0.08,,nan,,,,,,,,,,,,,,,,,,
,,6/30/1998,0.29,,nan,,,,,,,,,,,,,,,,,,
,,3/31/1998,0.355,,nan,,,,,,,,,,,,,,,,,,
,,12/31/1997,0.055,,nan,,,,,,,,,,,,,,,,,,
,,9/30/1997,0.105,,nan,,,,,,,,,,,,,,,,,,
,,6/30/1997,0.195,,nan,,,,,,,,,,,,,,,,,,
,,3/31/1997,0.3,,nan,,,,,,,,,,,,,,,,,,
,,12/31/1996,0.1,,nan,,,,,,,,,,,,,,,,,,
,,9/30/1996,0.27,,nan,,,,,,,,,,,,,,,,,,
,,6/28/1996,0.3,,nan,,,,,,,,,,,,,,,,,,
,,3/29/1996,0.38,,nan,,,,,,,,,,,,,,,,,,
,,12/29/1995,0.25,,nan,,,,,,,,,,,,,,,,,,
,,9/29/1995,0.183333333,,nan,,,,,,,,,,,,,,,,,,
,,6/30/1995,0.266666667,,nan,,,,,,,,,,,,,,,,,,
,,3/31/1995,0.33,,nan,,,,,,,,,,,,,,,,,,
,,12/30/1994,0.173333333,,nan,,,,,,,,,,,,,,,,,,
,,9/30/1994,0.16,,nan,,,,,,,,,,,,,,,,,,
,,6/30/1994,0.116666667,,nan,,,,,,,,,,,,,,,,,,
,,3/31/1994,0.193333333,,nan,,,,,,,,,,,,,,,,,,
,,12/31/1993,-0.033333333,,nan,,,,,,,,,,,,,,,,,,
,,9/30/1993,0.003333333,,nan,,,,,,,,,,,,,,,,,,
,,6/30/1993,0.01,,nan,,,,,,,,,,,,,,,,,,
