CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,
,,12/31/2009,0.09,,,0.09,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.21,,,0.21,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.12,,,0.12,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,-0.08,,,-0.08,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,-0.13,,,-0.13,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.15,,,0.15,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.18,,,0.18,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.12,,,0.12,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.08,,,0.08,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.18,,,0.18,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.1,,,0.1,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.14,,,0.14,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.09,,,0.09,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.08,,,0.08,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.04,,,0.04,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.09,,,0.09,,,,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.15,,,0.15,,,,,,,,,,,,,,,,,,,,,
,,9/30/2004,0.24,,,0.24,,,,,,,,,,,,,,,,,,,,,
,,6/30/2004,0.17,,,0.17,,,,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.15,,,0.15,,,,,,,,,,,,,,,,,,,,,
,,12/31/2003,0.24,,,0.24,,,,,,,,,,,,,,,,,,,,,
,,9/30/2003,0.27,,,0.27,,,,,,,,,,,,,,,,,,,,,
,,6/30/2003,0.18,,,0.18,,,,,,,,,,,,,,,,,,,,,
,,3/31/2003,0.09,,,0.09,,,,,,,,,,,,,,,,,,,,,
,,12/31/2002,0.22,,,0.22,,,,,,,,,,,,,,,,,,,,,
,,9/30/2002,0.22,,,0.22,,,,,,,,,,,,,,,,,,,,,
,,6/28/2002,0.21,,,0.21,,,,,,,,,,,,,,,,,,,,,
,,3/28/2002,-0.58,,,-0.58,,,,,,,,,,,,,,,,,,,,,
,,12/31/2001,0.3,,,0.3,,,,,,,,,,,,,,,,,,,,,
,,9/28/2001,0.14,,,0.14,,,,,,,,,,,,,,,,,,,,,
,,6/29/2001,0.28,,,0.28,,,,,,,,,,,,,,,,,,,,,
,,3/30/2001,0.2,,,0.2,,,,,,,,,,,,,,,,,,,,,
,,12/29/2000,0.34,,,0.34,,,,,,,,,,,,,,,,,,,,,
,,9/29/2000,0.24,,,0.24,,,,,,,,,,,,,,,,,,,,,
,,6/30/2000,0.28,,,0.28,,,,,,,,,,,,,,,,,,,,,
,,3/31/2000,0.18,,,0.18,,,,,,,,,,,,,,,,,,,,,
,,12/31/1999,0.38,,,0.38,,,,,,,,,,,,,,,,,,,,,
,,9/30/1999,0.28,,,0.28,,,,,,,,,,,,,,,,,,,,,
,,6/30/1999,0.28,,,0.28,,,,,,,,,,,,,,,,,,,,,
,,3/31/1999,0.23,,,0.23,,,,,,,,,,,,,,,,,,,,,
,,12/31/1998,0.31,,,0.31,,,,,,,,,,,,,,,,,,,,,
,,9/30/1998,0.27,,,0.27,,,,,,,,,,,,,,,,,,,,,
,,6/30/1998,0.23,,,0.23,,,,,,,,,,,,,,,,,,,,,
,,3/31/1998,0.2,,,0.2,,,,,,,,,,,,,,,,,,,,,
,,12/31/1997,0.32,,,0.32,,,,,,,,,,,,,,,,,,,,,
,,9/30/1997,0.3,,,0.3,,,,,,,,,,,,,,,,,,,,,
,,6/30/1997,0.29,,,0.29,,,,,,,,,,,,,,,,,,,,,
,,3/31/1997,0.22,,,0.22,,,,,,,,,,,,,,,,,,,,,
,,12/31/1996,0.29,,,0.29,,,,,,,,,,,,,,,,,,,,,
,,9/30/1996,0.28,,,0.28,,,,,,,,,,,,,,,,,,,,,
,,6/28/1996,0.26,,,0.26,,,,,,,,,,,,,,,,,,,,,
,,3/29/1996,0.24,,,0.24,,,,,,,,,,,,,,,,,,,,,
,,12/29/1995,-0.3,,,-0.3,,,,,,,,,,,,,,,,,,,,,
,,9/29/1995,0.24,,,0.24,,,,,,,,,,,,,,,,,,,,,
,,6/30/1995,0.24,,,0.24,,,,,,,,,,,,,,,,,,,,,
,,3/31/1995,0.27,,,0.27,,,,,,,,,,,,,,,,,,,,,
,,12/30/1994,0.33,,,0.33,,,,,,,,,,,,,,,,,,,,,
,,9/30/1994,0.29,,,0.29,,,,,,,,,,,,,,,,,,,,,
,,6/30/1994,0.32,,,0.32,,,,,,,,,,,,,,,,,,,,,
,,3/30/1994,0.23,,,0.23,,,,,,,,,,,,,,,,,,,,,
,,12/30/1993,0.09,,,0.09,,,,,,,,,,,,,,,,,,,,,
,,9/30/1993,0.23,,,0.23,,,,,,,,,,,,,,,,,,,,,
,,6/30/1993,0.29,,,0.29,,,,,,,,,,,,,,,,,,,,,
,,3/30/1993,0.28,,,0.28,,,,,,,,,,,,,,,,,,,,,
,,12/30/1992,0.31,,,0.31,,,,,,,,,,,,,,,,,,,,,
,,9/30/1992,0.29,,,0.29,,,,,,,,,,,,,,,,,,,,,
,,6/30/1992,0.31,,,0.31,,,,,,,,,,,,,,,,,,,,,
,,3/30/1992,0.24,,,0.24,,,,,,,,,,,,,,,,,,,,,
,,12/30/1991,0.23,,,0.23,,,,,,,,,,,,,,,,,,,,,
,,9/30/1991,0.23,,,0.23,,,,,,,,,,,,,,,,,,,,,
,,6/30/1991,0.24,,,0.24,,,,,,,,,,,,,,,,,,,,,
,,3/30/1991,0.24,,,0.24,,,,,,,,,,,,,,,,,,,,,
,,12/30/1990,0.25,,,0.25,,,,,,,,,,,,,,,,,,,,,
,,9/30/1990,0.25,,,0.25,,,,,,,,,,,,,,,,,,,,,
,,6/30/1990,0.25,,,0.25,,,,,,,,,,,,,,,,,,,,,
,,3/30/1990,0.25,,,0.25,,,,,,,,,,,,,,,,,,,,,
