Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,,
,6/30/2006,0.276666667,,nan,,,,,,,,,,,,,,,,
,3/31/2006,0.176666667,,nan,,,,,,,,,,,,,,,,
,12/30/2005,0.173333333,,nan,,,,,,,,,,,,,,,,
,9/30/2005,0.12,,nan,,,,,,,,,,,,,,,,
,6/30/2005,0.12,,nan,,,,,,,,,,,,,,,,
,3/31/2005,0.426666667,,nan,,,,,,,,,,,,,,,,
,12/31/2004,0.05,,nan,,,,,,,,,,,,,,,,
,9/30/2004,0.091666667,,nan,,,,,,,,,,,,,,,,
,6/30/2004,0.088333333,,nan,,,,,,,,,,,,,,,,
,3/31/2004,0.023333333,,nan,,,,,,,,,,,,,,,,
,12/31/2003,0.091666667,,nan,,,,,,,,,,,,,,,,
,9/30/2003,-0.08,,nan,,,,,,,,,,,,,,,,
,6/30/2003,0.095,,nan,,,,,,,,,,,,,,,,
,3/31/2003,0.075,,nan,,,,,,,,,,,,,,,,
,12/31/2002,0.106666667,,nan,,,,,,,,,,,,,,,,
,9/30/2002,0.1,,nan,,,,,,,,,,,,,,,,
,6/28/2002,0.105,,nan,,,,,,,,,,,,,,,,
,3/28/2002,0.02,,nan,,,,,,,,,,,,,,,,
,12/31/2001,0.051666667,,nan,,,,,,,,,,,,,,,,
,9/28/2001,0.078333333,,nan,,,,,,,,,,,,,,,,
,6/29/2001,0.085,,nan,,,,,,,,,,,,,,,,
,3/30/2001,0.016666667,,nan,,,,,,,,,,,,,,,,
,12/29/2000,0.043333333,,nan,,,,,,,,,,,,,,,,
,9/29/2000,0.336666667,,nan,,,,,,,,,,,,,,,,
,6/30/2000,0.043333333,,nan,,,,,,,,,,,,,,,,
,3/31/2000,0.023333333,,nan,,,,,,,,,,,,,,,,
,12/31/1999,-0.02,,nan,,,,,,,,,,,,,,,,
,9/30/1999,-0.09,,nan,,,,,,,,,,,,,,,,
,6/30/1999,0.088333333,,nan,,,,,,,,,,,,,,,,
,3/31/1999,0.02,,nan,,,,,,,,,,,,,,,,
,12/31/1998,0.085,,nan,,,,,,,,,,,,,,,,
,9/30/1998,0.146666667,,nan,,,,,,,,,,,,,,,,
,6/30/1998,0.116666667,,nan,,,,,,,,,,,,,,,,
