CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2018,2.122137405,,,2.52,,2.4,,2.3,,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2018,2.189093228,,,2.16,,2.14,,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2017,6.192302914,,,1.68,,1.28,,0.99,,0.97,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2017,1.623170953,,,1.45,,1.42,,1.2,,1.17,,1.12,,1.14,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2017,1.177524226,,,1.26,,1.11,,1.05,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2017,1.06552435,,,0.83,,0.82,,0.78,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.764762975,,,0.8,,0.86,,0.89,,0.96,,1.1,,1.15,,1.2,,1.23,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.507512926,,,0.89,,1.09,,1.25,,1.33,,1.38,,1.4,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.854928062,,,0.96,,1.02,,0.97,,1.23,,1.2,,1.24,,1.36,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.942783426,,,0.93,,1.13,,1.1,,1.2,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.829488713,,,0.99,,1,,1.09,,1.15,,1.17,,1.12,,1.07,,1.03,,1.12,,1.21,,1.26,,1.34,,1.42,,1.54,,1.44,,1.55,,,,
,,9/30/2015,1.372432352,,,1.29,,1.3,,1.28,,1.26,,1.18,,1.17,,1.27,,1.34,,1.37,,1.5,,1.66,,1.74,,1.66,,1.67,,,,,,,,
,,6/30/2015,1.533076693,,,1.21,,1.23,,1.19,,1.16,,1.19,,1.22,,1.42,,1.46,,1.53,,1.55,,1.48,,1.57,,,,,,,,,,,,
,,3/31/2015,1.093900434,,,1.2,,1.19,,1.2,,1.18,,1.22,,1.42,,1.47,,1.49,,1.45,,1.39,,1.47,,,,,,,,,,,,,,
,,12/31/2014,1.370092689,,,1.38,,1.41,,1.4,,1.51,,1.54,,1.49,,1.43,,1.41,,1.36,,1.31,,1.28,,1.23,,1.18,,1.53,,,,,,,,
,,9/30/2014,1.253976678,,,1.57,,1.56,,1.57,,1.51,,1.48,,1.47,,1.4,,1.37,,1.38,,1.32,,1.245,,1.43,,,,,,,,,,,,
,,6/30/2014,1.260736607,,,1.44,,1.43,,1.36,,1.35,,1.345,,1.295,,1.215,,1.13,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,1.175833333,,,1.13,,1.11,,1.09,,1.17,,1.1,,1.11,,,,,,,,,,,,,,,,,,,,,,,,
,,1/2/2014,1.272113095,,,1.115,,1.06,,1.07,,1.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/1/2013,1.272614827,,,1.11,,0.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/1/2013,1.089877443,,,0.97,,0.91,,0.865,,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/1/2013,0.921753736,,,0.625,,0.62,,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/2/2013,0.714847409,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/1/2012,0.652326936,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/2/2012,0.866488471,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/2/2012,0.659667643,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/3/2012,0.199418831,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/3/2011,0.511660311,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/1/2011,0.61007844,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/1/2011,0.631828683,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/3/2011,0.63,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/1/2010,0.475,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/1/2010,0.43,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/1/2010,0.135,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/4/2010,0.095,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/1/2009,0.225,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/1/2009,0.13,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/1/2009,-0.045,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/2/2009,-0.835,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/1/2008,0.21,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/1/2008,0.36,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/1/2008,0.04,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/2/2008,0.145,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/1/2007,0.295,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/2/2007,0.29,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/2/2007,0.15,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/3/2007,0.11,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/2/2006,0.475,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/3/2006,0.515,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/3/2006,0.395,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/3/2006,0.565,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/3/2005,0.335,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/1/2005,0.37,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/1/2005,0.47,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.365,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2004,0.25,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2004,0.345,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.11,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
