CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,,,,,,,,,,,,,
,,6/19/2015,1.046867792,,0.87,,0.88,,0.86,0.85,0.88,0.87,0.83,0.82,,,,,,,,,,,,,,,,,,,
,,3/31/2015,1.031658033,,0.71,,0.7,,0.69,0.64,0.65,0.48,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.02994012,,0.6,,0.59,,0.54,0.51,0.48,0.47,0.56,0.6,0.61,0.66,0.82,,,,,,,,,,,,,,,,
,,9/12/2014,0.726744186,,0.8,,0.79,,0.78,0.77,0.69,0.67,0.52,0.75,,,,,,,,,,,,,,,,,,,
,,6/30/2014,1.022727273,,0.75,,0.77,,0.75,0.72,0.7,0.64,0.53,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.529247911,,0.57,,0.56,,0.58,0.56,0.52,0.41,,,,,,,,,,,,,,,,,,,,,
,,1/3/2014,0.163934426,,0.39,,0.46,,0.4,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.68119891,,0.39,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/14/2013,0.846994536,,0.48,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/22/2013,0.519125683,,0.44,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/28/2012,-0.201729107,,0.46,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/7/2012,0.165745856,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/15/2012,0.138504155,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.25210084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
