Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,
6/30/2014,0.406360424,,0.46,,0.53,,0.57,,0.54,,0.53,,0.56,,0.62,,0.21,,,,,,,,,,,,
3/31/2014,-0.078014184,,0.17,,0.2,,0.26,,0.28,,0.33,,0.32,,0.28,,0.25,,0.21,,0.22,,0.36,,,,,,
12/31/2013,0.319148936,,0.35,,0.36,,0.37,,0.41,,0.49,,,,,,,,,,,,,,,,,,
9/30/2013,0.426086957,,0.49,,0.54,,0.55,,0.62,,,,,,,,,,,,,,,,,,,,
6/28/2013,0.6069869,,0.62,,0.61,,0.59,,0.58,,0.7,,0.4,,,,,,,,,,,,,,,,
3/28/2013,0.38961039,,0.41,,0.4,,0.45,,0.56,,,,,,,,,,,,,,,,,,,,
12/28/2012,0.662303665,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2012,1.032300885,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2012,0.652173913,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2012,0.333184057,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,
12/30/2011,0.77513465,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
9/29/2011,0.334684685,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2011,0.356347439,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2011,0.190071556,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2010,0.58,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2010,0.36,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2010,0.61,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2010,0.07,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2009,0.3,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2009,0.32,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2009,0.4,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2009,-0.06,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2008,-0.07,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2008,-0.95,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2008,3,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2008,0.13,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2007,-0.21,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2007,0.03,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2007,0.38,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2007,0.37,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
12/29/2006,0.34,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
9/29/2006,0.73,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2006,0.76,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2006,0.61,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,
