CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/19/2021,6/30/2021,1.06,2.01,,2.82,,1.58,,1.68,,1.69,,2.22,,1.89,,1.89,,1.29,,2.03,,2.47,,2.83,,2.47,,2.47,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/18/2021,3/31/2021,0.02,0.82,,0.65,,0.65,,0.78,,0.8,,0.8,,0.81,,0.95,,0.99,,0.89,,0.99,,0.99,,,,,,,,,,,,,,,,,,,,,,,0.293333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/4/2021,12/31/2020,3.17,3.58,,3.53,,3.53,,3.8,,3.63,,5,,4.89,,5,,5,,1.846666667,,2.533333333,,2.856666667,,2.87,9.060810811,,,,,,,,,,,,,,1.146666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/23/2020,9/30/2020,1.07,1.52,,1.24,,1.28,,1.31,,1.28,,1.28,,0.54,,0.623333333,,2.533333333,,0.673333333,0.683333333,2.204391892,,,,,,,,,,,,,0.219722079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/21/2020,6/30/2020,2,2.43,,2,,0.58,,0.623333333,,0.716666667,,0.663333333,0.78,2.265202703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/2/2020,3/31/2020,0.04,0.44,,0.04,,0.293333333,,0.426666667,,0.456666667,,0.436666667,0.576666667,1.277027027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/18/2020,12/31/2019,2.36,2.71,,2.36,,1.146666667,,1.15,,1.53,,1.813333333,1.906666667,1.956666667,1.993333333,1.946666667,1.993333333,1.986666667,2.026666667,2.106666667,2.14,2.62,2.66,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/21/2019,9/30/2019,0.66,0.99,,0.66,,0.38,,0.453333333,,0.48,0.496666667,0.483333333,0.476666667,0.483333333,0.493333333,0.44,0.443333333,0.513333333,0.57,0.686666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/21/2019,6/30/2019,1.13,1.41,,1.13,,0.463333333,,0.496666667,,0.543333333,0.5,0.503333333,0.466666667,0.463333333,0.603333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/29/2019,3/30/2019,0.57,0.89,,0.57,,0.276666667,,0.28,,0.3,0.286666667,0.28,0.346666667,0.436666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/6/2019,12/31/2018,3.17,3.46,,3.17,,1.34,,1.56,,1.663333333,1.573333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/21/2018,9/30/2018,0.5,0.86,,0.5,,0.346666667,,0.343333333,,0.297336667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/14/2018,6/30/2018,0.62,0.96,,0.62,,0.303333333,,0.169906667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/17/2018,3/30/2018,0.25,0.54,,0.25,,0.658388333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/6/2018,12/30/2017,2.48,,,2.48,,0.191145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/21/2017,9/30/2017,0.37,,,0.37,,0.233621667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/21/2017,6/30/2017,0.51,,,0.51,,0.169906667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/16/2017,3/31/2017,0.18,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/22/2017,12/30/2016,1.11,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/17/2016,9/30/2016,0.36,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/4/2016,6/30/2016,0.03,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/23/2016,3/31/2016,0.09,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/1/2016,12/31/2015,0.25,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/24/2015,9/30/2015,0.12,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/20/2015,6/30/2015,-0.01,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,-2.49,,,-2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,-1.94,,,-1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,-11.1,,,-11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,-1.41,,,-1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2014,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
