CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,10/23/2020,9/30/2020,1.7,1.69,,0.94,,0.58,,0.57,,,,,,,,
,7/30/2020,6/30/2020,1.42,1.08,,0.5,,0.53,,0.56,,,,,,,,
,4/30/2020,3/31/2020,0.55,0.55,,0.4,,0.44,,0.48,,,,,,,,
,1/30/2020,12/31/2019,0.54,0.54,,0.54,,0.54,,0.52,,,,,,,,
,10/31/2019,9/30/2019,0.86489371,0.86,,0.48,,0.47,,0.46,,,,,,,,
,7/25/2019,6/28/2019,0.618842193,0.62,,0.39,,0.38,,0.36,,,,,,,,
,4/25/2019,3/29/2019,0.414075094,0.41,,0.26,,0.32,,,,,,,,,,
,1/24/2019,12/31/2018,0.298682673,0.3,,0.45,,0.44,,0.46,,,,,,,,
,10/25/2018,9/28/2018,0.378448367,0.38,,0.42,,0.67,,0.63,,,,,,,,
,7/26/2018,6/29/2018,0.346903249,0.35,,0.4,,0.54,,0.5,,,,,,,,
,4/26/2018,3/29/2018,0.254207143,0.25,,0.32,,0.34,,0.32,,,,,,,,
,1/25/2018,12/29/2017,0.139758535,,,0.41,,0.39,,0.4,,,,,,,,
,10/26/2017,9/29/2017,0.313646086,,,0.46,,0.56,,0.54,,,,,,,,
,7/27/2017,6/30/2017,0.315747759,,,0.42,,0.41,,0.42,,,,,,,,
,4/25/2017,3/31/2017,0.267667102,,,0.36,,0.35,,,,,,,,,,
,1/26/2017,12/30/2016,0.358119823,,,0.47,,,,,,,,,,,,
,10/27/2016,9/30/2016,0.526560203,,,0.52,,,,,,,,,,,,
,7/27/2016,6/30/2016,0.315196884,,,0.39,,,,,,,,,,,,
,4/28/2016,3/31/2016,0.279388663,,,0.32,,,,,,,,,,,,
,,12/31/2015,0.207348793,,,0.36,,,,,,,,,,,,
,,9/30/2015,0.471031379,,,0.41,,,,,,,,,,,,
,,6/30/2015,0.295010457,,,0.4,,,,,,,,,,,,
,,3/31/2015,1.111789082,,,0.33,,,,,,,,,,,,
,,12/31/2014,0.35,,,0.38,,,,,,,,,,,,
,,9/30/2014,0.26,,,0.34,,,,,,,,,,,,
,,6/30/2014,0.3,,,0.27,,,,,,,,,,,,
,,3/31/2014,0.26,,,0.27,,,,,,,,,,,,
,,12/31/2013,0.34,,,0.38,,,,,,,,,,,,
,,9/30/2013,0.43,,,0.32,,,,,,,,,,,,
,,6/28/2013,0.24,,,0.32,,,,,,,,,,,,
,,3/28/2013,0.39,,,0.35,,,,,,,,,,,,
,,12/31/2012,0.13,,,,,,,,,,,,,,,
,,9/28/2012,-0.07,,,,,,,,,,,,,,,
,,6/29/2012,-0.19,,,,,,,,,,,,,,,
,,3/30/2012,0.01,,,,,,,,,,,,,,,
,,12/30/2011,0.09,,,,,,,,,,,,,,,
,,9/30/2011,0,,,,,,,,,,,,,,,
,,6/30/2011,-0.23,,,,,,,,,,,,,,,
,,3/31/2011,0.02,,,,,,,,,,,,,,,
,,12/31/2010,0.02,,,,,,,,,,,,,,,
,,9/30/2010,-0.13,,,,,,,,,,,,,,,
,,6/30/2010,-0.09,,,,,,,,,,,,,,,
,,3/31/2010,-0.04,,,,,,,,,,,,,,,
,,12/31/2009,0.01,,,,,,,,,,,,,,,
,,9/30/2009,-0.02,,,,,,,,,,,,,,,
,,6/30/2009,-0.19,,,,,,,,,,,,,,,
,,3/31/2009,-0.02,,,,,,,,,,,,,,,
,,12/31/2008,0.07,,,,,,,,,,,,,,,
,,9/30/2008,-0.15,,,,,,,,,,,,,,,
,,6/30/2008,-0.34,,,,,,,,,,,,,,,
,,3/31/2008,-0.17,,,,,,,,,,,,,,,
,,12/31/2007,0.18,,,,,,,,,,,,,,,
,,9/28/2007,5.12,,,,,,,,,,,,,,,
,,6/29/2007,-0.18,,,,,,,,,,,,,,,
,,3/30/2007,-0.17,,,,,,,,,,,,,,,
,,12/29/2006,-0.23,,,,,,,,,,,,,,,
,,9/29/2006,-0.19,,,,,,,,,,,,,,,
,,6/30/2006,-0.06,,,,,,,,,,,,,,,
,,3/31/2006,-0.16,,,,,,,,,,,,,,,
,,12/30/2005,-0.78,,,,,,,,,,,,,,,
,,9/30/2005,-2.93,,,,,,,,,,,,,,,
,,6/30/2005,-0.42,,,,,,,,,,,,,,,
,,3/31/2005,-0.37,,,,,,,,,,,,,,,
,,12/31/2004,-0.87,,,,,,,,,,,,,,,
,,9/30/2004,-0.42,,,,,,,,,,,,,,,
,,6/30/2004,-0.17,,,,,,,,,,,,,,,
