CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,3/30/2007,0.16,,,,,,,,,,,,,
,,12/29/2006,0.18,,,,,,,,,,,,,
,,9/29/2006,0.05,,,,,,,,,,,,,
,,6/30/2006,0.18,,,,,,,,,,,,,
,,3/31/2006,0.12,,,,,,,,,,,,,
,,12/30/2005,0.15,,,,,,,,,,,,,
,,9/30/2005,0.21,,,,,,,,,,,,,
,,6/30/2005,0.24,,,,,,,,,,,,,
,,3/31/2005,0.16,,,,,,,,,,,,,
,,12/31/2004,0.144970414,,,,,,,,,,,,,
,,9/30/2004,0.084118117,,,,,,,,,,,,,
,,6/30/2004,0.18608977,,,,,,,,,,,,,
,,3/31/2004,0.12576836,,,,,,,,,,,,,
,,12/31/2003,0.115892698,,,,,,,,,,,,,
,,9/30/2003,0.151776447,,,,,,,,,,,,,
,,6/30/2003,0.180183074,,,,,,,,,,,,,
,,3/31/2003,0.146247285,,,,,,,,,,,,,
,,12/31/2002,0.166679965,,,,,,,,,,,,,
,,9/30/2002,0.159083851,,,,,,,,,,,,,
,,6/28/2002,0.16047041,,,,,,,,,,,,,
,,3/28/2002,0.16047041,,,,,,,,,,,,,
,,12/31/2001,0.15,,,,,,,,,,,,,
,,9/28/2001,0.141427163,,,,,,,,,,,,,
,,6/29/2001,0.139550871,,,,,,,,,,,,,
,,3/30/2001,0.121690229,,,,,,,,,,,,,
,,12/29/2000,0.1,,,,,,,,,,,,,
,,9/29/2000,0.099139731,,,,,,,,,,,,,
,,6/30/2000,0.08524881,,,,,,,,,,,,,
,,3/31/2000,0.063900348,,,,,,,,,,,,,
,,12/31/1999,-0.101833569,,,,,,,,,,,,,
,,9/30/1999,0.064290365,,,,,,,,,,,,,
,,6/30/1999,0.057882353,,,,,,,,,,,,,
,,3/31/1999,0.042077401,,,,,,,,,,,,,
,,12/31/1998,0.03163438,,,,,,,,,,,,,
,,9/30/1998,0.022729283,,,,,,,,,,,,,
,,6/30/1998,0.046068308,,,,,,,,,,,,,
,,3/31/1998,0.041700009,,,,,,,,,,,,,
,,12/31/1997,0.05612436,,,,,,,,,,,,,
,,9/30/1997,0.070284939,,,,,,,,,,,,,
,,6/30/1997,0.056325274,,,,,,,,,,,,,
,,3/31/1997,0.035334333,,,,,,,,,,,,,
,,12/31/1996,0.208905183,,,,,,,,,,,,,
,,9/30/1996,0.05,,,,,,,,,,,,,
,,6/28/1996,0.036666667,,,,,,,,,,,,,
,,3/29/1996,0.026666667,,,,,,,,,,,,,
,,3/28/1996,0.02,,,,,,,,,,,,,
,,3/27/1996,0.086666667,,,,,,,,,,,,,
,,3/26/1996,0.02,,,,,,,,,,,,,
,,3/25/1996,-0.06,,,,,,,,,,,,,
,,12/29/1995,0.02,,,,,,,,,,,,,
,,9/29/1995,0.0867,,,,,,,,,,,,,
,,6/30/1995,0.02,,,,,,,,,,,,,
