CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,,,,,
,,3/30/2012,0.73,,,,,,,,,,,,,,,,
,,12/30/2011,0.66,,,,,,,,,,,,,,,,
,,9/30/2011,0.21,,,,,,,,,,,,,,,,
,,6/30/2011,0.575,,,,,,,,,,,,,,,,
,,3/31/2011,0.65,,,,,,,,,,,,,,,,
,,12/31/2010,0.445,,,,,,,,,,,,,,,,
,,9/30/2010,0.57,,,,,,,,,,,,,,,,
,,6/30/2010,0.65,,,,,,,,,,,,,,,,
,,3/31/2010,0.495,,,,,,,,,,,,,,,,
,,12/31/2009,-0.3125,,,,,,,,,,,,,,,,
,,9/30/2009,0.1125,,,,,,,,,,,,,,,,
,,6/30/2009,-0.4575,,,,,,,,,,,,,,,,
,,3/31/2009,-0.4475,,,,,,,,,,,,,,,,
,,12/31/2008,-0.3325,,,,,,,,,,,,,,,,
,,9/30/2008,-0.4825,,,,,,,,,,,,,,,,
,,6/30/2008,0.495,,,,,,,,,,,,,,,,
,,3/31/2008,0.445,,,,,,,,,,,,,,,,
,,12/31/2007,0.06,,,,,,,,,,,,,,,,
,,9/28/2007,0.345,,,,,,,,,,,,,,,,
,,6/29/2007,0.5875,,,,,,,,,,,,,,,,
,,3/30/2007,0.49,,,,,,,,,,,,,,,,
,,12/29/2006,0.065,,,,,,,,,,,,,,,,
,,9/29/2006,0.215,,,,,,,,,,,,,,,,
,,6/30/2006,0.4375,,,,,,,,,,,,,,,,
,,3/31/2006,0.4775,,,,,,,,,,,,,,,,
,,12/30/2005,0.1875,,,,,,,,,,,,,,,,
,,9/30/2005,0.36,,,,,,,,,,,,,,,,
,,6/30/2005,0.515,,,,,,,,,,,,,,,,
,,3/31/2005,0.42,,,,,,,,,,,,,,,,
,,12/31/2004,0.4525,,,,,,,,,,,,,,,,
,,9/30/2004,0.3425,,,,,,,,,,,,,,,,
,,6/30/2004,0.4825,,,,,,,,,,,,,,,,
,,3/31/2004,0.46,,,,,,,,,,,,,,,,
,,12/31/2003,0.34,,,,,,,,,,,,,,,,
,,9/30/2003,0.11,,,,,,,,,,,,,,,,
,,6/30/2003,0.4375,,,,,,,,,,,,,,,,
,,3/31/2003,0.41,,,,,,,,,,,,,,,,
,,12/31/2002,0.275,,,,,,,,,,,,,,,,
,,9/30/2002,0.35,,,,,,,,,,,,,,,,
,,6/28/2002,0.4075,,,,,,,,,,,,,,,,
,,3/28/2002,0.4125,,,,,,,,,,,,,,,,
,,12/31/2001,0.32,,,,,,,,,,,,,,,,
,,9/28/2001,0.255,,,,,,,,,,,,,,,,
,,6/29/2001,0.56,,,,,,,,,,,,,,,,
