CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,
,7/24/2019,6/28/2019,0.344737239,0.73,,0.66,,0.65,,0.67,,,,,,,,,,,,,,,,,,
,4/24/2019,3/29/2019,0.379744487,0.65,,0.61,,0.62,,0.64,,0.63,,,,,,,,,,,,,,,,
,2/21/2019,12/31/2018,0.291357109,0.65,,0.62,,0.63,,0.65,,0.66,,,,,,,,,,,,,,,,
,10/31/2018,9/28/2018,0.154057405,0.59,,0.59,,0.58,,0.57,,,,,,,,,,,,,,,,,,
,7/25/2018,6/29/2018,0.136218313,0.6,,0.6,,0.54,,,,,,,,,,,,,,,,,,,,
,4/25/2018,3/29/2018,0.137685698,0.58,,0.49,,0.48,,,,,,,,,,,,,,,,,,,,
,,12/29/2017,0.556636213,,,0.56,,0.59,,0.525,,0.57,,0.545,,,,,,,,,,,,,,
,,9/29/2017,0.039745768,,,0.47,,0.505,,0.485,,,,,,,,,,,,,,,,,,
,,6/30/2017,0.137228829,,,0.45,,0.455,,0.485,,0.46,,,,,,,,,,,,,,,,
,,3/31/2017,0.081562364,,,0.38,,0.425,,0.45,,0.44,,0.52,,,,,,,,,,,,,,
,,12/30/2016,0.351842164,,,0.52,,0.495,,0.525,,0.515,,0.495,,0.49,,0.485,,0.475,,0.515,,0.52,,,,
,,9/30/2016,0.248593148,,,0.44,,0.445,,0.45,,0.44,,0.42,,0.41,,0.44,,0.445,,0.44,,,,,,
,,6/30/2016,0.162050565,,,0.38,,0.41,,0.415,,0.425,,,,,,,,,,,,,,,,
,,3/31/2016,0.152696573,,,0.365,,0.39,,0.4,,0.385,,,,,,,,,,,,,,,,
,,12/31/2015,0.196150321,,,0.43,,0.46,,0.49,,0.475,,0.485,,0.495,,0.49,,0.48,,0.485,,,,,,
,,9/30/2015,-0.451841039,,,0.37,,0.39,,0.395,,0.405,,0.41,,0.385,,0.39,,0.43,,0.45,,,,,,
,,6/30/2015,0.073632105,,,0.36,,0.385,,0.38,,0.36,,0.365,,0.37,,0.38,,0.385,,0.39,,0.4,,0.39,,0.315
,,3/31/2015,0.125727311,,,0.315,,0.32,,0.35,,0.345,,0.355,,0.35,,0.36,,0.365,,0.485,,,,,,
,,12/31/2014,0.258859366,,,0.445,,0.48,,0.485,,0.475,,0.47,,0.475,,0.47,,0.465,,0.45,,0.37,,,,
,,9/30/2014,0.149015377,,,0.37,,0.395,,0.41,,0.415,,0.41,,0.4,,0.405,,0.315,,,,,,,,
,,6/30/2014,0.073542861,,,0.32,,0.37,,0.385,,0.37,,0.375,,0.38,,0.365,,0.29,,,,,,,,
,,3/31/2014,0.033660889,,,0.29,,0.285,,0.295,,0.3,,0.305,,0.325,,0.33,,0.325,,0.405,,,,,,
,,12/31/2013,0.198834704,,,0.405,,0.41,,0.405,,0.41,,0.415,,0.41,,0.43,,0.35,,,,,,,,
,,9/30/2013,-0.511722111,,,0.35,,0.355,,0.36,,0.355,,0.275,,,,,,,,,,,,,,
,,6/28/2013,0.06117078,,,0.275,,0.27,,0.305,,0.345,,0.35,,0.38,,0.39,,0.395,,0.24,,,,,,
,,3/28/2013,-0.072852209,,,0.225,,0.27,,0.3,,0.345,,0.355,,0.35,,0.355,,0.35,,0.355,,0.35,,0.385,,
,,12/31/2012,0.227800741,,,0.385,,0.38,,0.385,,0.38,,,,,,,,,,,,,,,,
,,9/28/2012,0.229540953,,,0.38,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.148799329,,,0.34,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.117470514,,,0.305,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.077301237,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.193651176,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.011581284,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.190276627,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.311900892,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.274058925,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.249300964,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.253852311,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.268520415,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.245442177,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.19219574,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.16352728,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.395,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,-0.3,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.215,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.16,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.095,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.165,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.155,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.15,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.17,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.045,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.13,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.14,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.165,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.165,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.115,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.13,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.15,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2004,-0.125,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2004,0.115,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.115,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2003,0.14,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2003,0.11,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2003,0.09,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2003,0.09,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2002,0.415,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2002,0.025,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2002,0.07,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2002,0.065,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,1/2/2002,0.28,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,10/1/2001,0.065,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,7/2/2001,0.05,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,4/2/2001,0.035,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,1/2/2001,-0.335,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,10/2/2000,0.035,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,7/6/2000,-0.01,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,4/7/2000,-0.175,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,1/10/2000,-0.03,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,10/8/1999,-0.07,,,nan,,,,,,,,,,,,,,,,,,,,,,
,,7/9/1999,-0.115,,,nan,,,,,,,,,,,,,,,,,,,,,,
