Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,,,,,,,
9/5/2008,0.17,,nan,,,,,,,,,,,,,,,,,,,
6/13/2008,0.32,,nan,,,,,,,,,,,,,,,,,,,
3/20/2008,0.23,,nan,,,,,,,,,,,,,,,,,,,
12/28/2007,0.26,,nan,,,,,,,,,,,,,,,,,,,
9/7/2007,0.17,,nan,,,,,,,,,,,,,,,,,,,
6/15/2007,0.04,,nan,,,,,,,,,,,,,,,,,,,
3/23/2007,0.13,,nan,,,,,,,,,,,,,,,,,,,
12/29/2006,0.49,,nan,,,,,,,,,,,,,,,,,,,
9/8/2006,0.39,,nan,,,,,,,,,,,,,,,,,,,
6/16/2006,0.39,,nan,,,,,,,,,,,,,,,,,,,
3/24/2006,0.39,,nan,,,,,,,,,,,,,,,,,,,
12/30/2005,0.59,,nan,,,,,,,,,,,,,,,,,,,
9/9/2005,0.3,,nan,,,,,,,,,,,,,,,,,,,
6/17/2005,0.34,,nan,,,,,,,,,,,,,,,,,,,
3/24/2005,0.35,,nan,,,,,,,,,,,,,,,,,,,
12/31/2004,0.38,,nan,,,,,,,,,,,,,,,,,,,
9/30/2004,-0.02,,nan,,,,,,,,,,,,,,,,,,,
6/30/2004,0.18,,nan,,,,,,,,,,,,,,,,,,,
3/31/2004,0.26,,nan,,,,,,,,,,,,,,,,,,,
12/31/2003,0.33,,nan,,,,,,,,,,,,,,,,,,,
9/30/2003,-1.85,,nan,,,,,,,,,,,,,,,,,,,
6/30/2003,0.05,,nan,,,,,,,,,,,,,,,,,,,
