CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/25/2021,6/30/2021,5.91,6.26,,6.44,,5.74,,7.8,,8.22,,8.34,,8.35,,8.34,,8.53,,8.67,,8.38,,8.38,,8.34,,8.25,,8.02,,8.43,,8.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/27/2021,3/31/2021,5.22,6.06,,5.97,,5.98,,5.98,,5.98,,6.17,,6.45,,6.16,,6.16,,6.13,,6.07,,6.06,,6.2,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/2/2021,12/31/2020,9.53,9.91,,9.7,,9.66,,9.73,5/11/2020,9.92,5/11/2020,9.75,5/11/2020,9.69,5/11/2020,9.77,5/11/2020,10.13,3/23/2020,9.82,2/19/2020,10.39,1/28/2020,10.39,1/12/2020,11.18,10/8/2019,11.23,,11.23,,11.43,,12.42,12.02828508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/30/2020,9/30/2020,7.06,7.52,,6.62,,6.58,,6.49,,6.51,,6.58,,7.06,,6.73,,7.42,,7.42,,7.75,,7.81,,7.81,,7.85,,9.02,8.239198218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/25/2020,6/30/2020,6.89,7.36,,6.93,,6.94,,7.21,,7.08,,7.93,,7.93,,8.4,,8.4,,8.4,,8.55,,9.25,8.557906459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/1/2020,3/31/2020,4.91,5.4,,5.43,,5.56,,6.48,,6.48,,6.77,,7,,7,,7.02,,7.23,6.279732739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/19/2020,12/31/2019,9.27,9.62,,8.25,,8.18,,8.84,,9.36,,9.36,,9.57,,10.42,10.51,10.29,10.19,10.03,9.11,7.8,7.7,8.37,7.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/5/2019,9/30/2019,5.39,5.88,,6.25,,6.6,,6.6,,6.68,,7.22,7.33,7,6.98,7,7.1,6.72,6.74,7.75,6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/7/2019,6/28/2019,6.702861226,7.15,,7.1,,7.12,,7.61,,7.72,7.28,7.25,7.26,7.29,6.92,7.01,7.47,7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/8/2019,3/29/2019,5.413625419,5.87,,5.32,,5.3,,5.37,,4.79,4.84,5.29,5.63,5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/26/2019,12/31/2018,8.520585964,9.03,,7.51,,7.22,,6.91,,7.92,7.71,6.46,6.05,5.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/12/2018,9/28/2018,5.713609653,6.18,,5.59,,5.86,,5.88,,5.5,5.17,5.22,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/8/2018,6/29/2018,5.79271674,6.23,,5.67,,5.69,,5.57,,5.13,5.18,3.886005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/8/2018,3/29/2018,4.051410891,4.36,,3.88,,3.7,,3.68,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/7/2018,12/29/2017,6.152028893,,,4.38,,4.39,,2.81,,3.65,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/7/2018,9/29/2017,3.590513043,,,3.72,,2.39,,2.77,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/9/2017,6/30/2017,4.399903467,,,3.52,,2.83,,3.35,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/10/2017,3/31/2017,2.795274561,,,2.2,,1.96,,2,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/2/2017,12/30/2016,3.230435628,,,2.61,,2.72,,2.63,,2.89,3.08,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/14/2016,9/30/2016,2.248659258,,,2.5,,2.58,,2.34,,2.44,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/16/2016,6/30/2016,2.985054376,,,2.62,,2.91,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/1/2016,3/31/2016,2.114725329,,,1.69,,1.66,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,2.49937041,,,2.25,,2.34,,2.98,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,1.485875734,,,2.12,,2.42,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,2.630949259,,,2.49,,2.43,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,1.435498705,,,1.59,,1.62,,1.67,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,2.193698276,,,,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,1.515929868,,,1.61,,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,1.834746982,,,1.63,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,1.084217033,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,1.159254453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,1.344648272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,1.209504051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.744946004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
